"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","6.200","5.939","6.200","5.880","4.62M","4.20%"
"12/28/2023","5.950","5.827","5.950","5.827","5.34M","1.74%"
"12/27/2023","5.848","5.749","5.850","5.749","7.49M","0.93%"
"12/26/2023","5.794","5.766","5.794","5.748","3.83M","-0.79%"
"12/25/2023","5.840","5.770","5.840","5.760","3.96M","1.21%"
"12/24/2023","5.770","5.549","5.799","5.549","2.13M","2.67%"
"12/21/2023","5.620","5.493","5.620","5.493","1.94M","1.48%"
"12/20/2023","5.538","5.500","5.538","5.487","3.56M","0.24%"
"12/19/2023","5.525","5.283","5.549","5.281","3.91M","4.05%"
"12/14/2023","5.310","5.185","5.400","5.170","5.38M","4.12%"
"12/13/2023","5.100","5.145","5.275","5.100","2.11M","-2.11%"
"12/12/2023","5.210","5.210","5.212","5.105","2.58M","-0.29%"
"12/11/2023","5.225","5.225","5.299","5.202","732.84K","0.08%"
"12/10/2023","5.221","5.220","5.340","5.220","440.39K","-0.93%"
"12/07/2023","5.270","5.186","5.420","5.178","2.73M","0.21%"
"12/06/2023","5.259","5.223","5.422","5.150","1.74M","0.00%"
"12/05/2023","5.259","5.244","5.266","5.161","1.62M","-0.21%"
"12/04/2023","5.270","5.272","5.273","5.244","559.22K","0.04%"
"12/03/2023","5.268","5.270","5.336","5.268","1.34M","-1.16%"
"11/30/2023","5.330","5.311","5.394","5.251","6.20M","0.38%"
"11/29/2023","5.310","5.357","5.357","5.288","1.28M","-1.30%"
"11/28/2023","5.380","5.333","5.380","5.270","1.79M","0.94%"
"11/27/2023","5.330","5.374","5.374","5.325","908.53K","-1.06%"
"11/26/2023","5.387","5.365","5.449","5.365","892.71K","0.32%"
"11/23/2023","5.370","5.369","5.376","5.361","577.16K","-0.04%"
"11/22/2023","5.372","5.384","5.384","5.330","1.47M","-0.70%"
"11/21/2023","5.410","5.350","5.449","5.330","2.87M","1.12%"
"11/20/2023","5.350","5.437","5.437","5.350","585.25K","-1.55%"
"11/19/2023","5.434","5.456","5.492","5.434","1.61M","-0.29%"
"11/16/2023","5.450","5.383","5.540","5.383","5.62M","1.26%"
"11/15/2023","5.382","5.350","5.500","5.350","3.46M","1.89%"
"11/14/2023","5.282","5.185","5.299","5.185","2.37M","1.38%"
"11/13/2023","5.210","5.220","5.220","5.150","2.67M","-0.13%"
"11/12/2023","5.217","5.260","5.313","5.214","1.02M","-1.92%"
"11/09/2023","5.319","5.394","5.394","5.319","2.42M","-1.50%"
"11/08/2023","5.400","5.497","5.497","5.389","2.39M","-0.92%"
"11/07/2023","5.450","5.400","5.510","5.378","4.06M","1.06%"
"11/06/2023","5.393","5.366","5.400","5.345","4.73M","0.58%"
"11/05/2023","5.362","5.231","5.372","5.231","1.86M","2.31%"
"11/02/2023","5.241","5.214","5.253","5.214","3.12M","0.79%"
"11/01/2023","5.200","5.126","5.231","5.069","4.38M","1.44%"
