"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","2.900","2.900","2.900","2.900","0.77K","-4.92%"
"12/27/2023","3.050","2.900","2.900","2.900","0.60K","5.17%"
"12/25/2023","2.900","3.050","3.050","2.900","48.07K","-3.33%"
"12/06/2023","3.000","3.000","3.000","3.000","4.02K","-0.66%"
"12/03/2023","3.020","3.230","3.230","3.020","174.77K","0.00%"
"11/26/2023","3.020","3.020","3.020","3.020","142.61K","0.33%"
"11/20/2023","3.010","3.010","3.010","3.010","12.18K","0.00%"
"11/16/2023","3.010","3.010","3.010","3.010","24.83K","-9.09%"
"11/02/2023","3.311","3.311","3.311","3.311","0.29K","10.00%"
"10/23/2023","3.010","3.010","3.010","3.010","1.03K","-2.90%"
"09/28/2023","3.100","3.100","3.100","3.100","22.69K","2.62%"
"09/21/2023","3.021","3.021","3.021","3.021","0.20K","-10.14%"
"09/19/2023","3.362","3.010","3.010","3.010","0.87K","5.86%"
"09/10/2023","3.176","3.176","3.176","3.176","1.83K","-0.81%"
"09/04/2023","3.202","3.202","3.202","3.202","0.01K","0.00%"
"08/30/2023","3.202","3.202","3.202","3.202","0.29K","0.06%"
"08/20/2023","3.200","3.202","3.202","3.202","3.50K","-0.06%"
"08/17/2023","3.202","3.202","3.202","3.202","1.57K","-4.82%"
"08/16/2023","3.364","3.364","3.364","3.364","0.26K","-0.03%"
"08/15/2023","3.365","3.365","3.365","3.365","3.50K","6.83%"
"08/14/2023","3.150","3.150","3.150","3.150","11.16K","1.22%"
"08/08/2023","3.112","3.112","3.112","3.112","0.02K","0.03%"
"08/06/2023","3.111","3.307","3.630","3.108","40.42K","-5.90%"
"07/30/2023","3.306","3.066","3.306","3.066","1.45K","0.00%"
"07/27/2023","3.306","3.306","3.306","3.306","0.29K","0.00%"
"07/26/2023","3.306","3.306","3.306","3.306","0.20K","0.00%"
"07/24/2023","3.306","3.306","3.306","3.306","0.61K","8.04%"
"07/17/2023","3.060","3.060","3.060","3.060","1.61K","-0.33%"
"07/13/2023","3.070","3.070","3.070","3.070","0.18K","0.33%"
"07/11/2023","3.060","3.060","3.060","3.060","1.00K","0.00%"
"07/02/2023","3.060","3.060","3.060","3.060","1.10K","0.00%"
"06/22/2023","3.060","3.060","3.060","3.060","125.89K","-8.87%"
"06/21/2023","3.358","3.360","3.360","3.358","7.33K","9.74%"
"06/08/2023","3.060","3.060","3.060","3.060","1.95K","0.00%"
"06/01/2023","3.060","3.060","3.060","3.060","8.26K","-2.02%"
"05/29/2023","3.123","3.123","3.123","3.123","3.17K","0.00%"
"05/28/2023","3.123","3.123","3.123","3.123","1.00K","0.00%"
"05/24/2023","3.123","3.123","3.123","3.123","4.20K","0.00%"
"05/22/2023","3.123","3.123","3.123","3.123","5.93K","0.00%"
"05/15/2023","3.123","3.123","3.123","3.123","5.70K","0.00%"
"05/04/2023","3.123","3.500","3.500","3.103","3.55K","-5.36%"
"05/03/2023","3.300","3.300","3.300","3.300","15.00K","-0.90%"
"04/30/2023","3.330","3.330","3.331","3.330","29.02K","-10.00%"
"04/26/2023","3.700","3.700","3.700","3.700","0.05K","2.78%"
"04/17/2023","3.600","3.600","3.600","3.600","0.00K","0.00%"
"04/16/2023","3.600","3.600","3.600","3.600","0.05K","3.81%"
"04/13/2023","3.468","3.060","3.468","3.060","3.05K","9.92%"
"04/11/2023","3.155","3.155","3.155","3.155","2.69K","0.00%"
"04/10/2023","3.155","3.155","3.155","3.155","6.30K","0.10%"
