"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","8.899","8.848","8.984","8.848","46.92K","0.00%"
"12/28/2023","8.899","8.987","8.987","8.800","10.24K","1.70%"
"12/27/2023","8.750","8.889","8.889","8.751","1.47K","-1.57%"
"12/26/2023","8.890","8.751","8.890","8.751","1.25K","-1.09%"
"12/25/2023","8.988","8.750","8.988","8.750","49.65K","2.49%"
"12/24/2023","8.770","8.770","8.770","8.770","13.00K","0.23%"
"12/21/2023","8.750","8.786","8.786","8.750","15.58K","-0.87%"
"12/20/2023","8.827","8.701","8.827","8.701","15.24K","-0.15%"
"12/19/2023","8.840","8.880","8.880","8.700","6.01K","-0.45%"
"12/14/2023","8.880","8.880","8.880","8.645","103.82K","0.40%"
"12/13/2023","8.845","8.845","8.845","8.845","0.60K","0.00%"
"12/12/2023","8.845","8.850","8.850","8.840","2.55K","2.37%"
"12/10/2023","8.640","8.640","8.640","8.640","0.50K","-1.82%"
"12/06/2023","8.800","8.800","8.800","8.800","5.67K","0.00%"
"12/04/2023","8.800","8.800","8.800","8.800","17.89K","0.00%"
"12/03/2023","8.800","8.652","8.999","8.600","430.96K","-1.12%"
"11/30/2023","8.900","8.989","8.998","8.800","56.01K","1.14%"
"11/29/2023","8.800","8.800","8.800","8.800","1.25K","-2.19%"
"11/28/2023","8.997","8.770","8.997","8.700","50.13K","2.59%"
"11/27/2023","8.770","8.730","8.770","8.700","39.75K","0.46%"
"11/26/2023","8.730","8.800","8.800","8.730","27.38K","-0.80%"
"11/23/2023","8.800","8.720","8.800","8.720","52.28K","0.92%"
"11/22/2023","8.720","8.799","8.800","8.710","46.02K","0.23%"
"11/21/2023","8.700","8.700","8.700","8.700","10.71K","-1.11%"
"11/20/2023","8.798","8.707","8.798","8.625","152.70K","-0.02%"
"11/19/2023","8.800","8.801","8.801","8.800","7.02K","0.00%"
"11/16/2023","8.800","8.701","8.800","8.701","14.40K","-1.00%"
"11/15/2023","8.889","8.800","8.889","8.700","30.64K","-0.01%"
"11/13/2023","8.890","8.899","8.899","8.610","3.80K","0.11%"
"11/08/2023","8.880","8.900","8.900","8.800","4.91K","0.85%"
"11/07/2023","8.805","8.900","8.900","8.805","16.12K","-0.84%"
"11/06/2023","8.880","9.100","9.100","8.880","5.22K","-2.42%"
"11/05/2023","9.100","8.880","9.100","8.880","66.53K","2.49%"
"11/02/2023","8.879","8.815","8.879","8.815","33.56K","1.82%"
"11/01/2023","8.720","8.720","8.720","8.720","1.37K","0.00%"
"10/31/2023","8.720","8.800","8.810","8.600","127.85K","-1.80%"
