"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","18.800","17.910","18.800","17.610","2.10M","3.98%"
"12/28/2023","18.080","17.990","18.080","17.600","1.60M","0.78%"
"12/27/2023","17.940","17.800","17.990","17.800","944.65K","0.22%"
"12/26/2023","17.900","17.700","17.900","17.670","310.30K","1.19%"
"12/25/2023","17.690","17.490","17.690","17.460","641.37K","1.20%"
"12/24/2023","17.480","17.300","17.500","17.300","409.05K","0.00%"
"12/21/2023","17.480","17.380","17.490","17.230","389.06K","0.87%"
"12/20/2023","17.330","17.230","17.380","17.190","295.62K","0.41%"
"12/19/2023","17.260","16.880","17.390","16.880","1.23M","2.74%"
"12/14/2023","16.800","16.700","16.930","16.700","820.06K","0.72%"
"12/13/2023","16.680","16.580","16.940","16.580","466.38K","-0.12%"
"12/12/2023","16.700","16.690","16.740","16.500","312.16K","0.06%"
"12/11/2023","16.690","16.860","16.860","16.610","606.72K","-0.89%"
"12/10/2023","16.840","16.800","17.130","16.790","303.59K","-0.65%"
"12/07/2023","16.950","16.830","16.950","16.770","356.37K","-0.12%"
"12/06/2023","16.970","16.890","16.970","16.820","212.40K","-0.18%"
"12/05/2023","17.000","16.840","17.000","16.820","258.59K","0.83%"
"12/04/2023","16.860","16.900","17.150","16.770","505.10K","-0.35%"
"12/03/2023","16.920","16.890","17.210","16.700","392.33K","0.24%"
"11/30/2023","16.880","17.010","17.040","16.800","3.10M","-0.71%"
"11/29/2023","17.000","17.080","17.120","17.000","344.36K","-0.53%"
"11/28/2023","17.090","17.180","17.180","17.000","411.38K","-0.29%"
"11/27/2023","17.140","17.180","17.300","17.140","268.04K","-0.12%"
"11/26/2023","17.160","17.130","17.190","17.130","188.87K","-0.69%"
"11/23/2023","17.280","17.140","17.280","17.050","332.53K","0.47%"
"11/22/2023","17.200","17.040","17.200","17.030","595.07K","0.88%"
"11/21/2023","17.050","17.110","17.360","17.040","642.81K","-0.70%"
"11/20/2023","17.170","17.420","17.480","17.080","515.08K","-1.44%"
"11/19/2023","17.420","17.400","17.430","17.380","158.81K","0.11%"
"11/16/2023","17.400","17.160","17.400","17.130","826.78K","0.35%"
"11/15/2023","17.340","16.760","17.340","16.760","1.12M","3.52%"
"11/14/2023","16.750","16.910","16.910","16.710","1.06M","-0.89%"
"11/13/2023","16.900","16.990","16.990","16.740","632.04K","-0.59%"
"11/12/2023","17.000","16.970","17.050","16.910","118.08K","0.29%"
"11/09/2023","16.950","17.100","17.100","16.950","325.67K","-0.99%"
"11/08/2023","17.120","17.160","17.160","17.100","180.18K","-0.23%"
"11/07/2023","17.160","17.180","17.200","16.970","315.64K","0.12%"
"11/06/2023","17.140","16.970","17.350","16.970","558.91K","0.23%"
"11/05/2023","17.100","16.700","17.400","16.670","1.33M","3.32%"
"11/02/2023","16.550","16.520","16.880","16.520","808.53K","0.12%"
"11/01/2023","16.530","16.430","16.550","16.430","391.68K","-0.06%"
"10/31/2023","16.540","16.570","16.590","16.310","317.21K","0.06%"
"10/30/2023","16.530","16.620","16.620","16.480","560.15K","-0.42%"
"10/29/2023","16.600","16.440","16.680","16.430","864.76K","1.53%"
"10/26/2023","16.350","16.790","16.800","16.270","705.43K","-1.86%"
"10/25/2023","16.660","16.640","16.810","16.640","700.61K","0.36%"
"10/24/2023","16.600","16.930","16.950","16.600","887.65K","-1.83%"
"10/23/2023","16.910","17.130","17.150","16.900","584.16K","-1.40%"
"10/22/2023","17.150","17.330","17.330","17.000","609.69K","-1.04%"
"10/19/2023","17.330","17.270","17.400","17.270","684.41K","-0.40%"
"10/18/2023","17.400","17.240","17.400","17.190","358.34K","1.05%"
"10/17/2023","17.220","17.100","17.240","17.100","400.56K","0.00%"
"10/16/2023","17.220","17.230","17.250","17.020","449.99K","-0.40%"
"10/15/2023","17.290","17.260","17.310","17.210","249.46K","-0.63%"
"10/12/2023","17.400","17.230","17.400","17.220","585.54K","0.99%"
"10/11/2023","17.230","17.280","17.430","17.210","644.74K","-0.29%"
"10/10/2023","17.280","17.200","17.600","17.200","349.67K","0.00%"
"10/09/2023","17.280","17.370","17.380","17.020","478.80K","-0.97%"
"10/08/2023","17.450","17.350","17.700","17.350","206.32K","0.00%"
"10/05/2023","17.450","17.450","17.470","17.290","330.06K","-0.11%"
"10/04/2023","17.470","17.520","17.520","17.340","424.33K","-0.51%"
"10/03/2023","17.560","17.400","17.600","17.380","361.78K","0.23%"
"10/02/2023","17.520","17.390","17.520","17.380","395.30K","0.75%"
"10/01/2023","17.390","17.660","17.660","17.310","416.38K","-0.97%"
"09/28/2023","17.560","17.940","17.940","17.560","291.55K","-0.23%"
"09/27/2023","17.600","17.860","17.970","17.580","555.14K","-1.07%"
"09/26/2023","17.790","17.700","18.020","17.330","819.03K","1.25%"
"09/25/2023","17.570","17.490","17.570","17.410","479.25K","1.09%"
"09/24/2023","17.380","17.760","17.760","16.990","1.24M","-1.53%"
"09/21/2023","17.650","17.800","17.830","17.510","580.84K","0.28%"
"09/20/2023","17.600","17.890","17.890","17.560","641.51K","0.34%"
"09/19/2023","17.540","17.790","17.790","17.000","247.55K","0.17%"
"09/18/2023","17.510","17.400","17.530","17.200","304.68K","0.57%"
"09/17/2023","17.410","17.570","17.570","17.400","156.07K","-0.85%"
"09/14/2023","17.560","17.700","17.850","17.500","682.39K","-1.90%"
"09/13/2023","17.900","17.710","17.900","17.660","177.81K","0.90%"
"09/12/2023","17.740","17.750","17.810","17.700","323.34K","-0.84%"
"09/11/2023","17.890","17.780","17.890","17.750","155.01K","0.68%"
"09/10/2023","17.770","17.620","17.870","17.620","180.35K","-0.28%"
"09/07/2023","17.820","17.530","17.890","17.530","289.10K","1.60%"
"09/06/2023","17.540","17.510","17.960","17.370","229.35K","-0.90%"
"09/05/2023","17.700","17.320","17.700","17.320","233.64K","0.97%"
"09/04/2023","17.530","17.800","18.020","17.240","757.08K","-1.52%"
"09/03/2023","17.800","17.780","17.930","17.780","250.34K","-0.61%"
"08/31/2023","17.910","18.100","18.110","17.770","1.08M","-1.05%"
"08/30/2023","18.100","18.090","18.190","18.060","243.64K","0.06%"
"08/29/2023","18.090","18.080","18.130","18.060","168.87K","-0.22%"
"08/28/2023","18.130","18.070","18.130","17.970","256.43K","0.00%"
"08/27/2023","18.130","18.000","18.150","18.000","34.49K","0.00%"
"08/24/2023","18.130","18.060","18.300","18.050","187.66K","0.00%"
"08/23/2023","18.130","18.200","18.290","18.030","368.93K","-0.38%"
"08/22/2023","18.200","18.250","18.300","18.020","202.05K","0.00%"
"08/21/2023","18.200","18.300","18.300","17.940","498.89K","0.00%"
"08/20/2023","18.200","18.170","18.290","18.140","99.61K","0.22%"
"08/17/2023","18.160","18.100","18.160","18.040","287.12K","0.33%"
"08/16/2023","18.100","18.190","18.200","17.960","342.48K","0.06%"
"08/15/2023","18.090","18.250","18.250","18.010","87.91K","0.00%"
"08/14/2023","18.090","18.110","18.300","18.030","242.37K","0.00%"
"08/13/2023","18.090","18.290","18.300","18.040","191.27K","-0.50%"
"08/10/2023","18.180","18.170","18.260","18.030","259.33K","0.06%"
"08/09/2023","18.170","17.970","18.170","17.960","113.11K","0.94%"
"08/08/2023","18.000","17.900","18.230","17.800","633.90K","0.00%"
"08/07/2023","18.000","18.170","18.170","18.000","98.63K","0.00%"
"08/06/2023","18.000","18.220","18.220","18.000","136.24K","-0.22%"
"08/03/2023","18.040","18.120","18.370","18.000","267.39K","-0.50%"
"08/02/2023","18.130","18.430","18.430","18.130","125.16K","-1.63%"
"08/01/2023","18.430","18.160","18.430","18.160","166.26K","1.54%"
"07/31/2023","18.150","18.240","18.470","18.060","173.36K","0.06%"
"07/30/2023","18.140","18.100","18.490","18.000","385.36K","-1.95%"
"07/27/2023","18.500","18.230","18.510","18.230","582.28K","1.37%"
"07/26/2023","18.250","18.220","18.260","18.120","210.01K","1.33%"
"07/25/2023","18.010","18.100","18.270","18.010","330.79K","-0.55%"
"07/24/2023","18.110","18.100","18.270","18.030","49.76K","0.56%"
"07/23/2023","18.010","18.010","18.280","18.010","197.99K","0.00%"
"07/20/2023","18.010","18.020","18.350","18.000","228.80K","-0.50%"
"07/19/2023","18.100","18.010","18.120","17.830","530.86K","0.56%"
"07/18/2023","18.000","17.990","18.530","17.760","637.08K","0.56%"
"07/17/2023","17.900","17.510","17.930","17.510","209.99K","1.65%"
"07/16/2023","17.610","17.520","18.130","17.520","149.31K","-0.73%"
"07/13/2023","17.740","18.210","18.210","17.550","303.03K","0.11%"
"07/12/2023","17.720","17.290","18.630","17.280","1.58M","2.55%"
"07/11/2023","17.280","17.220","17.370","17.210","232.30K","-0.12%"
"07/10/2023","17.300","17.300","17.480","17.220","443.68K","0.00%"
"07/09/2023","17.300","17.460","17.470","17.280","116.75K","-0.06%"
"07/06/2023","17.310","17.350","17.580","17.310","436.89K","-0.17%"
"07/05/2023","17.340","17.220","17.500","17.220","377.30K","0.00%"
"07/04/2023","17.340","17.460","17.570","17.330","79.69K","0.46%"
"07/03/2023","17.260","17.340","17.740","17.260","969.82K","-1.09%"
"07/02/2023","17.450","17.300","17.450","17.200","167.68K","0.29%"
"06/26/2023","17.400","16.830","17.410","16.830","331.30K","2.35%"
"06/25/2023","17.000","17.260","17.270","16.770","468.41K","-2.24%"
