"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","3.520","3.461","3.525","3.461","12.29M","1.73%"
"12/28/2023","3.460","3.430","3.469","3.425","22.81M","0.73%"
"12/27/2023","3.435","3.378","3.453","3.375","20.93M","1.69%"
"12/26/2023","3.378","3.390","3.391","3.370","4.19M","-0.30%"
"12/25/2023","3.388","3.383","3.410","3.383","6.48M","0.18%"
"12/24/2023","3.382","3.390","3.391","3.379","6.15M","-0.24%"
"12/21/2023","3.390","3.300","3.410","3.298","10.66M","2.73%"
"12/20/2023","3.300","3.240","3.300","3.221","6.40M","2.10%"
"12/19/2023","3.232","3.265","3.268","3.221","13.86M","1.00%"
"12/14/2023","3.200","3.285","3.286","3.200","26.43M","-1.27%"
"12/13/2023","3.241","3.250","3.269","3.217","5.50M","0.03%"
"12/12/2023","3.240","3.261","3.278","3.218","12.17M","-0.83%"
"12/11/2023","3.267","3.229","3.272","3.211","6.34M","1.15%"
"12/10/2023","3.230","3.242","3.243","3.211","3.13M","-0.43%"
"12/07/2023","3.244","3.278","3.323","3.236","3.12M","-1.19%"
"12/06/2023","3.283","3.317","3.326","3.262","4.83M","-1.03%"
"12/05/2023","3.317","3.342","3.347","3.314","3.43M","-0.72%"
"12/04/2023","3.341","3.325","3.374","3.322","14.30M","0.57%"
"12/03/2023","3.322","3.288","3.331","3.275","5.53M","2.53%"
"11/30/2023","3.240","3.200","3.294","3.200","11.32M","1.25%"
"11/29/2023","3.200","3.232","3.240","3.071","7.54M","-0.99%"
"11/28/2023","3.232","3.256","3.256","3.232","4.16M","-0.62%"
"11/27/2023","3.252","3.282","3.300","3.241","6.14M","-0.97%"
"11/26/2023","3.284","3.266","3.300","3.260","2.78M","0.67%"
"11/23/2023","3.262","3.300","3.300","3.230","7.31M","-1.15%"
"11/22/2023","3.300","3.292","3.320","3.289","8.05M","0.21%"
"11/21/2023","3.293","3.348","3.349","3.281","6.57M","-1.70%"
"11/20/2023","3.350","3.383","3.389","3.344","2.17M","-0.74%"
"11/19/2023","3.375","3.395","3.398","3.375","2.48M","-0.44%"
"11/16/2023","3.390","3.379","3.446","3.061","8.56M","0.00%"
"11/15/2023","3.390","3.392","3.415","3.366","6.34M","0.00%"
"11/14/2023","3.390","3.431","3.431","3.363","7.68M","-1.19%"
