"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","3.000","3.000","3.000","3.000","776.84K","0.00%"
"12/28/2023","3.000","3.000","3.000","3.000","79.30K","0.00%"
"12/27/2023","3.000","3.000","3.000","3.000","50.40K","0.00%"
"12/25/2023","3.000","3.000","3.000","3.000","2.90K","0.00%"
"12/21/2023","3.000","3.000","3.000","3.000","15.10K","0.00%"
"12/20/2023","3.000","2.930","3.000","2.930","112.92K","0.07%"
"12/19/2023","2.998","2.921","2.998","2.921","4.20K","1.28%"
"12/14/2023","2.960","2.997","2.997","2.950","58.97K","-1.23%"
"12/13/2023","2.997","2.986","2.997","2.949","89.93K","2.29%"
"12/12/2023","2.930","2.931","2.931","2.931","4.08K","-0.03%"
"12/11/2023","2.931","2.931","2.931","2.931","5.00K","-2.17%"
"12/07/2023","2.996","2.925","2.996","2.910","136.32K","1.32%"
"12/06/2023","2.957","2.925","2.925","2.925","25.15K","1.41%"
"12/05/2023","2.916","2.911","2.911","2.910","27.03K","-2.61%"
"12/04/2023","2.994","2.958","2.958","2.958","14.12K","1.80%"
"12/03/2023","2.941","2.973","2.973","2.912","12.87K","-1.80%"
"11/30/2023","2.995","2.995","2.995","2.995","10.09K","0.74%"
"11/29/2023","2.973","2.973","2.973","2.973","26.22K","-0.80%"
"11/28/2023","2.997","2.997","2.997","2.997","0.96K","-0.10%"
"11/26/2023","3.000","3.000","3.000","3.000","20.00K","0.00%"
"11/23/2023","3.000","3.000","3.000","3.000","20.00K","0.00%"
"11/22/2023","3.000","3.000","3.000","3.000","0.80K","0.91%"
"11/21/2023","2.973","2.990","2.990","2.973","17.31K","-0.90%"
"11/20/2023","3.000","3.000","3.000","3.000","29.20K","0.00%"
"11/19/2023","3.000","2.990","3.000","2.990","39.58K","0.03%"
"11/16/2023","2.999","2.999","2.999","2.999","20.41K","0.00%"
"11/13/2023","2.999","2.999","2.999","2.999","0.50K","0.37%"
"11/12/2023","2.988","2.951","2.990","2.950","27.71K","1.25%"
"11/09/2023","2.951","2.951","2.951","2.951","2.80K","1.65%"
"11/08/2023","2.903","2.903","2.903","2.903","18.00K","-2.58%"
"11/07/2023","2.980","2.980","2.980","2.980","82.21K","-0.67%"
"11/06/2023","3.000","3.020","3.020","3.000","58.82K","-0.99%"
"11/05/2023","3.030","3.000","3.119","3.000","84.00K","2.02%"
"11/02/2023","2.970","3.000","3.000","2.970","411.96K","-1.00%"
"10/31/2023","3.000","3.000","3.000","3.000","100.00K","0.07%"
"10/30/2023","2.998","2.997","2.998","2.997","122.20K","4.83%"
"10/25/2023","2.860","2.860","2.860","2.860","1.31K","0.00%"
"10/24/2023","2.860","2.861","2.861","2.860","6.57K","-4.60%"
"10/23/2023","2.998","2.998","2.998","2.921","10.72K","3.81%"
"10/22/2023","2.888","2.888","2.888","2.888","5.00K","-2.10%"
"10/19/2023","2.950","2.956","2.956","2.950","50.72K","-0.03%"
"10/18/2023","2.951","3.100","3.100","2.951","6.21K","-4.81%"
"10/17/2023","3.100","3.100","3.101","3.100","40.21K","0.00%"
"10/16/2023","3.100","3.100","3.100","3.100","245.51K","0.00%"
"10/15/2023","3.100","3.067","3.100","3.067","55.15K","-0.61%"
"10/12/2023","3.119","2.980","2.980","2.980","1.20K","3.97%"
"10/11/2023","3.000","2.980","3.000","2.980","0.45K","1.63%"
"10/09/2023","2.952","3.060","3.061","3.060","129.62K","-3.53%"
"10/08/2023","3.060","3.060","3.060","3.060","10.00K","0.00%"
"10/05/2023","3.060","3.060","3.060","3.060","10.00K","0.66%"
"10/04/2023","3.040","3.040","3.040","3.040","11.95K","-4.40%"
"10/02/2023","3.180","3.150","3.180","3.150","118.64K","0.95%"
"09/28/2023","3.150","3.140","3.186","3.140","63.77K","1.61%"
"09/27/2023","3.100","3.100","3.100","3.065","55.10K","-0.10%"
"09/26/2023","3.103","2.966","3.103","2.966","117.18K","1.74%"
"09/25/2023","3.050","3.030","3.050","3.030","50.91K","1.67%"
