"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","13.080","12.900","13.080","12.830","3.33M","1.40%"
"12/28/2023","12.900","12.890","12.920","12.770","3.73M","-0.39%"
"12/27/2023","12.950","12.860","12.950","12.750","4.02M","0.39%"
"12/26/2023","12.900","12.880","12.940","12.750","1.86M","0.00%"
"12/25/2023","12.900","12.770","12.980","12.770","5.51M","0.39%"
"12/24/2023","12.850","12.550","12.850","12.550","1.22M","1.90%"
"12/21/2023","12.610","12.640","12.640","12.510","2.68M","-0.39%"
"12/20/2023","12.660","12.720","12.830","12.650","2.14M","-0.47%"
"12/19/2023","12.720","12.760","12.850","12.600","3.97M","2.50%"
"12/14/2023","12.410","12.250","12.700","12.240","8.91M","1.55%"
"12/13/2023","12.220","12.010","12.280","12.010","2.46M","0.99%"
"12/12/2023","12.100","11.990","12.100","11.950","2.38M","0.92%"
"12/11/2023","11.990","12.040","12.120","11.940","2.61M","-0.25%"
"12/10/2023","12.020","12.070","12.200","12.010","1.45M","-0.58%"
"12/07/2023","12.090","12.040","12.140","11.910","3.85M","0.25%"
"12/06/2023","12.060","12.160","12.240","11.930","3.81M","-0.74%"
"12/05/2023","12.150","12.350","12.480","12.120","4.29M","-1.62%"
"12/04/2023","12.350","12.580","12.640","12.300","2.63M","-1.83%"
"12/03/2023","12.580","12.660","12.790","12.540","2.45M","0.64%"
"11/30/2023","12.500","12.500","12.700","12.420","4.69M","0.08%"
"11/29/2023","12.490","12.510","12.650","12.420","2.06M","-0.16%"
"11/28/2023","12.510","12.740","12.740","12.470","3.38M","-0.87%"
"11/27/2023","12.620","13.000","13.000","12.620","3.21M","-3.37%"
"11/26/2023","13.060","13.180","13.220","13.060","1.47M","-1.51%"
"11/23/2023","13.260","13.320","13.320","13.170","1.49M","-0.97%"
"11/22/2023","13.390","13.300","13.390","13.230","1.86M","0.45%"
"11/21/2023","13.330","13.140","13.330","13.130","2.19M","1.83%"
"11/20/2023","13.090","13.280","13.330","13.060","1.11M","-1.43%"
"11/19/2023","13.280","13.390","13.500","13.250","1.48M","-0.75%"
"11/16/2023","13.380","13.170","13.380","13.120","1.91M","1.67%"
"11/15/2023","13.160","12.900","13.280","12.900","3.28M","2.41%"
"11/14/2023","12.850","12.840","12.960","12.840","1.72M","0.23%"
"11/13/2023","12.820","12.920","13.000","12.810","1.73M","-0.70%"
"11/12/2023","12.910","12.840","13.010","12.840","683.56K","0.23%"
"11/09/2023","12.880","13.060","13.060","12.840","1.12M","-0.46%"
"11/08/2023","12.940","13.160","13.170","12.940","1.70M","-1.45%"
"11/07/2023","13.130","13.350","13.350","13.060","2.14M","-1.65%"
"11/06/2023","13.350","13.170","13.560","12.910","2.50M","1.21%"
"11/05/2023","13.190","12.530","13.200","12.530","2.44M","5.52%"
"11/02/2023","12.500","12.470","12.590","12.460","2.73M","1.21%"
"11/01/2023","12.350","12.190","12.520","12.160","2.31M","1.06%"
"10/31/2023","12.220","12.500","12.540","12.030","4.98M","-2.24%"
"10/30/2023","12.500","12.460","12.700","12.370","3.48M","0.40%"
"10/29/2023","12.450","12.670","12.670","12.370","1.15M","-1.97%"
"10/26/2023","12.700","12.610","13.080","12.610","2.36M","0.79%"
"10/25/2023","12.600","12.560","12.850","12.560","2.19M","-2.25%"
"10/24/2023","12.890","13.170","13.190","12.860","965.62K","-1.98%"
"10/23/2023","13.150","13.140","13.240","13.130","1.61M","0.08%"
"10/22/2023","13.140","13.450","13.470","12.990","2.09M","-2.16%"
"10/19/2023","13.430","13.600","13.710","13.410","2.19M","-1.25%"
"10/18/2023","13.600","13.750","13.780","13.570","1.02M","-1.09%"
"10/17/2023","13.750","13.670","13.760","13.650","2.20M","0.88%"
"10/16/2023","13.630","13.700","13.750","13.610","2.04M","-1.16%"
"10/15/2023","13.790","13.440","13.790","13.440","3.18M","2.30%"
"10/12/2023","13.480","13.450","13.550","13.380","2.02M","1.13%"
"10/11/2023","13.330","13.260","13.520","13.250","2.38M","0.53%"
"10/10/2023","13.260","13.150","13.440","13.130","2.62M","1.14%"
"10/09/2023","13.110","13.250","13.300","12.900","2.11M","-0.76%"
"10/08/2023","13.210","13.380","13.400","13.200","1.25M","-1.05%"
"10/05/2023","13.350","13.440","13.490","13.320","2.35M","-0.60%"
"10/04/2023","13.430","13.800","13.800","13.410","1.95M","-2.61%"
"10/03/2023","13.790","13.810","13.850","13.770","1.56M","-0.14%"
"10/02/2023","13.810","13.800","13.870","13.800","842.21K","0.66%"
"10/01/2023","13.720","13.720","13.890","13.720","1.09M","0.07%"
"09/28/2023","13.710","13.880","13.880","13.690","3.29M","0.29%"
"09/27/2023","13.670","13.860","14.000","13.670","1.47M","-1.30%"
"09/26/2023","13.850","14.150","14.180","13.850","3.39M","-1.70%"
"09/25/2023","14.090","14.330","14.330","14.070","3.10M","-1.47%"
"09/24/2023","14.300","14.150","14.320","14.120","4.27M","1.06%"
"09/21/2023","14.150","14.050","14.190","14.050","3.28M","0.93%"
"09/20/2023","14.020","14.000","14.060","13.900","3.20M","0.50%"
"09/19/2023","13.950","13.920","13.990","13.880","2.59M","1.38%"
