"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","10.690","10.440","10.920","10.360","8.27M","1.42%"
"12/28/2023","10.540","10.340","10.560","10.340","7.30M","2.13%"
"12/27/2023","10.320","10.350","10.400","10.200","1.10M","0.29%"
"12/26/2023","10.290","10.400","10.550","10.290","1.31M","0.39%"
"12/25/2023","10.250","10.510","10.540","10.250","933.41K","-0.97%"
"12/24/2023","10.350","10.410","10.580","10.350","1.65M","-0.58%"
"12/21/2023","10.410","10.400","10.470","10.350","332.96K","0.19%"
"12/20/2023","10.390","10.280","10.490","10.280","625.25K","0.87%"
"12/19/2023","10.300","10.040","10.500","10.040","1.18M","1.38%"
"12/14/2023","10.160","9.927","10.160","9.927","1.36M","2.54%"
"12/13/2023","9.908","9.853","9.997","9.853","528.83K","-0.77%"
"12/12/2023","9.985","9.897","9.985","9.800","446.93K","0.87%"
"12/11/2023","9.899","9.905","9.907","9.853","621.25K","-0.05%"
"12/10/2023","9.904","9.962","9.977","9.821","348.11K","-0.57%"
"12/07/2023","9.961","10.050","10.100","9.945","459.69K","-2.06%"
"12/06/2023","10.170","10.080","10.200","10.020","379.74K","0.00%"
"12/05/2023","10.170","10.010","10.170","9.995","519.23K","1.40%"
"12/04/2023","10.030","10.020","10.100","9.999","253.79K","0.20%"
"12/03/2023","10.010","10.060","10.190","9.906","683.71K","-0.20%"
"11/30/2023","10.030","10.000","10.140","9.992","1.85M","0.94%"
"11/29/2023","9.937","9.941","10.010","9.937","364.29K","-0.43%"
"11/28/2023","9.980","9.996","9.999","9.941","653.33K","-0.04%"
"11/27/2023","9.984","9.997","10.000","9.984","359.81K","0.00%"
"11/26/2023","9.984","9.984","10.010","9.984","256.81K","-0.46%"
"11/23/2023","10.030","9.928","10.030","9.928","1.10M","0.80%"
"11/22/2023","9.950","10.060","10.150","9.855","1.65M","-1.68%"
"11/21/2023","10.120","9.934","10.120","9.850","1.57M","2.95%"
"11/20/2023","9.830","9.999","10.080","9.830","724.12K","-1.66%"
"11/19/2023","9.996","9.980","10.060","9.979","341.17K","0.16%"
"11/16/2023","9.980","9.980","9.994","9.973","527.22K","-0.80%"
"11/15/2023","10.060","10.010","10.060","9.884","612.56K","1.63%"
"11/14/2023","9.899","9.882","10.050","9.882","442.38K","-0.11%"
"11/13/2023","9.910","9.816","9.911","9.816","437.09K","1.06%"
"11/12/2023","9.806","9.804","9.816","9.800","91.86K","0.10%"
"11/09/2023","9.796","9.790","9.799","9.774","257.47K","-0.01%"
"11/08/2023","9.797","9.772","9.825","9.750","541.87K","-0.02%"
"11/07/2023","9.799","9.780","9.799","9.704","1.14M","0.19%"
