"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","3.947","3.903","3.947","3.903","174.71K","-0.05%"
"12/28/2023","3.949","3.911","3.949","3.890","368.88K","0.82%"
"12/27/2023","3.917","3.910","3.948","3.858","504.05K","-0.43%"
"12/26/2023","3.934","3.930","3.948","3.893","400.53K","-0.41%"
"12/25/2023","3.950","3.930","3.989","3.924","900.76K","1.18%"
"12/24/2023","3.904","3.898","3.943","3.898","747.85K","0.23%"
"12/21/2023","3.895","3.901","3.950","3.853","414.50K","-0.13%"
"12/20/2023","3.900","3.949","3.949","3.857","886.88K","-1.17%"
"12/19/2023","3.946","3.900","3.950","3.871","658.05K","1.83%"
"12/14/2023","3.875","3.825","3.877","3.822","645.52K","1.23%"
"12/13/2023","3.828","3.724","3.830","3.724","377.87K","1.54%"
"12/12/2023","3.770","3.726","3.795","3.723","971.81K","1.43%"
"12/11/2023","3.717","3.690","3.800","3.690","663.51K","-0.88%"
"12/10/2023","3.750","3.722","3.750","3.680","157.54K","1.32%"
"12/07/2023","3.701","3.715","3.755","3.701","653.99K","-1.44%"
"12/06/2023","3.755","3.780","3.792","3.656","484.93K","0.21%"
"12/05/2023","3.747","3.748","3.789","3.725","322.56K","-0.08%"
"12/04/2023","3.750","3.791","3.796","3.738","856.80K","-0.74%"
"12/03/2023","3.778","3.701","3.819","3.701","1.37M","2.08%"
"11/30/2023","3.701","3.710","3.710","3.666","337.87K","-0.16%"
"11/29/2023","3.707","3.726","3.726","3.703","79.31K","-0.27%"
"11/28/2023","3.717","3.705","3.734","3.705","118.18K","0.70%"
"11/27/2023","3.691","3.730","3.730","3.678","53.68K","-0.30%"
"11/26/2023","3.702","3.744","3.841","3.701","257.03K","-1.04%"
"11/23/2023","3.741","3.800","3.800","3.703","382.22K","-1.79%"
"11/22/2023","3.809","3.657","3.840","3.657","394.30K","1.87%"
"11/21/2023","3.739","3.729","3.831","3.729","374.12K","0.13%"
"11/20/2023","3.734","3.770","3.770","3.633","260.90K","-0.95%"
"11/19/2023","3.770","3.636","3.850","3.581","1.40M","4.66%"
"11/16/2023","3.602","3.601","3.678","3.575","902.46K","-0.41%"
"11/15/2023","3.617","3.556","3.666","3.556","1.11M","1.92%"
"11/14/2023","3.549","3.562","3.657","3.549","877.66K","-0.28%"
"11/13/2023","3.559","3.552","3.611","3.549","297.96K","-0.14%"
"11/12/2023","3.564","3.550","3.566","3.546","472.27K","-0.17%"
"11/09/2023","3.570","3.590","3.591","3.450","722.63K","-0.50%"
"11/08/2023","3.588","3.583","3.701","3.583","413.45K","0.14%"
"11/07/2023","3.583","3.641","3.641","3.553","545.80K","-1.78%"
"11/06/2023","3.648","3.644","3.692","3.632","281.42K","0.50%"
"11/05/2023","3.630","3.552","3.649","3.503","707.16K","2.20%"
"11/02/2023","3.552","3.511","3.590","3.511","411.33K","1.20%"
"11/01/2023","3.510","3.522","3.579","3.403","904.64K","-0.14%"
"10/31/2023","3.515","3.568","3.599","3.508","587.30K","-2.36%"
"10/30/2023","3.600","3.509","3.600","3.509","862.14K","2.65%"
"10/29/2023","3.507","3.513","3.513","3.503","127.47K","-0.17%"
"10/26/2023","3.513","3.481","3.539","3.481","389.00K","0.92%"
"10/25/2023","3.481","3.477","3.481","3.471","126.49K","0.12%"
"10/24/2023","3.477","3.496","3.507","3.416","1.09M","-0.37%"
"10/23/2023","3.490","3.435","3.530","3.435","442.64K","1.63%"
"10/22/2023","3.434","3.426","3.429","3.401","279.53K","0.20%"
"10/19/2023","3.427","3.427","3.450","3.415","347.96K","0.20%"
"10/18/2023","3.420","3.476","3.476","3.420","130.78K","-1.61%"
"10/17/2023","3.476","3.482","3.484","3.476","180.44K","-0.11%"
"10/16/2023","3.480","3.517","3.517","3.461","263.29K","-1.00%"
"10/15/2023","3.515","3.512","3.521","3.512","147.96K","0.14%"
"10/12/2023","3.510","3.522","3.583","3.500","598.80K","-0.31%"
"10/11/2023","3.521","3.455","3.560","3.455","844.19K","1.53%"
"10/10/2023","3.468","3.475","3.507","3.452","405.97K","-0.09%"
"10/09/2023","3.471","3.510","3.529","3.450","499.17K","-1.00%"
"10/08/2023","3.506","3.562","3.563","3.506","231.20K","-1.54%"
"10/05/2023","3.561","3.600","3.601","3.561","247.57K","-1.08%"
"10/04/2023","3.600","3.593","3.643","3.591","329.17K","0.19%"
"10/03/2023","3.593","3.575","3.638","3.571","241.42K","0.22%"
"10/02/2023","3.585","3.576","3.592","3.564","164.71K","-0.03%"
"10/01/2023","3.586","3.593","3.605","3.551","279.78K","-0.17%"
"09/28/2023","3.592","3.633","3.635","3.590","149.35K","-0.91%"
"09/27/2023","3.625","3.614","3.625","3.614","16.41K","0.30%"
"09/26/2023","3.614","3.650","3.650","3.605","276.66K","0.08%"
"09/25/2023","3.611","3.649","3.650","3.600","140.27K","-0.85%"
"09/24/2023","3.642","3.591","3.692","3.591","133.06K","0.05%"
"09/21/2023","3.640","3.610","3.678","3.588","766.00K","1.36%"
"09/20/2023","3.591","3.561","3.591","3.561","90.58K","-0.33%"
"09/19/2023","3.603","3.648","3.648","3.551","68.45K","0.73%"
"09/18/2023","3.577","3.540","3.579","3.540","152.63K","0.73%"
"09/17/2023","3.551","3.602","3.602","3.551","151.28K","-1.36%"
"09/14/2023","3.600","3.637","3.637","3.600","346.05K","-1.10%"
"09/13/2023","3.640","3.588","3.655","3.588","397.41K","1.34%"
"09/12/2023","3.592","3.619","3.619","3.579","379.19K","-0.66%"
"09/11/2023","3.616","3.521","3.634","3.521","1.75M","2.73%"
"09/10/2023","3.520","3.584","3.584","3.500","1.87M","-1.79%"
"09/07/2023","3.584","3.570","3.591","3.570","428.58K","0.48%"
"09/06/2023","3.567","3.515","3.590","3.515","756.87K","1.48%"
"09/05/2023","3.515","3.593","3.593","3.515","445.59K","-0.14%"
"09/04/2023","3.520","3.530","3.530","3.500","880.67K","-0.28%"
"09/03/2023","3.530","3.556","3.639","3.530","1.73M","0.86%"
"08/31/2023","3.500","3.802","3.854","3.500","7.37M","-7.94%"
"08/30/2023","3.802","3.940","3.940","3.802","303.56K","-4.83%"
"08/29/2023","3.995","3.827","3.995","3.827","440.50K","4.97%"
"08/28/2023","3.806","3.870","3.890","3.806","69.94K","-1.65%"
"08/27/2023","3.870","3.830","3.872","3.830","38.71K","1.04%"
"08/24/2023","3.830","3.801","3.900","3.801","24.77K","-0.52%"
"08/23/2023","3.850","3.900","3.900","3.802","172.56K","-0.88%"
"08/22/2023","3.884","3.800","3.884","3.800","42.75K","4.80%"
"08/21/2023","3.706","3.862","3.948","3.706","166.56K","-4.97%"
"08/20/2023","3.900","3.900","3.950","3.900","68.31K","0.03%"
"08/17/2023","3.899","3.899","3.899","3.899","165.12K","0.00%"
