"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","1.400","1.404","1.431","1.381","46.81M","-0.07%"
"12/28/2023","1.401","1.370","1.416","1.366","65.82M","3.24%"
"12/27/2023","1.357","1.364","1.365","1.345","9.77M","-0.29%"
"12/26/2023","1.361","1.370","1.374","1.352","12.16M","-1.16%"
"12/25/2023","1.377","1.364","1.397","1.363","33.95M","0.81%"
"12/24/2023","1.366","1.351","1.388","1.350","47.28M","2.09%"
"12/21/2023","1.338","1.299","1.370","1.292","17.04M","3.40%"
"12/20/2023","1.294","1.289","1.296","1.280","11.03M","0.47%"
"12/19/2023","1.288","1.270","1.293","1.270","17.75M","2.22%"
"12/14/2023","1.260","1.260","1.286","1.254","15.31M","0.56%"
"12/13/2023","1.253","1.217","1.259","1.217","17.06M","2.70%"
"12/12/2023","1.220","1.220","1.226","1.215","9.25M","0.00%"
"12/11/2023","1.220","1.223","1.226","1.216","5.94M","-0.25%"
"12/10/2023","1.223","1.221","1.234","1.220","7.10M","0.16%"
"12/07/2023","1.221","1.222","1.224","1.217","6.13M","0.00%"
"12/06/2023","1.221","1.239","1.245","1.221","5.56M","-1.45%"
"12/05/2023","1.239","1.245","1.251","1.237","7.19M","-0.32%"
"12/04/2023","1.243","1.266","1.270","1.243","7.59M","-1.66%"
"12/03/2023","1.264","1.260","1.271","1.260","7.93M","0.08%"
"11/30/2023","1.263","1.253","1.263","1.253","4.38M","0.64%"
"11/29/2023","1.255","1.256","1.267","1.250","8.09M","-0.08%"
"11/28/2023","1.256","1.266","1.266","1.248","9.31M","-0.08%"
"11/27/2023","1.257","1.274","1.274","1.256","8.55M","-1.33%"
"11/26/2023","1.274","1.277","1.284","1.274","9.00M","-0.31%"
"11/23/2023","1.278","1.284","1.287","1.272","7.48M","-0.62%"
"11/22/2023","1.286","1.278","1.291","1.278","6.21M","0.55%"
"11/21/2023","1.279","1.290","1.299","1.277","6.18M","-0.70%"
"11/20/2023","1.288","1.294","1.300","1.285","13.56M","-0.54%"
"11/19/2023","1.295","1.296","1.306","1.293","12.46M","0.23%"
"11/16/2023","1.292","1.297","1.307","1.288","12.76M","-0.39%"
