"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","16.580","16.400","16.900","16.130","1.17M","1.41%"
"12/28/2023","16.350","16.300","16.350","16.020","883.96K","0.55%"
"12/27/2023","16.260","15.890","16.300","15.790","1.54M","1.75%"
"12/26/2023","15.980","15.900","15.980","15.790","430.21K","0.19%"
"12/25/2023","15.950","15.790","15.970","15.790","336.02K","1.01%"
"12/24/2023","15.790","15.720","15.920","15.720","243.94K","0.00%"
"12/21/2023","15.790","15.690","15.790","15.650","321.86K","0.57%"
"12/20/2023","15.700","15.700","15.800","15.630","677.30K","0.00%"
"12/19/2023","15.700","15.780","15.800","15.660","886.90K","0.83%"
"12/14/2023","15.570","15.680","15.780","15.570","1.11M","-0.51%"
"12/13/2023","15.650","15.530","15.880","15.530","463.36K","-0.45%"
"12/12/2023","15.720","15.660","15.760","15.510","495.56K","0.00%"
"12/11/2023","15.720","15.750","15.770","15.570","336.83K","0.00%"
"12/10/2023","15.720","15.750","15.810","15.720","188.09K","-1.13%"
"12/07/2023","15.900","15.770","15.930","15.670","460.73K","-0.25%"
"12/06/2023","15.940","15.710","15.940","15.710","320.88K","0.31%"
"12/05/2023","15.890","15.820","15.890","15.650","378.46K","0.44%"
"12/04/2023","15.820","15.840","16.000","15.820","428.28K","0.06%"
"12/03/2023","15.810","15.790","15.870","15.780","158.74K","-0.69%"
"11/30/2023","15.920","15.800","15.920","15.770","1.47M","0.13%"
"11/29/2023","15.900","15.760","15.980","15.750","506.04K","0.32%"
"11/28/2023","15.850","15.840","15.910","15.580","943.13K","-0.25%"
"11/27/2023","15.890","15.960","16.100","15.800","600.60K","-0.31%"
"11/26/2023","15.940","16.030","16.120","15.930","472.41K","-1.36%"
"11/23/2023","16.160","16.020","16.250","15.960","553.24K","0.00%"
"11/22/2023","16.160","16.120","16.180","16.080","439.06K","0.00%"
"11/21/2023","16.160","16.150","16.190","16.100","458.15K","-0.25%"
"11/20/2023","16.200","16.250","16.250","16.140","175.78K","-0.31%"
"11/19/2023","16.250","16.190","16.290","16.190","365.38K","0.18%"
"11/16/2023","16.220","16.120","16.290","16.100","826.94K","-0.06%"
"11/15/2023","16.230","16.050","16.230","16.050","446.28K","1.18%"
"11/14/2023","16.040","16.250","16.260","16.000","617.65K","-1.29%"
"11/13/2023","16.250","16.330","16.350","16.210","244.99K","-0.49%"
"11/12/2023","16.330","16.050","16.400","16.050","581.30K","1.43%"
"11/09/2023","16.100","16.110","16.140","16.020","379.84K","-0.19%"
"11/08/2023","16.130","16.120","16.230","16.100","709.83K","0.19%"
"11/07/2023","16.100","16.140","16.140","16.090","255.05K","0.00%"
"11/06/2023","16.100","15.730","16.510","15.730","1.84M","-0.80%"
"11/05/2023","16.230","14.910","16.350","14.880","2.06M","9.15%"
"11/02/2023","14.870","14.800","14.960","14.760","954.17K","0.81%"
"11/01/2023","14.750","14.810","14.910","14.750","710.35K","-0.67%"
"10/31/2023","14.850","14.890","14.890","14.750","971.97K","0.47%"
"10/30/2023","14.780","14.850","15.090","14.760","1.38M","0.20%"
"10/29/2023","14.750","14.950","15.010","14.510","760.24K","-1.67%"
"10/26/2023","15.000","15.180","15.200","14.900","592.52K","-1.32%"
"10/25/2023","15.200","15.660","15.680","15.160","608.37K","-1.94%"
"10/24/2023","15.500","15.800","15.800","15.500","255.60K","-1.90%"
"10/23/2023","15.800","15.680","15.870","15.640","624.04K","-0.13%"
"10/22/2023","15.820","15.860","15.940","15.610","610.49K","-0.57%"
"10/19/2023","15.910","15.950","16.170","15.850","512.64K","-0.25%"
"10/18/2023","15.950","16.020","16.040","15.560","551.23K","-0.62%"
"10/17/2023","16.050","16.040","16.120","15.990","399.29K","-0.31%"
"10/16/2023","16.100","16.110","16.130","16.030","322.14K","-1.53%"
"10/15/2023","16.350","16.170","16.350","16.100","172.01K","0.99%"
"10/12/2023","16.190","16.090","16.370","16.050","953.96K","0.31%"
"10/11/2023","16.140","16.060","16.300","16.040","687.74K","0.87%"
"10/10/2023","16.000","15.960","16.410","15.960","414.19K","0.31%"
"10/09/2023","15.950","16.200","16.200","15.870","542.24K","-1.66%"
"10/08/2023","16.220","16.210","16.260","16.180","159.43K","-1.22%"
"10/05/2023","16.420","16.320","16.420","16.000","356.73K","0.49%"
"10/04/2023","16.340","16.410","16.420","16.280","320.77K","-0.85%"
"10/03/2023","16.480","16.330","16.580","16.260","568.25K","-0.12%"
"10/02/2023","16.500","16.230","16.550","16.060","632.18K","1.66%"
"10/01/2023","16.230","16.500","16.590","16.230","275.31K","-1.64%"
"09/28/2023","16.500","16.560","16.590","16.320","1.10M","0.24%"
