"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","2.590","2.498","2.596","2.498","1.83M","-0.35%"
"12/28/2023","2.599","2.475","2.599","2.421","2.35M","4.80%"
"12/27/2023","2.480","2.419","2.480","2.390","633.75K","2.48%"
"12/26/2023","2.420","2.401","2.420","2.390","521.87K","0.79%"
"12/25/2023","2.401","2.372","2.403","2.372","401.61K","-0.17%"
"12/24/2023","2.405","2.359","2.434","2.356","743.76K","0.46%"
"12/21/2023","2.394","2.333","2.394","2.333","316.83K","0.08%"
"12/20/2023","2.392","2.350","2.392","2.335","186.36K","1.36%"
"12/19/2023","2.360","2.317","2.435","2.317","688.19K","0.43%"
"12/14/2023","2.350","2.438","2.439","2.301","1.53M","1.29%"
"12/13/2023","2.320","2.300","2.320","2.300","336.35K","0.65%"
"12/12/2023","2.305","2.360","2.361","2.273","3.15M","-2.74%"
"12/11/2023","2.370","2.346","2.371","2.345","618.12K","-0.08%"
"12/10/2023","2.372","2.345","2.435","2.345","131.97K","1.15%"
"12/07/2023","2.345","2.375","2.375","2.345","260.31K","-0.68%"
"12/06/2023","2.361","2.370","2.385","2.361","56.00K","-0.38%"
"12/05/2023","2.370","2.385","2.385","2.350","129.54K","-0.34%"
"12/04/2023","2.378","2.391","2.418","2.377","425.36K","-0.13%"
"12/03/2023","2.381","2.379","2.425","2.379","358.25K","-1.61%"
"11/30/2023","2.420","2.378","2.420","2.374","281.34K","1.98%"
"11/29/2023","2.373","2.380","2.381","2.373","24.42K","-0.08%"
"11/28/2023","2.375","2.378","2.381","2.375","193.63K","-0.21%"
"11/27/2023","2.380","2.380","2.390","2.373","419.76K","-0.46%"
"11/26/2023","2.391","2.380","2.391","2.380","310.29K","0.08%"
"11/23/2023","2.389","2.380","2.395","2.380","97.52K","-0.25%"
"11/22/2023","2.395","2.395","2.397","2.380","178.33K","0.59%"
"11/21/2023","2.381","2.414","2.415","2.381","583.19K","-1.37%"
"11/20/2023","2.414","2.415","2.415","2.408","63.53K","0.25%"
"11/19/2023","2.408","2.382","2.415","2.380","417.44K","-0.70%"
"11/16/2023","2.425","2.419","2.425","2.385","193.67K","1.00%"
"11/15/2023","2.401","2.426","2.439","2.398","144.34K","-0.99%"
"11/14/2023","2.425","2.434","2.434","2.373","588.77K","1.76%"
"11/13/2023","2.383","2.440","2.440","2.383","72.51K","-1.53%"
"11/09/2023","2.420","2.478","2.478","2.412","110.73K","0.17%"
"11/08/2023","2.416","2.415","2.418","2.406","18.88K","-0.17%"
"11/07/2023","2.420","2.436","2.436","2.420","349.80K","-0.58%"
"11/06/2023","2.434","2.427","2.450","2.400","739.32K","-1.78%"
"11/05/2023","2.478","2.452","2.478","2.422","2.11M","1.39%"
"11/02/2023","2.444","2.462","2.496","2.419","592.47K","-0.73%"
"11/01/2023","2.462","2.462","2.462","2.440","120.98K","-0.08%"
"10/31/2023","2.464","2.444","2.496","2.431","415.48K","0.82%"
"10/30/2023","2.444","2.408","2.444","2.396","2.07M","2.00%"
"10/29/2023","2.396","2.369","2.401","2.325","703.58K","1.14%"
"10/26/2023","2.369","2.400","2.400","2.356","853.35K","-3.23%"
"10/25/2023","2.448","2.322","2.448","2.322","304.86K","3.38%"
"10/24/2023","2.368","2.498","2.498","2.351","1.41M","-5.01%"
"10/23/2023","2.493","2.484","2.500","2.450","270.39K","0.36%"
"10/22/2023","2.484","2.484","2.484","2.466","274.88K","-0.60%"
"10/19/2023","2.499","2.465","2.499","2.450","30.26K","2.04%"
"10/18/2023","2.449","2.499","2.499","2.400","600.96K","-2.04%"
"10/17/2023","2.500","2.498","2.500","2.482","146.62K","0.89%"
"10/16/2023","2.478","2.325","2.500","2.325","965.41K","-0.88%"
"10/15/2023","2.500","2.501","2.501","2.489","588.13K","0.00%"
"10/12/2023","2.500","2.452","2.500","2.452","1.65M","0.93%"
"10/11/2023","2.477","2.499","2.499","2.437","1.03M","0.98%"
"10/10/2023","2.453","2.488","2.500","2.420","2.53M","-1.41%"
"10/09/2023","2.488","2.511","2.552","2.450","479.64K","0.61%"
"10/08/2023","2.473","2.500","2.500","2.473","88.07K","-1.87%"
"10/05/2023","2.520","2.499","2.535","2.471","648.70K","0.64%"
"10/04/2023","2.504","2.493","2.531","2.450","838.96K","-0.83%"
"10/03/2023","2.525","2.565","2.599","2.522","730.87K","-1.37%"
"10/02/2023","2.560","2.475","2.595","2.475","639.15K","4.07%"
"10/01/2023","2.460","2.654","2.669","2.460","129.08K","-7.87%"
"09/28/2023","2.670","2.585","2.670","2.569","6.40M","3.29%"
"09/27/2023","2.585","2.577","2.590","2.540","5.73M","0.27%"
"09/26/2023","2.578","2.474","2.578","2.474","3.78M","4.58%"
"09/25/2023","2.465","2.450","2.470","2.446","4.01M","0.61%"
"09/24/2023","2.450","2.435","2.453","2.400","15.94M","0.41%"
"09/21/2023","2.440","2.409","2.440","2.409","2.20M","0.62%"
"09/20/2023","2.425","2.419","2.429","2.403","2.61M","0.58%"
"09/19/2023","2.411","2.399","2.419","2.399","2.84M","0.92%"
"09/18/2023","2.389","2.374","2.390","2.374","2.56M","3.82%"
"09/17/2023","2.301","2.327","2.380","2.301","1.21M","-1.67%"
