"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","21.500","20.710","21.500","20.620","5.31M","2.87%"
"12/28/2023","20.900","20.900","21.330","20.620","5.47M","-1.42%"
"12/27/2023","21.200","21.530","21.650","20.870","4.18M","-1.53%"
"12/26/2023","21.530","21.120","21.990","21.120","2.13M","2.04%"
"12/25/2023","21.100","20.900","21.100","20.850","1.48M","0.96%"
"12/24/2023","20.900","20.230","20.990","19.830","1.59M","3.31%"
"12/21/2023","20.230","19.830","20.230","19.620","1.07M","1.66%"
"12/20/2023","19.900","19.620","19.940","19.480","1.81M","1.43%"
"12/19/2023","19.620","19.010","19.640","19.000","2.89M","3.32%"
"12/14/2023","18.990","18.430","18.990","18.430","4.16M","2.93%"
"12/13/2023","18.450","18.000","18.530","17.990","1.34M","1.71%"
"12/12/2023","18.140","18.060","18.140","17.950","1.10M","-0.11%"
"12/11/2023","18.160","18.120","18.160","18.040","661.56K","0.28%"
"12/10/2023","18.110","18.180","18.220","18.070","520.01K","-0.77%"
"12/07/2023","18.250","18.360","18.360","18.150","1.35M","-0.54%"
"12/06/2023","18.350","18.530","18.550","18.310","979.48K","-0.97%"
"12/05/2023","18.530","18.770","18.770","18.500","1.02M","-1.44%"
"12/04/2023","18.800","18.900","18.920","18.730","454.72K","-0.48%"
"12/03/2023","18.890","19.000","19.030","18.890","414.65K","-0.58%"
"11/30/2023","19.000","18.560","19.000","18.500","3.83M","2.21%"
"11/29/2023","18.590","18.370","18.590","18.370","979.91K","0.49%"
"11/28/2023","18.500","18.420","18.500","18.090","987.51K","0.87%"
"11/27/2023","18.340","18.620","18.630","18.270","1.09M","-1.56%"
"11/26/2023","18.630","18.900","18.900","18.630","1.02M","-1.53%"
"11/23/2023","18.920","18.950","18.950","18.870","539.04K","-0.26%"
"11/22/2023","18.970","18.860","18.970","18.860","851.88K","0.37%"
"11/21/2023","18.900","18.940","19.100","18.850","1.86M","-0.21%"
"11/20/2023","18.940","18.990","18.990","18.820","1.11M","-0.05%"
"11/19/2023","18.950","18.840","19.100","18.840","2.06M","0.85%"
"11/16/2023","18.790","18.520","18.940","18.520","2.34M","1.08%"
"11/15/2023","18.590","18.240","18.590","18.240","2.42M","2.71%"
"11/14/2023","18.100","18.240","18.500","18.100","1.58M","-0.71%"
"11/13/2023","18.230","18.090","18.330","18.000","944.08K","1.00%"
"11/12/2023","18.050","18.060","18.150","18.050","512.57K","0.28%"
"11/09/2023","18.000","18.300","18.300","17.850","1.13M","-0.94%"
"11/08/2023","18.170","18.530","18.530","18.170","1.25M","-2.05%"
"11/07/2023","18.550","18.500","18.600","18.400","1.84M","0.00%"
"11/06/2023","18.550","18.350","18.550","18.040","2.14M","1.37%"
"11/05/2023","18.300","18.000","18.400","17.900","1.19M","2.23%"
"11/02/2023","17.900","17.570","18.200","17.570","1.53M","1.94%"
