"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","9.700","9.680","9.730","9.603","2.33M","1.04%"
"12/28/2023","9.600","9.671","9.796","9.600","1.03M","-0.82%"
"12/27/2023","9.679","9.514","9.693","9.490","2.22M","1.87%"
"12/26/2023","9.501","9.687","9.687","9.500","1.38M","-0.51%"
"12/25/2023","9.550","9.688","9.744","9.550","5.57M","-1.35%"
"12/24/2023","9.681","9.775","9.792","9.664","704.77K","-1.21%"
"12/21/2023","9.800","9.803","9.812","9.701","1.04M","-0.09%"
"12/20/2023","9.809","9.880","9.886","9.800","974.25K","-0.52%"
"12/19/2023","9.860","9.965","9.971","9.860","1.77M","-0.56%"
"12/14/2023","9.916","9.746","9.916","9.677","17.30M","2.70%"
"12/13/2023","9.655","9.408","9.799","9.401","1.97M","2.71%"
"12/12/2023","9.400","9.434","9.498","9.320","1.60M","-0.01%"
"12/11/2023","9.401","9.489","9.514","9.328","1.48M","-0.93%"
"12/10/2023","9.489","9.500","9.506","9.470","405.92K","0.09%"
"12/07/2023","9.480","9.537","9.538","9.479","1.18M","-0.25%"
"12/06/2023","9.504","9.561","9.600","9.504","869.66K","-0.46%"
"12/05/2023","9.548","9.520","9.599","9.518","695.74K","-0.23%"
"12/04/2023","9.570","9.620","9.641","9.493","2.01M","-0.31%"
"12/03/2023","9.600","9.560","9.627","9.560","1.79M","1.05%"
"11/30/2023","9.500","9.703","9.703","9.500","8.87M","-1.35%"
"11/29/2023","9.630","9.850","9.895","9.630","1.66M","-0.89%"
"11/28/2023","9.716","10.000","10.010","9.716","1.15M","-2.74%"
"11/27/2023","9.990","10.030","10.030","9.990","1.23M","-0.30%"
"11/26/2023","10.020","10.180","10.230","10.000","1.49M","-1.67%"
"11/23/2023","10.190","10.250","10.290","10.170","1.44M","-0.39%"
"11/22/2023","10.230","10.190","10.280","10.140","1.55M","0.39%"
"11/21/2023","10.190","9.893","10.230","9.893","2.25M","2.71%"
"11/20/2023","9.921","9.551","9.921","9.551","3.45M","3.99%"
"11/19/2023","9.540","9.457","9.620","9.423","874.85K","1.03%"
"11/16/2023","9.443","9.414","9.475","9.360","2.98M","-0.02%"
"11/15/2023","9.445","9.635","9.666","9.445","2.42M","-1.83%"
"11/14/2023","9.621","9.787","9.801","9.567","806.58K","-0.94%"
"11/13/2023","9.712","9.783","9.830","9.712","853.27K","-0.29%"
"11/12/2023","9.740","9.615","9.896","9.615","847.89K","1.62%"
"11/09/2023","9.585","9.537","9.637","9.510","1.30M","-0.70%"
"11/08/2023","9.653","9.749","9.749","9.650","802.23K","-0.69%"
"11/07/2023","9.720","9.820","9.820","9.711","578.22K","-0.82%"
"11/06/2023","9.800","9.781","9.872","9.662","638.05K","0.20%"
"11/05/2023","9.780","9.541","9.780","9.534","914.33K","2.50%"
"11/02/2023","9.541","9.239","9.879","9.239","1.11M","3.27%"
"11/01/2023","9.239","9.123","9.350","9.113","616.42K","2.53%"
"10/31/2023","9.011","9.171","9.599","9.011","1.14M","-1.77%"
"10/30/2023","9.173","9.017","9.495","9.017","1.30M","1.87%"
"10/29/2023","9.005","8.977","9.061","8.967","953.38K","2.81%"
"10/26/2023","8.759","8.950","9.008","8.759","761.32K","-2.58%"
"10/25/2023","8.991","8.967","9.340","8.967","1.11M","0.13%"
"10/24/2023","8.979","9.103","9.226","8.864","1.57M","-2.40%"
"10/23/2023","9.200","9.261","9.411","9.180","810.55K","-0.54%"
"10/22/2023","9.250","9.546","9.595","9.250","1.64M","-2.99%"
"10/19/2023","9.535","9.760","9.896","9.506","721.52K","-2.79%"
"10/18/2023","9.809","9.881","9.949","9.801","280.03K","-0.73%"
"10/17/2023","9.881","9.997","10.040","9.880","795.49K","-1.16%"
"10/16/2023","9.997","9.926","10.080","9.921","1.18M","0.79%"
"10/15/2023","9.919","10.050","10.190","9.890","998.19K","-1.21%"
"10/12/2023","10.040","9.977","10.120","9.970","1.08M","0.73%"
"10/11/2023","9.967","9.857","10.280","9.857","1.81M","1.19%"
"10/10/2023","9.850","9.900","10.290","9.804","1.74M","-0.49%"
"10/09/2023","9.899","10.150","10.150","9.650","973.14K","-2.38%"
"10/08/2023","10.140","10.170","10.250","10.050","787.00K","-1.17%"
"10/05/2023","10.260","10.400","10.400","10.260","288.68K","-1.91%"
"10/04/2023","10.460","10.530","10.590","10.350","747.06K","-0.57%"
"10/03/2023","10.520","10.470","10.620","10.470","508.34K","0.38%"
"10/02/2023","10.480","10.370","10.490","10.370","790.00K","0.96%"
