"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","0.951","0.950","0.970","0.950","3.13M","-0.63%"
"12/28/2023","0.957","0.950","0.957","0.941","1.54M","0.53%"
"12/27/2023","0.952","0.933","0.969","0.933","3.30M","2.04%"
"12/26/2023","0.933","0.925","0.936","0.925","502.19K","0.43%"
"12/25/2023","0.929","0.925","0.935","0.925","1.43M","0.54%"
"12/24/2023","0.924","0.926","0.930","0.916","764.42K","2.67%"
"12/21/2023","0.900","0.903","0.929","0.900","912.85K","-1.85%"
"12/20/2023","0.917","0.895","0.920","0.888","3.04M","3.62%"
"12/19/2023","0.885","0.880","0.889","0.874","2.94M","3.15%"
"12/14/2023","0.858","0.888","0.888","0.855","732.05K","0.23%"
"12/13/2023","0.856","0.850","0.869","0.850","335.72K","0.47%"
"12/12/2023","0.852","0.849","0.860","0.849","451.55K","0.59%"
"12/11/2023","0.847","0.860","0.894","0.842","3.20M","0.59%"
"12/10/2023","0.842","0.850","0.855","0.840","1.92M","-2.09%"
"12/07/2023","0.860","0.852","0.860","0.830","160.13K","0.94%"
"12/06/2023","0.852","0.855","0.855","0.852","298.76K","-1.16%"
"12/05/2023","0.862","0.853","0.870","0.852","522.73K","0.00%"
"12/04/2023","0.862","0.863","0.880","0.862","785.32K","-1.49%"
"12/03/2023","0.875","0.869","0.880","0.861","289.36K","-0.23%"
"11/30/2023","0.877","0.887","0.887","0.870","208.85K","-0.34%"
"11/29/2023","0.880","0.832","0.880","0.832","391.99K","-0.45%"
"11/28/2023","0.884","0.861","0.875","0.861","309.29K","-0.45%"
"11/27/2023","0.888","0.877","0.888","0.861","248.45K","1.25%"
"11/26/2023","0.877","0.874","0.878","0.874","112.10K","0.34%"
"11/23/2023","0.874","0.881","0.882","0.874","571.45K","-1.69%"
"11/22/2023","0.889","0.894","0.900","0.889","351.31K","-0.11%"
"11/21/2023","0.890","0.901","0.901","0.888","181.31K","-1.66%"
"11/20/2023","0.905","0.902","0.913","0.901","256.32K","0.00%"
"11/19/2023","0.905","0.896","0.924","0.896","1.91M","1.00%"
"11/16/2023","0.896","0.891","0.901","0.890","507.13K","0.56%"
"11/15/2023","0.891","0.899","0.909","0.891","671.04K","-1.00%"
"11/14/2023","0.900","0.886","0.902","0.886","648.22K","-0.22%"
"11/13/2023","0.902","0.879","0.907","0.879","813.09K","0.45%"
"11/12/2023","0.898","0.900","0.900","0.882","221.09K","-0.66%"
"11/09/2023","0.904","0.896","0.900","0.884","563.24K","-0.88%"
"11/08/2023","0.912","0.900","0.914","0.890","869.62K","1.45%"
"11/07/2023","0.899","0.909","0.910","0.890","560.23K","-1.21%"
"11/06/2023","0.910","0.949","0.949","0.910","3.02M","-1.73%"
"11/05/2023","0.926","0.932","0.961","0.911","4.62M","-0.43%"
"11/02/2023","0.930","0.916","0.951","0.916","6.35M","1.64%"
"11/01/2023","0.915","0.908","0.915","0.903","2.15M","-2.14%"
"10/31/2023","0.935","0.931","0.951","0.903","1.11M","1.08%"
"10/30/2023","0.925","0.870","0.935","0.868","3.32M","7.06%"
"10/29/2023","0.864","0.846","0.870","0.846","1.28M","-1.26%"
"10/26/2023","0.875","0.887","0.891","0.875","1.24M","-2.89%"
"10/25/2023","0.901","0.898","0.918","0.876","4.50M","2.85%"
"10/24/2023","0.876","0.910","0.910","0.876","1.64M","-4.99%"
"10/23/2023","0.922","0.890","0.924","0.890","1.55M","1.32%"
"10/22/2023","0.910","0.908","0.925","0.863","2.89M","0.33%"
"10/19/2023","0.907","0.903","0.920","0.901","1.75M","-0.55%"
"10/18/2023","0.912","0.920","0.933","0.904","918.81K","-0.87%"
"10/17/2023","0.920","0.920","0.940","0.911","1.78M","0.44%"
"10/16/2023","0.916","0.947","0.949","0.901","3.47M","-4.08%"
"10/15/2023","0.955","0.942","0.968","0.941","4.03M","0.53%"
"10/12/2023","0.950","0.936","0.962","0.935","1.27M","1.50%"
"10/11/2023","0.936","0.932","0.965","0.932","1.68M","0.54%"
"10/10/2023","0.931","0.921","0.955","0.921","2.36M","1.09%"
"10/09/2023","0.921","0.954","0.954","0.900","3.89M","-1.29%"
"10/08/2023","0.933","0.970","0.984","0.921","6.16M","-3.32%"
"10/05/2023","0.965","0.971","1.040","0.945","45.17M","0.00%"
"10/04/2023","0.965","0.990","1.019","0.956","8.54M","-2.33%"
"10/03/2023","0.988","0.907","0.990","0.900","36.33M","9.78%"
"10/02/2023","0.900","0.876","0.900","0.876","5.52M","2.62%"
"10/01/2023","0.877","0.880","0.900","0.877","660.12K","0.11%"
"09/28/2023","0.876","0.899","0.901","0.876","5.99M","-1.79%"
"09/27/2023","0.892","0.943","0.943","0.882","8.56M","-4.19%"
"09/26/2023","0.931","0.950","0.980","0.930","13.15M","-1.90%"
"09/25/2023","0.949","0.896","0.951","0.873","17.67M","5.92%"
