"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","1.451","1.403","1.489","1.403","8.76M","-6.87%"
"12/28/2023","1.558","1.586","1.594","1.551","3.64M","-2.01%"
"12/27/2023","1.590","1.586","1.608","1.580","1.31M","-0.44%"
"12/26/2023","1.597","1.595","1.615","1.584","1.28M","-0.99%"
"12/25/2023","1.613","1.601","1.635","1.585","3.08M","0.81%"
"12/24/2023","1.600","1.567","1.619","1.567","3.15M","2.11%"
"12/21/2023","1.567","1.559","1.593","1.538","5.67M","1.95%"
"12/20/2023","1.537","1.465","1.545","1.465","6.92M","5.06%"
"12/19/2023","1.463","1.416","1.473","1.416","3.58M","3.98%"
"12/14/2023","1.407","1.426","1.470","1.407","2.40M","-1.26%"
"12/13/2023","1.425","1.413","1.444","1.413","1.30M","-0.21%"
"12/12/2023","1.428","1.420","1.438","1.412","580.06K","0.56%"
"12/11/2023","1.420","1.443","1.449","1.416","1.37M","-1.59%"
"12/10/2023","1.443","1.429","1.460","1.427","1.55M","0.91%"
"12/07/2023","1.430","1.427","1.444","1.427","791.43K","-1.72%"
"12/06/2023","1.455","1.454","1.489","1.454","552.49K","-1.02%"
"12/05/2023","1.470","1.430","1.480","1.430","1.28M","0.00%"
"12/04/2023","1.470","1.520","1.520","1.453","3.39M","-2.00%"
"12/03/2023","1.500","1.509","1.525","1.500","657.15K","-0.60%"
"11/30/2023","1.509","1.506","1.524","1.500","1.45M","0.20%"
"11/29/2023","1.506","1.518","1.547","1.501","335.90K","-0.79%"
"11/28/2023","1.518","1.539","1.544","1.491","885.33K","0.60%"
"11/27/2023","1.509","1.537","1.538","1.500","1.78M","-1.82%"
"11/26/2023","1.537","1.555","1.579","1.536","1.96M","-1.16%"
"11/23/2023","1.555","1.571","1.596","1.555","3.12M","-1.46%"
"11/22/2023","1.578","1.539","1.596","1.536","3.88M","2.53%"
"11/21/2023","1.539","1.588","1.588","1.533","3.03M","-2.16%"
"11/20/2023","1.573","1.597","1.598","1.550","2.67M","-0.57%"
"11/19/2023","1.582","1.596","1.597","1.563","2.95M","-0.13%"
"11/16/2023","1.584","1.610","1.612","1.581","3.53M","-1.61%"
"11/15/2023","1.610","1.591","1.631","1.590","5.49M","0.62%"
"11/14/2023","1.600","1.625","1.629","1.573","4.03M","-0.19%"
"11/13/2023","1.603","1.627","1.637","1.602","4.32M","-0.12%"
"11/12/2023","1.605","1.550","1.623","1.550","10.71M","3.62%"
"11/09/2023","1.549","1.535","1.584","1.525","4.65M","0.58%"
"11/08/2023","1.540","1.550","1.574","1.522","3.42M","0.06%"
"11/07/2023","1.539","1.530","1.583","1.520","8.54M","0.72%"
"11/06/2023","1.528","1.575","1.575","1.516","5.08M","-1.67%"
"11/05/2023","1.554","1.543","1.597","1.532","8.44M","0.78%"
"11/02/2023","1.542","1.547","1.585","1.511","15.94M","1.31%"
"11/01/2023","1.522","1.550","1.550","1.452","16.22M","1.47%"
"10/31/2023","1.500","1.499","1.500","1.480","10.82M","9.97%"
"10/30/2023","1.364","1.273","1.364","1.273","8.70M","10.00%"
"10/29/2023","1.240","1.276","1.278","1.200","4.33M","-1.27%"
"10/26/2023","1.256","1.304","1.348","1.255","2.73M","-3.61%"
"10/25/2023","1.303","1.340","1.387","1.300","2.01M","-2.76%"
"10/24/2023","1.340","1.467","1.467","1.340","5.04M","-7.39%"
"10/23/2023","1.447","1.446","1.503","1.431","3.06M","-1.56%"
