"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","1.643","1.622","1.650","1.622","2.05M","1.36%"
"12/28/2023","1.621","1.628","1.645","1.621","1.54M","-0.37%"
"12/27/2023","1.627","1.610","1.628","1.610","309.02K","0.00%"
"12/26/2023","1.627","1.630","1.631","1.615","323.47K","-0.25%"
"12/25/2023","1.631","1.631","1.647","1.623","728.71K","0.00%"
"12/24/2023","1.631","1.639","1.640","1.624","791.81K","-0.55%"
"12/21/2023","1.640","1.623","1.640","1.613","398.93K","1.05%"
"12/20/2023","1.623","1.627","1.638","1.592","1.62M","0.00%"
"12/19/2023","1.623","1.594","1.631","1.593","1.07M","1.82%"
"12/14/2023","1.594","1.568","1.608","1.568","2.28M","1.79%"
"12/13/2023","1.566","1.553","1.608","1.551","1.41M","0.97%"
"12/12/2023","1.551","1.553","1.555","1.525","1.10M","0.06%"
"12/11/2023","1.550","1.568","1.569","1.550","478.74K","-1.15%"
"12/10/2023","1.568","1.587","1.590","1.561","1.19M","-1.20%"
"12/07/2023","1.587","1.588","1.589","1.587","149.28K","-0.06%"
"12/06/2023","1.588","1.586","1.605","1.586","1.43M","-0.56%"
"12/05/2023","1.597","1.602","1.602","1.581","283.00K","-0.37%"
"12/04/2023","1.603","1.618","1.619","1.598","708.20K","-0.93%"
"12/03/2023","1.618","1.643","1.647","1.615","2.28M","-1.28%"
"11/30/2023","1.639","1.617","1.644","1.617","1.22M","1.36%"
"11/29/2023","1.617","1.615","1.628","1.615","673.61K","0.12%"
"11/28/2023","1.615","1.615","1.645","1.594","2.45M","0.00%"
"11/27/2023","1.615","1.623","1.623","1.610","621.94K","-0.37%"
"11/26/2023","1.621","1.625","1.625","1.621","455.32K","-0.25%"
"11/23/2023","1.625","1.632","1.638","1.608","1.43M","-0.55%"
"11/22/2023","1.634","1.616","1.667","1.615","5.71M","1.11%"
"11/21/2023","1.616","1.625","1.629","1.616","1.25M","0.37%"
"11/20/2023","1.610","1.630","1.631","1.610","905.64K","-1.29%"
"11/19/2023","1.631","1.620","1.659","1.620","1.63M","0.68%"
"11/16/2023","1.620","1.631","1.642","1.618","2.91M","-0.67%"
"11/15/2023","1.631","1.650","1.680","1.630","2.23M","-1.09%"
"11/14/2023","1.649","1.546","1.665","1.546","12.70M","6.94%"
"11/13/2023","1.542","1.522","1.546","1.521","1.85M","0.13%"
"11/12/2023","1.540","1.524","1.577","1.524","1.46M","1.65%"
"11/09/2023","1.515","1.557","1.588","1.501","1.08M","-2.76%"
"11/08/2023","1.558","1.567","1.567","1.552","1.15M","-0.57%"
"11/07/2023","1.567","1.559","1.570","1.551","3.02M","0.58%"
"11/06/2023","1.558","1.563","1.584","1.550","2.80M","-0.26%"
"11/05/2023","1.562","1.548","1.591","1.548","3.29M","0.97%"
"11/02/2023","1.547","1.536","1.564","1.536","1.69M","0.52%"
"11/01/2023","1.539","1.539","1.575","1.535","2.59M","-0.06%"
"10/31/2023","1.540","1.598","1.598","1.536","1.69M","-1.91%"
"10/30/2023","1.570","1.492","1.570","1.492","2.37M","5.65%"
"10/29/2023","1.486","1.489","1.507","1.463","1.24M","-0.27%"
"10/26/2023","1.490","1.505","1.506","1.481","1.36M","-0.93%"
"10/25/2023","1.504","1.491","1.547","1.491","1.46M","0.94%"
"10/24/2023","1.490","1.511","1.549","1.489","1.11M","-1.39%"
"10/23/2023","1.511","1.508","1.538","1.507","1.86M","0.27%"
"10/22/2023","1.507","1.488","1.519","1.427","5.08M","1.21%"
"10/19/2023","1.489","1.545","1.545","1.480","4.92M","-3.62%"
"10/18/2023","1.545","1.649","1.649","1.545","5.35M","-6.65%"
"10/17/2023","1.655","1.644","1.656","1.644","699.25K","0.67%"
"10/16/2023","1.644","1.668","1.671","1.644","1.42M","-1.44%"
"10/15/2023","1.668","1.674","1.700","1.668","957.25K","-0.42%"
"10/12/2023","1.675","1.644","1.689","1.640","2.55M","1.89%"
"10/11/2023","1.644","1.615","1.660","1.601","2.80M","2.62%"
"10/10/2023","1.602","1.631","1.645","1.600","1.98M","-1.54%"
"10/09/2023","1.627","1.636","1.660","1.600","1.70M","-2.05%"
"10/08/2023","1.661","1.681","1.706","1.661","879.09K","-1.31%"
"10/05/2023","1.683","1.700","1.701","1.683","1.02M","-1.00%"
"10/04/2023","1.700","1.701","1.719","1.690","703.23K","-0.12%"
"10/03/2023","1.702","1.698","1.714","1.698","1.56M","-0.53%"
"10/02/2023","1.711","1.700","1.718","1.688","783.72K","0.18%"
"10/01/2023","1.708","1.713","1.714","1.700","845.92K","-0.29%"
"09/28/2023","1.713","1.724","1.724","1.710","476.89K","-0.06%"
"09/27/2023","1.714","1.717","1.719","1.707","248.49K","-0.06%"
"09/26/2023","1.715","1.726","1.726","1.700","1.45M","0.59%"
"09/25/2023","1.705","1.725","1.726","1.700","807.54K","-0.29%"
"09/24/2023","1.710","1.723","1.739","1.710","1.30M","-0.41%"
"09/21/2023","1.717","1.729","1.729","1.710","861.16K","0.00%"
"09/20/2023","1.717","1.725","1.725","1.711","1.51M","-0.35%"
"09/19/2023","1.723","1.750","1.757","1.715","1.37M","0.58%"
"09/18/2023","1.713","1.706","1.739","1.706","1.81M","0.41%"
"09/17/2023","1.706","1.716","1.742","1.701","2.12M","-0.64%"
"09/14/2023","1.717","1.724","1.724","1.707","1.80M","-0.46%"
"09/13/2023","1.725","1.728","1.729","1.712","1.35M","-0.23%"
"09/12/2023","1.729","1.744","1.750","1.715","2.13M","-0.80%"
"09/11/2023","1.743","1.733","1.750","1.727","1.59M","-0.17%"
"09/10/2023","1.746","1.720","1.779","1.720","1.73M","1.51%"
