"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","1.907","1.881","1.934","1.880","28.54M","1.44%"
"12/28/2023","1.880","1.880","1.888","1.878","29.35M","0.00%"
"12/27/2023","1.880","1.876","1.884","1.871","9.03M","0.00%"
"12/26/2023","1.880","1.871","1.880","1.855","2.22M","0.53%"
"12/25/2023","1.870","1.837","1.877","1.837","3.32M","1.80%"
"12/24/2023","1.837","1.829","1.843","1.827","1.43M","0.38%"
"12/21/2023","1.830","1.818","1.850","1.818","3.36M","0.55%"
"12/20/2023","1.820","1.812","1.823","1.807","4.23M","0.55%"
"12/19/2023","1.810","1.794","1.812","1.775","1.96M","0.56%"
"12/14/2023","1.800","1.796","1.812","1.792","2.15M","0.33%"
"12/13/2023","1.794","1.795","1.795","1.792","686.45K","-0.06%"
"12/12/2023","1.795","1.784","1.797","1.784","1.28M","0.22%"
"12/11/2023","1.791","1.797","1.798","1.780","1.07M","-0.50%"
"12/10/2023","1.800","1.796","1.800","1.790","841.17K","0.06%"
"12/07/2023","1.799","1.796","1.799","1.775","1.31M","0.22%"
"12/06/2023","1.795","1.798","1.798","1.794","1.25M","-0.17%"
"12/05/2023","1.798","1.801","1.801","1.796","2.55M","0.00%"
"12/04/2023","1.798","1.805","1.805","1.787","1.63M","-0.39%"
"12/03/2023","1.805","1.802","1.833","1.802","2.73M","-1.90%"
"11/30/2023","1.840","1.800","1.840","1.800","5.05M","0.60%"
"11/29/2023","1.829","1.799","1.829","1.793","1.75M","1.67%"
"11/28/2023","1.799","1.786","1.799","1.783","2.38M","0.95%"
"11/27/2023","1.782","1.799","1.799","1.781","1.34M","-0.89%"
"11/26/2023","1.798","1.800","1.827","1.798","2.47M","-1.75%"
"11/23/2023","1.830","1.792","1.830","1.764","2.16M","2.12%"
"11/22/2023","1.792","1.792","1.806","1.789","3.62M","-0.06%"
"11/21/2023","1.793","1.796","1.800","1.786","1.54M","-0.17%"
"11/20/2023","1.796","1.801","1.804","1.790","2.27M","-0.28%"
"11/19/2023","1.801","1.797","1.805","1.796","3.08M","0.17%"
"11/16/2023","1.798","1.799","1.800","1.793","1.29M","-0.11%"
"11/15/2023","1.800","1.800","1.809","1.794","5.84M","0.00%"
"11/14/2023","1.800","1.778","1.800","1.778","3.50M","1.24%"
"11/13/2023","1.778","1.776","1.788","1.767","3.88M","0.34%"
"11/12/2023","1.772","1.766","1.799","1.765","2.10M","0.28%"
"11/09/2023","1.767","1.773","1.773","1.765","1.55M","-0.51%"
"11/08/2023","1.776","1.782","1.796","1.775","2.93M","-0.22%"
"11/07/2023","1.780","1.800","1.801","1.779","1.79M","-1.17%"
"11/06/2023","1.801","1.810","1.837","1.791","4.12M","-2.12%"
"11/05/2023","1.840","1.777","1.850","1.753","3.39M","3.95%"
"11/02/2023","1.770","1.758","1.770","1.741","3.16M","0.68%"
"11/01/2023","1.758","1.725","1.772","1.725","3.18M","-1.24%"
"10/31/2023","1.780","1.737","1.780","1.714","9.23M","2.65%"
"10/30/2023","1.734","1.734","1.740","1.708","4.96M","0.06%"
"10/29/2023","1.733","1.749","1.749","1.718","4.61M","-0.74%"
"10/26/2023","1.746","1.767","1.767","1.734","4.08M","-1.13%"
"10/25/2023","1.766","1.752","1.787","1.752","5.52M","0.91%"
"10/24/2023","1.750","1.780","1.781","1.748","10.22M","-1.74%"
"10/23/2023","1.781","1.785","1.799","1.766","5.77M","0.06%"
"10/22/2023","1.780","1.789","1.795","1.737","12.29M","-0.56%"
"10/19/2023","1.790","1.798","1.800","1.779","6.04M","-0.33%"
"10/18/2023","1.796","1.790","1.803","1.785","8.31M","0.39%"
"10/17/2023","1.789","1.800","1.800","1.761","6.55M","-0.56%"
"10/16/2023","1.799","1.799","1.809","1.795","7.25M","-0.06%"
"10/15/2023","1.800","1.800","1.803","1.792","2.71M","-0.22%"
"10/12/2023","1.804","1.804","1.805","1.786","3.51M","0.00%"
"10/11/2023","1.804","1.800","1.804","1.800","2.48M","0.17%"
"10/10/2023","1.801","1.790","1.807","1.790","6.31M","0.33%"
"10/09/2023","1.795","1.800","1.800","1.756","3.49M","-0.55%"
"10/08/2023","1.805","1.799","1.805","1.792","3.31M","0.33%"
"10/05/2023","1.799","1.792","1.806","1.781","3.26M","-0.28%"
"10/04/2023","1.804","1.796","1.809","1.785","4.82M","0.50%"
"10/03/2023","1.795","1.793","1.799","1.786","3.79M","-0.06%"
"10/02/2023","1.796","1.794","1.810","1.783","4.99M","-0.22%"
"10/01/2023","1.800","1.819","1.819","1.791","1.87M","-0.06%"
"09/28/2023","1.801","1.810","1.810","1.795","3.42M","0.06%"
"09/27/2023","1.800","1.796","1.810","1.786","6.65M","-0.55%"
"09/26/2023","1.810","1.817","1.817","1.781","9.74M","0.56%"
"09/25/2023","1.800","1.806","1.806","1.775","6.83M","0.50%"
"09/24/2023","1.791","1.809","1.810","1.786","3.21M","-0.50%"
"09/21/2023","1.800","1.783","1.810","1.783","3.53M","0.00%"
"09/20/2023","1.800","1.810","1.810","1.770","2.86M","-0.55%"
"09/19/2023","1.810","1.799","1.810","1.790","7.37M","0.78%"
"09/18/2023","1.796","1.780","1.810","1.780","6.16M","0.79%"
"09/17/2023","1.782","1.809","1.819","1.769","8.58M","-1.55%"
"09/14/2023","1.810","1.818","1.830","1.801","7.58M","-1.09%"
"09/13/2023","1.830","1.824","1.833","1.797","9.51M","0.38%"
"09/12/2023","1.823","1.828","1.837","1.816","3.45M","-0.27%"
"09/11/2023","1.828","1.837","1.837","1.826","1.63M","0.00%"
"09/10/2023","1.828","1.820","1.843","1.820","2.11M","-0.65%"
"09/07/2023","1.840","1.819","1.845","1.804","3.88M","1.15%"
"09/06/2023","1.819","1.832","1.845","1.810","4.16M","-0.66%"
"09/05/2023","1.831","1.833","1.833","1.752","5.75M","-0.11%"
"09/04/2023","1.833","1.850","1.850","1.831","5.03M","-0.92%"
"09/03/2023","1.850","1.845","1.865","1.837","9.67M","0.00%"
"08/31/2023","1.850","1.833","1.865","1.833","5.98M","0.54%"
"08/30/2023","1.840","1.849","1.849","1.833","8.32M","-0.54%"
"08/29/2023","1.850","1.841","1.850","1.834","6.10M","0.49%"
"08/28/2023","1.841","1.856","1.859","1.836","3.60M","-0.86%"
"08/27/2023","1.857","1.844","1.872","1.844","1.52M","-0.16%"
"08/24/2023","1.860","1.841","1.866","1.839","3.91M","1.03%"
"08/23/2023","1.841","1.881","1.881","1.837","807.87K","-1.55%"
"08/22/2023","1.870","1.852","1.882","1.838","4.78M","0.97%"
"08/21/2023","1.852","1.855","1.863","1.850","3.54M","-0.48%"
"08/20/2023","1.861","1.860","1.866","1.855","771.01K","0.05%"
"08/17/2023","1.860","1.849","1.870","1.849","1.92M","0.54%"
"08/16/2023","1.850","1.869","1.869","1.850","2.41M","-0.22%"
"08/15/2023","1.854","1.855","1.872","1.854","349.46K","-1.23%"
"08/14/2023","1.877","1.865","1.884","1.852","210.32K","0.91%"
"08/13/2023","1.860","1.852","1.886","1.838","2.06M","0.11%"
"08/10/2023","1.858","1.856","1.873","1.852","419.52K","-0.05%"
"08/09/2023","1.859","1.870","1.890","1.859","2.28M","-0.75%"
"08/08/2023","1.873","1.860","1.880","1.846","2.02M","0.16%"
"08/07/2023","1.870","1.875","1.893","1.851","4.08M","-0.27%"
"08/06/2023","1.875","1.915","1.930","1.860","4.15M","-2.09%"
"08/03/2023","1.915","1.925","1.927","1.906","1.09M","-0.62%"
"08/02/2023","1.927","1.926","1.929","1.925","458.04K","-0.16%"
"08/01/2023","1.930","1.935","1.950","1.928","617.72K","-0.41%"
"07/31/2023","1.938","1.934","1.942","1.928","3.16M","0.00%"
"07/30/2023","1.938","1.946","1.949","1.930","1.43M","-0.10%"
"07/27/2023","1.940","1.935","1.949","1.913","4.97M","0.26%"
"07/26/2023","1.935","1.911","1.945","1.911","3.96M","1.10%"
"07/25/2023","1.914","1.920","1.920","1.903","5.03M","0.68%"
"07/24/2023","1.901","1.931","1.931","1.901","636.31K","-1.25%"
"07/23/2023","1.925","1.923","1.935","1.922","469.23K","0.21%"
"07/20/2023","1.921","1.906","1.935","1.906","1.02M","-0.21%"
"07/19/2023","1.925","1.919","1.945","1.910","1.99M","0.31%"
"07/18/2023","1.919","1.898","1.919","1.895","4.39M","1.05%"
"07/17/2023","1.899","1.886","1.899","1.861","2.60M","0.69%"
"07/16/2023","1.886","1.880","1.896","1.880","345.73K","0.32%"
"07/13/2023","1.880","1.844","1.880","1.844","6.68M","1.95%"
"07/12/2023","1.844","1.838","1.880","1.834","5.75M","0.22%"
"07/11/2023","1.840","1.842","1.845","1.833","8.31M","0.27%"
"07/10/2023","1.835","1.833","1.838","1.830","2.27M","0.05%"
"07/09/2023","1.834","1.835","1.835","1.832","249.55K","0.05%"
"07/06/2023","1.833","1.831","1.839","1.831","1.43M","-0.38%"
"07/05/2023","1.840","1.831","1.841","1.831","2.05M","0.05%"
"07/04/2023","1.839","1.841","1.848","1.829","1.02M","-0.49%"
"07/03/2023","1.848","1.850","1.850","1.829","4.34M","0.11%"
"07/02/2023","1.846","1.847","1.847","1.821","2.22M","-0.05%"
"06/26/2023","1.847","1.832","1.850","1.831","4.60M","0.87%"
"06/25/2023","1.831","1.835","1.849","1.813","3.33M","-0.97%"
"06/22/2023","1.849","1.832","1.860","1.832","1.09M","-0.27%"
"06/21/2023","1.854","1.835","1.860","1.835","2.41M","-0.16%"
"06/20/2023","1.857","1.830","1.860","1.830","2.23M","0.92%"
"06/19/2023","1.840","1.840","1.840","1.824","6.60M","0.55%"
"06/18/2023","1.830","1.807","1.833","1.805","9.15M","1.10%"
"06/15/2023","1.810","1.835","1.840","1.807","10.85M","-0.88%"
"06/14/2023","1.826","1.825","1.840","1.825","4.72M","-0.44%"
"06/13/2023","1.834","1.815","1.835","1.815","4.21M","0.22%"
"06/12/2023","1.830","1.812","1.840","1.805","3.47M","0.60%"
"06/11/2023","1.819","1.813","1.820","1.802","338.90K","-0.49%"
"06/08/2023","1.828","1.834","1.844","1.813","1.54M","-0.33%"
