"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","40.00","39.95","40.15","39.75","161.07K","0.00%"
"12/28/2023","40.00","40.00","40.15","39.20","798.67K","0.00%"
"12/27/2023","40.00","40.20","40.85","39.70","665.01K","-0.25%"
"12/26/2023","40.10","40.15","40.75","40.00","809.08K","-0.12%"
"12/25/2023","40.15","39.55","40.45","39.30","757.86K","2.03%"
"12/24/2023","39.35","39.55","39.55","39.15","201.40K","0.13%"
"12/21/2023","39.30","39.75","39.75","39.15","121.06K","-1.50%"
"12/20/2023","39.90","39.95","39.95","39.25","409.07K","0.13%"
"12/19/2023","39.85","39.45","40.05","39.45","376.09K","0.76%"
"12/18/2023","39.55","39.10","39.60","38.80","647.46K","1.15%"
"12/17/2023","39.10","39.00","40.30","39.00","610.21K","0.51%"
"12/14/2023","38.90","38.00","39.40","38.00","1.56M","2.37%"
"12/13/2023","38.00","38.00","38.20","37.20","782.87K","0.40%"
"12/12/2023","37.85","37.40","38.00","37.35","556.57K","1.47%"
"12/11/2023","37.30","37.15","37.40","36.75","637.97K","1.08%"
"12/10/2023","36.90","36.90","37.20","36.80","80.04K","0.00%"
"12/07/2023","36.90","36.80","36.90","36.40","427.47K","0.27%"
"12/06/2023","36.80","36.30","36.95","36.25","519.43K","1.66%"
"12/05/2023","36.20","36.55","36.65","36.05","725.69K","-0.96%"
"12/04/2023","36.55","37.05","37.15","36.50","843.02K","-1.08%"
"12/03/2023","36.95","36.95","37.20","36.85","730.44K","-1.20%"
"11/30/2023","37.40","36.70","37.40","36.05","2.20M","2.33%"
"11/29/2023","36.55","37.05","37.10","36.45","850.99K","-0.95%"
"11/28/2023","36.90","37.00","37.10","36.50","840.32K","0.00%"
"11/27/2023","36.90","36.50","36.95","36.25","1.05M","0.54%"
"11/26/2023","36.70","37.05","37.05","36.50","302.10K","-1.34%"
"11/23/2023","37.20","37.45","37.45","37.05","376.74K","-0.40%"
"11/22/2023","37.35","37.75","37.75","37.20","304.66K","-1.19%"
"11/21/2023","37.80","37.60","38.00","37.35","925.88K","0.40%"
"11/20/2023","37.65","37.40","37.65","37.15","1.57M","0.40%"
"11/19/2023","37.50","38.05","38.05","34.45","526.76K","-1.06%"
"11/16/2023","37.90","38.00","38.10","37.30","889.90K","-1.56%"
"11/15/2023","38.50","37.75","38.50","37.35","1.02M","1.85%"
"11/14/2023","37.80","37.00","38.50","36.95","1.23M","2.16%"
"11/13/2023","37.00","37.60","37.60","36.85","925.45K","0.41%"
"11/12/2023","36.85","37.30","37.75","36.80","334.63K","-0.94%"
"11/09/2023","37.20","38.05","38.25","37.10","403.77K","-3.38%"
"11/08/2023","38.50","38.20","38.50","37.90","956.85K","0.79%"
"11/07/2023","38.20","38.60","38.80","37.85","447.01K","-0.26%"
"11/06/2023","38.30","38.25","39.10","37.95","1.22M","0.13%"
"11/05/2023","38.25","38.20","38.40","37.55","200.42K","2.00%"
"11/02/2023","37.50","37.00","38.40","37.00","1.51M","0.54%"
"11/01/2023","37.30","35.85","38.00","35.40","1.35M","4.04%"
"10/31/2023","35.85","34.55","35.85","34.55","780.93K","3.76%"
"10/30/2023","34.55","34.40","35.40","34.40","574.01K","0.73%"
"10/29/2023","34.30","34.50","34.75","34.00","338.82K","-0.58%"
"10/26/2023","34.50","35.30","35.30","34.50","547.97K","-3.09%"
"10/25/2023","35.60","35.55","35.75","34.85","1.87M","0.56%"
"10/24/2023","35.40","34.15","35.40","34.05","1.12M","4.27%"
"10/23/2023","33.95","34.40","35.25","33.55","610.04K","-0.15%"
"10/22/2023","34.00","34.90","35.10","34.00","147.30K","-3.13%"
"10/19/2023","35.10","35.65","35.65","35.10","461.82K","-1.13%"
"10/18/2023","35.50","35.25","35.65","35.25","726.78K","1.43%"
"10/17/2023","35.00","35.35","35.85","34.90","520.43K","-0.99%"
"10/16/2023","35.35","35.15","35.35","34.45","675.50K","1.29%"
"10/15/2023","34.90","35.90","35.90","34.60","158.25K","-1.69%"
"10/12/2023","35.50","35.50","35.55","34.30","875.69K","0.00%"
"10/11/2023","35.50","34.40","36.15","34.00","1.12M","2.16%"
"10/10/2023","34.75","33.30","34.75","33.30","959.52K","4.67%"
"10/09/2023","33.20","33.15","33.85","33.15","749.49K","-0.60%"
"10/08/2023","33.40","34.60","34.70","33.40","745.02K","-3.47%"
"10/05/2023","34.60","35.40","35.55","34.60","1.22M","-2.95%"
"10/04/2023","35.65","35.90","36.20","35.45","316.09K","-1.93%"
"10/03/2023","36.35","36.15","36.55","35.50","398.62K","0.55%"
"10/02/2023","36.15","36.55","37.20","36.15","383.48K","-1.36%"
"10/01/2023","36.65","36.70","37.10","36.20","94.72K","0.41%"
"09/28/2023","36.50","37.05","37.15","36.30","254.03K","-1.35%"
"09/27/2023","37.00","37.05","37.10","36.35","307.09K","2.49%"
"09/26/2023","36.10","36.80","36.90","36.10","583.29K","-0.82%"
"09/25/2023","36.40","37.00","37.05","36.40","500.14K","0.00%"
"09/21/2023","36.40","37.30","37.30","36.40","536.23K","-2.02%"
"09/20/2023","37.15","36.70","37.15","36.50","656.78K","1.50%"
"09/19/2023","36.60","36.50","37.15","36.30","594.90K","0.27%"
"09/18/2023","36.50","36.50","36.85","36.00","372.42K","0.83%"
"09/17/2023","36.20","36.80","36.80","36.20","220.84K","-1.63%"
"09/14/2023","36.80","36.95","36.95","36.20","1.12M","-0.14%"
"09/13/2023","36.85","37.20","37.25","36.10","684.98K","-0.94%"
"09/12/2023","37.20","37.80","37.80","37.00","439.29K","-0.53%"
"09/11/2023","37.40","37.85","38.50","37.05","376.52K","-0.27%"
"09/10/2023","37.50","37.15","37.50","37.15","96.27K","1.08%"
"09/07/2023","37.10","38.00","38.20","37.10","474.46K","-2.37%"
"09/06/2023","38.00","38.50","38.75","37.90","465.29K","-1.17%"
"09/05/2023","38.45","38.90","39.15","38.45","465.97K","-0.65%"
"09/04/2023","38.70","38.50","38.85","38.30","251.66K","0.26%"
"09/03/2023","38.60","38.45","38.90","38.20","125.56K","0.65%"
"08/31/2023","38.35","39.15","39.60","38.35","1.54M","-2.66%"
"08/30/2023","39.40","39.20","39.40","38.90","479.26K","1.16%"
"08/29/2023","38.95","38.60","39.00","38.35","651.83K","1.43%"
"08/28/2023","38.40","39.30","39.30","38.35","382.63K","-1.54%"
"08/27/2023","39.00","38.45","39.20","38.45","55.50K","0.52%"
"08/24/2023","38.80","38.90","39.00","38.40","843.99K","1.04%"
"08/23/2023","38.40","38.15","38.80","38.15","602.58K","1.19%"
"08/22/2023","37.95","39.35","39.35","37.95","503.88K","-2.69%"
"08/21/2023","39.00","39.45","39.45","38.80","267.99K","0.78%"
"08/20/2023","38.70","38.25","39.45","38.25","201.44K","1.18%"
"08/17/2023","38.25","37.45","38.25","37.35","1.31M","2.14%"
"08/16/2023","37.45","37.55","38.30","37.45","436.36K","-0.13%"
"08/15/2023","37.50","38.15","38.40","37.50","392.71K","-1.57%"
"08/14/2023","38.10","39.50","39.50","38.10","601.85K","-3.54%"
"08/13/2023","39.50","38.70","39.50","38.70","106.36K","1.54%"
"08/10/2023","38.90","38.55","39.00","38.50","463.76K","1.57%"
"08/09/2023","38.30","38.75","38.95","38.00","556.28K","-1.03%"
"08/08/2023","38.70","38.55","39.80","38.55","593.47K","0.13%"
"08/07/2023","38.65","38.35","39.30","38.25","625.37K","0.39%"
"08/06/2023","38.50","38.45","38.80","38.20","751.72K","-0.52%"
"08/03/2023","38.70","40.65","41.20","38.60","962.59K","-4.80%"
"08/02/2023","40.65","42.20","42.25","40.60","657.93K","-3.21%"
"08/01/2023","42.00","42.60","42.60","41.50","396.63K","-1.41%"
"07/31/2023","42.60","43.20","43.20","41.70","502.50K","-0.93%"
"07/30/2023","43.00","43.45","43.45","42.55","267.50K","-0.23%"
"07/27/2023","43.10","44.00","44.05","43.10","464.66K","-1.60%"
"07/26/2023","43.80","45.10","45.45","43.55","949.69K","-2.88%"
"07/25/2023","45.10","44.35","45.50","44.25","522.76K","2.15%"
"07/24/2023","44.15","44.50","44.50","43.80","297.84K","-0.67%"
"07/23/2023","44.45","44.00","44.50","43.80","240.84K","1.14%"
"07/20/2023","43.95","44.50","44.75","43.95","213.18K","-0.45%"
"07/19/2023","44.15","45.00","45.30","44.15","260.19K","-1.89%"
"07/18/2023","45.00","44.95","45.70","43.85","349.88K","0.22%"
"07/17/2023","44.90","45.00","45.40","43.95","538.07K","0.11%"
"07/16/2023","44.85","44.00","44.95","43.85","81.81K","1.93%"
"07/13/2023","44.00","44.65","44.65","43.80","341.42K","-1.46%"
"07/12/2023","44.65","42.45","45.30","42.10","1.59M","5.18%"
"07/11/2023","42.45","41.65","42.45","41.30","832.90K","2.17%"
"07/10/2023","41.55","42.45","42.45","41.10","544.55K","-2.00%"
"07/09/2023","42.40","42.00","42.50","42.00","71.25K","-0.12%"
"07/06/2023","42.45","42.40","42.50","41.60","307.43K","1.07%"
"07/05/2023","42.00","43.20","43.50","42.00","284.43K","-2.78%"
"07/04/2023","43.20","42.60","43.45","42.00","276.91K","1.77%"
"07/03/2023","42.45","41.30","42.50","41.00","421.60K","2.78%"
"07/02/2023","41.30","41.70","42.20","41.30","134.24K","-0.96%"
"06/22/2023","41.70","40.40","42.35","40.40","187.34K","1.09%"
"06/21/2023","41.25","41.30","42.00","40.90","499.73K","-1.08%"
"06/20/2023","41.70","42.50","42.50","41.55","307.53K","-1.88%"
"06/19/2023","42.50","42.85","42.90","42.00","495.17K","-0.23%"
"06/18/2023","42.60","42.95","43.25","42.50","932.09K","-0.23%"
"06/15/2023","42.70","42.40","42.70","42.20","2.38M","0.83%"
"06/14/2023","42.35","41.95","42.45","41.90","329.01K","0.95%"
"06/13/2023","41.95","42.00","42.25","41.80","846.22K","0.96%"
"06/12/2023","41.55","41.50","42.05","41.45","675.28K","0.85%"
"06/11/2023","41.20","40.45","41.40","40.45","342.52K","0.61%"
"06/08/2023","40.95","40.40","40.95","40.40","520.30K","1.99%"
"06/07/2023","40.15","39.90","40.20","39.65","574.52K","1.90%"
"06/06/2023","39.40","40.00","40.00","39.30","540.90K","-1.38%"
"06/05/2023","39.95","39.80","40.00","39.50","609.35K","0.63%"
"06/04/2023","39.70","39.05","39.90","39.05","391.52K","1.79%"
"06/01/2023","39.00","39.50","39.50","39.00","423.60K","-2.01%"
"05/31/2023","39.80","39.50","39.80","38.90","2.71M","0.25%"
"05/30/2023","39.70","39.30","40.35","39.10","1.35M","1.53%"
"05/29/2023","39.10","38.95","39.30","38.75","1.33M","0.77%"
"05/28/2023","38.80","38.60","38.80","38.55","189.76K","-0.13%"
"05/25/2023","38.85","38.20","39.05","38.15","775.73K","-0.38%"
"05/24/2023","39.00","38.75","39.00","38.60","803.36K","0.91%"
"05/23/2023","38.65","38.80","39.20","38.60","462.78K","0.26%"
"05/22/2023","38.55","39.10","39.10","38.55","330.81K","-0.64%"
"05/21/2023","38.80","39.05","39.20","38.65","331.39K","-0.51%"
"05/18/2023","39.00","38.75","39.00","38.20","582.27K","2.09%"
"05/17/2023","38.20","37.90","38.40","37.50","526.76K","0.53%"
"05/16/2023","38.00","37.60","38.35","37.60","529.48K","1.06%"
"05/15/2023","37.60","38.75","38.75","37.60","765.30K","-3.09%"
"05/14/2023","38.80","39.25","39.45","38.80","322.22K","-0.26%"
"05/11/2023","38.90","38.95","39.25","38.85","335.55K","-0.26%"
"05/10/2023","39.00","39.05","39.40","38.70","327.25K","-0.51%"
"05/09/2023","39.20","38.95","39.20","38.85","327.07K","0.64%"
"05/08/2023","38.95","38.70","39.10","38.70","332.52K","0.00%"
"05/07/2023","38.95","38.55","39.05","38.55","149.36K","0.65%"
"05/04/2023","38.70","38.00","38.70","38.00","244.56K","1.31%"
"05/03/2023","38.20","38.40","38.80","38.15","338.81K","-2.05%"
"05/02/2023","39.00","38.60","39.05","38.20","711.11K","0.78%"
"05/01/2023","38.70","38.80","39.55","38.60","645.06K","0.52%"
"04/30/2023","38.50","38.65","38.90","38.50","148.75K","-0.26%"
"04/27/2023","38.60","38.85","38.85","38.20","451.91K","-1.03%"
"04/26/2023","39.00","38.55","39.10","38.55","499.54K","0.13%"
"04/25/2023","38.95","39.40","39.60","37.85","840.76K","-1.14%"
"04/17/2023","39.40","39.00","39.45","38.85","481.37K","1.81%"
"04/16/2023","38.70","38.65","38.95","38.60","154.67K","0.13%"
"04/13/2023","38.65","38.95","39.00","38.50","411.10K","-0.77%"
"04/12/2023","38.95","38.50","39.30","38.50","627.92K","1.43%"
"04/11/2023","38.40","38.40","38.75","38.20","409.09K","-0.65%"
"04/10/2023","38.65","38.90","39.15","38.25","164.85K","-0.13%"
"04/09/2023","38.70","38.70","39.15","38.55","206.09K","-0.13%"
"04/06/2023","38.75","39.00","39.00","35.60","743.92K","-0.77%"
"04/05/2023","39.05","39.75","39.75","38.75","459.54K","-1.14%"
"04/04/2023","39.50","39.50","39.95","38.65","511.43K","3.00%"
"04/03/2023","38.35","36.90","39.40","36.75","1.00M","5.21%"
"04/02/2023","36.45","36.45","37.05","36.45","385.13K","0.69%"
"03/30/2023","36.20","36.35","36.35","35.95","551.44K","0.14%"
"03/29/2023","36.15","35.70","36.30","35.60","448.51K","1.26%"
"03/28/2023","35.70","36.00","36.05","35.20","416.77K","-0.14%"
"03/27/2023","35.75","35.75","36.05","35.70","348.24K","-0.83%"
"03/26/2023","36.05","36.20","36.20","35.60","110.17K","0.42%"
"03/23/2023","35.90","35.50","36.00","35.50","656.23K","0.14%"
"03/22/2023","35.85","35.65","36.30","35.55","300.32K","0.28%"
"03/21/2023","35.75","35.80","36.45","35.75","851.20K","0.70%"
"03/20/2023","35.50","34.45","35.75","34.45","622.42K","1.14%"
"03/19/2023","35.10","33.85","35.20","33.85","295.25K","3.54%"
"03/16/2023","33.90","33.00","34.25","32.95","2.95M","2.26%"
