"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","79.00","78.70","80.60","78.70","272.53K","0.38%"
"12/28/2023","78.70","77.60","79.30","77.30","197.40K","1.42%"
"12/27/2023","77.60","77.60","77.60","76.90","141.23K","0.13%"
"12/26/2023","77.50","77.10","77.80","76.70","150.74K","0.65%"
"12/25/2023","77.00","77.00","77.50","75.90","138.77K","0.00%"
"12/24/2023","77.00","77.70","77.70","76.00","132.45K","-0.39%"
"12/21/2023","77.30","76.50","77.30","75.00","181.44K","0.91%"
"12/20/2023","76.60","76.20","78.20","74.80","429.07K","0.52%"
"12/19/2023","76.20","73.10","77.70","72.90","1.01M","4.67%"
"12/18/2023","72.80","70.20","72.80","70.10","167.19K","3.12%"
"12/17/2023","70.60","71.00","71.80","70.00","121.98K","-0.56%"
"12/14/2023","71.00","72.50","73.10","71.00","146.20K","-2.07%"
"12/13/2023","72.50","73.50","73.50","71.70","276.42K","-1.09%"
"12/12/2023","73.30","72.40","73.30","71.60","109.50K","1.81%"
"12/11/2023","72.00","73.60","73.80","72.00","186.74K","-2.04%"
"12/10/2023","73.50","71.50","73.60","71.40","144.92K","2.94%"
"12/07/2023","71.40","71.40","74.20","70.90","681.68K","0.00%"
"12/06/2023","71.40","71.70","71.70","70.50","124.75K","-0.42%"
"12/05/2023","71.70","69.60","71.80","69.20","461.24K","3.02%"
"12/04/2023","69.60","68.60","69.70","68.20","258.51K","1.75%"
"12/03/2023","68.40","68.10","68.70","67.40","91.28K","1.79%"
"11/30/2023","67.20","68.30","68.50","67.20","168.36K","-1.18%"
"11/29/2023","68.00","68.50","68.60","67.20","184.00K","0.15%"
"11/28/2023","67.90","68.50","69.10","67.50","386.87K","-1.02%"
"11/27/2023","68.60","69.90","70.00","68.60","145.00K","-2.14%"
"11/26/2023","70.10","70.10","71.10","69.50","58.45K","0.00%"
"11/23/2023","70.10","70.50","70.70","69.20","91.06K","-0.99%"
"11/22/2023","70.80","71.30","72.30","70.20","253.73K","-0.14%"
"11/21/2023","70.90","68.70","70.90","68.70","230.82K","3.20%"
"11/20/2023","68.70","68.80","69.50","68.40","85.54K","-0.15%"
"11/19/2023","68.80","68.80","69.70","68.60","108.99K","-0.29%"
"11/16/2023","69.00","69.40","69.40","68.30","140.17K","0.15%"
"11/15/2023","68.90","67.20","69.40","67.00","205.09K","2.84%"
"11/14/2023","67.00","65.90","68.20","65.90","118.83K","1.67%"
"11/13/2023","65.90","67.70","67.70","65.70","73.52K","-1.35%"
"11/12/2023","66.80","65.20","67.70","64.90","91.88K","2.45%"
"11/09/2023","65.20","66.50","67.70","64.90","233.77K","-1.95%"
"11/08/2023","66.50","69.20","69.70","66.50","247.98K","-3.34%"
"11/07/2023","68.80","69.00","70.50","68.80","98.53K","0.00%"
"11/06/2023","68.80","69.70","71.00","68.50","158.29K","-1.71%"
"11/05/2023","70.00","66.00","71.00","66.00","364.49K","5.42%"
"11/02/2023","66.40","65.20","66.50","64.50","398.47K","2.15%"
"11/01/2023","65.00","67.50","67.50","64.50","372.14K","-3.27%"
"10/31/2023","67.20","63.50","67.40","63.20","260.69K","5.49%"
"10/30/2023","63.70","63.70","64.10","63.20","37.50K","0.63%"
"10/29/2023","63.30","64.30","64.30","63.00","20.60K","-0.94%"
"10/26/2023","63.90","63.20","65.00","62.70","122.63K","0.00%"
"10/25/2023","63.90","63.70","63.90","62.50","62.54K","1.59%"
"10/24/2023","62.90","61.20","63.10","59.60","412.70K","2.78%"
"10/23/2023","61.20","63.30","64.00","61.20","277.17K","-3.32%"
"10/22/2023","63.30","65.30","65.30","63.30","58.03K","-2.01%"
"10/19/2023","64.60","65.60","66.30","64.40","143.10K","-1.97%"
"10/18/2023","65.90","65.00","65.90","64.10","159.92K","1.38%"
"10/17/2023","65.00","64.60","66.10","64.60","314.42K","0.78%"
"10/16/2023","64.50","66.90","66.90","64.00","233.15K","-1.83%"
"10/15/2023","65.70","66.20","66.20","65.00","71.37K","-0.76%"
"10/12/2023","66.20","66.60","66.60","64.60","210.01K","2.48%"
"10/11/2023","64.60","68.00","68.30","64.60","162.47K","-5.00%"
"10/10/2023","68.00","67.00","68.50","63.70","585.21K","4.78%"
"10/09/2023","64.90","66.90","67.00","64.40","183.90K","-0.76%"
"10/08/2023","65.40","66.90","67.50","64.00","74.93K","-3.11%"
"10/05/2023","67.50","69.00","69.30","67.00","125.85K","-2.46%"
