"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","48.55","45.00","48.55","44.90","6.65M","9.97%"
"12/28/2023","44.15","43.15","44.50","43.00","2.55M","2.20%"
"12/27/2023","43.20","43.50","43.70","42.80","938.49K","-0.69%"
"12/26/2023","43.50","43.30","44.00","43.05","1.50M","0.58%"
"12/25/2023","43.25","42.25","43.45","42.15","1.45M","2.25%"
"12/24/2023","42.30","42.15","42.70","42.05","664.10K","1.20%"
"12/21/2023","41.80","41.60","42.20","41.25","746.09K","0.24%"
"12/20/2023","41.70","42.70","42.70","41.60","1.37M","-2.23%"
"12/19/2023","42.65","42.45","43.00","41.90","1.56M","0.35%"
"12/18/2023","42.50","41.50","42.50","41.20","2.15M","2.91%"
"12/17/2023","41.30","40.30","41.75","40.25","2.29M","2.99%"
"12/14/2023","40.10","39.95","40.80","39.50","4.63M","0.75%"
"12/13/2023","39.80","39.40","39.90","39.10","979.10K","1.02%"
"12/12/2023","39.40","39.10","39.40","38.75","637.74K","0.64%"
"12/11/2023","39.15","38.60","39.20","38.50","879.37K","1.69%"
"12/10/2023","38.50","38.95","39.20","38.50","543.86K","-1.28%"
"12/07/2023","39.00","39.50","39.55","39.00","699.74K","-1.52%"
"12/06/2023","39.60","39.30","39.60","39.00","492.25K","0.76%"
"12/05/2023","39.30","39.90","40.05","39.05","782.27K","-1.01%"
"12/04/2023","39.70","39.45","40.55","39.45","1.32M","0.38%"
"12/03/2023","39.55","39.80","39.85","39.25","313.93K","-0.75%"
"11/30/2023","39.85","38.80","39.85","38.70","3.12M","3.10%"
"11/29/2023","38.65","39.40","39.40","38.65","472.72K","-0.90%"
"11/28/2023","39.00","38.50","39.50","38.50","1.03M","1.30%"
"11/27/2023","38.50","39.20","39.50","38.50","509.37K","-1.53%"
"11/26/2023","39.10","39.00","39.70","39.00","280.38K","-0.38%"
"11/23/2023","39.25","40.15","40.15","39.25","1.10M","-2.24%"
"11/22/2023","40.15","39.60","40.15","39.30","701.81K","0.88%"
"11/21/2023","39.80","39.95","40.05","39.50","690.72K","-0.75%"
"11/20/2023","40.10","39.55","40.10","39.50","2.70M","0.50%"
"11/19/2023","39.90","40.20","40.35","39.90","372.80K","-0.75%"
"11/16/2023","40.20","39.80","40.20","39.70","1.35M","1.39%"
"11/15/2023","39.65","38.00","39.65","38.00","1.56M","4.76%"
"11/14/2023","37.85","37.45","38.20","37.25","966.60K","1.61%"
"11/13/2023","37.25","37.45","37.75","37.00","601.93K","0.00%"
"11/12/2023","37.25","36.90","37.35","36.90","399.24K","-0.13%"
"11/09/2023","37.30","37.20","37.40","36.50","600.45K","0.27%"
"11/08/2023","37.20","37.70","38.25","37.15","817.73K","-1.33%"
"11/07/2023","37.70","38.10","38.10","37.35","912.47K","-0.53%"
"11/06/2023","37.90","36.65","37.90","36.65","1.78M","3.41%"
"11/05/2023","36.65","36.50","36.90","36.30","818.72K","0.55%"
"11/02/2023","36.45","36.10","36.65","35.95","939.97K","1.96%"
"11/01/2023","35.75","36.00","37.00","35.45","1.65M","-0.69%"
"10/31/2023","36.00","36.00","36.40","35.40","2.27M","-2.70%"
"10/30/2023","37.00","36.90","37.60","36.90","798.48K","0.27%"
"10/29/2023","36.90","37.40","37.40","36.30","451.11K","-0.27%"
"10/26/2023","37.00","37.80","38.00","37.00","1.26M","-3.52%"
"10/25/2023","38.35","37.40","38.35","36.70","969.86K","3.09%"
"10/24/2023","37.20","37.35","37.80","36.20","1.24M","-0.13%"
"10/23/2023","37.25","38.50","38.90","37.25","1.56M","-3.99%"
"10/22/2023","38.80","39.40","39.40","38.80","359.57K","-1.40%"
"10/19/2023","39.35","39.50","39.50","38.80","638.98K","-0.38%"
"10/18/2023","39.50","39.35","39.80","39.05","483.58K","-0.13%"
"10/17/2023","39.55","39.30","40.10","38.95","828.08K","2.06%"
