"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","83.50","83.50","83.90","83.30","699.71K","0.24%"
"12/28/2023","83.30","82.90","84.30","82.50","2.99M","0.48%"
"12/27/2023","82.90","82.60","83.00","82.30","1.03M","0.73%"
"12/26/2023","82.30","82.10","82.70","82.00","1.21M","0.61%"
"12/25/2023","81.80","81.60","81.90","81.30","1.20M","0.37%"
"12/24/2023","81.50","81.30","81.50","81.10","324.02K","0.37%"
"12/21/2023","81.20","81.20","81.70","80.60","1.00M","0.00%"
"12/20/2023","81.20","82.90","82.90","81.20","1.17M","-1.93%"
"12/19/2023","82.80","81.40","82.80","81.40","2.14M","1.85%"
"12/18/2023","81.30","80.00","81.70","79.60","2.07M","1.63%"
"12/17/2023","80.00","79.80","80.20","79.40","1.17M","1.01%"
"12/14/2023","79.20","79.30","79.90","79.00","1.83M","0.13%"
"12/13/2023","79.10","78.90","79.40","78.40","1.06M","0.25%"
"12/12/2023","78.90","80.60","81.00","78.90","2.43M","-1.87%"
"12/11/2023","80.40","79.90","81.00","79.50","2.40M","0.63%"
"12/10/2023","79.90","80.00","80.30","79.80","702.68K","-0.12%"
"12/07/2023","80.00","80.00","80.10","79.60","782.04K","0.00%"
"12/06/2023","80.00","80.00","80.20","79.80","1.11M","-0.12%"
"12/05/2023","80.10","79.80","80.30","79.50","1.29M","0.38%"
"12/04/2023","79.80","80.20","80.50","79.50","836.55K","-0.37%"
"12/03/2023","80.10","79.40","80.40","79.40","683.33K","1.14%"
"11/30/2023","79.20","79.50","79.60","79.00","3.65M","-0.13%"
"11/29/2023","79.30","79.70","79.70","79.00","739.78K","0.38%"
"11/28/2023","79.00","79.90","80.40","78.80","1.40M","-0.63%"
"11/27/2023","79.50","80.60","80.90","79.30","1.14M","-1.61%"
"11/26/2023","80.80","81.10","81.50","80.60","424.04K","-0.12%"
"11/23/2023","80.90","81.30","81.90","80.50","571.93K","-0.49%"
"11/22/2023","81.30","80.80","81.50","80.70","994.78K","0.99%"
"11/21/2023","80.50","81.70","81.90","80.50","1.25M","-1.35%"
"11/20/2023","81.60","82.50","82.90","81.60","2.74M","-1.69%"
"11/19/2023","83.00","82.30","83.00","82.20","722.74K","1.10%"
"11/16/2023","82.10","81.50","82.40","81.20","1.52M","0.98%"
