"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","2.83","2.84","2.86","2.81","5.29M","0.89%"
"12/28/2023","2.81","2.73","2.83","2.72","10.25M","2.75%"
"12/27/2023","2.73","2.73","2.76","2.71","2.49M","0.00%"
"12/26/2023","2.73","2.77","2.79","2.73","4.62M","-0.73%"
"12/25/2023","2.76","2.79","2.79","2.74","3.23M","-0.36%"
"12/24/2023","2.77","2.74","2.80","2.73","3.69M","0.91%"
"12/21/2023","2.74","2.77","2.82","2.72","8.71M","-1.26%"
"12/20/2023","2.78","2.71","2.80","2.69","9.26M","2.21%"
"12/19/2023","2.71","2.68","2.71","2.65","3.85M","1.50%"
"12/18/2023","2.67","2.69","2.73","2.67","3.14M","-0.37%"
"12/17/2023","2.68","2.67","2.70","2.66","1.42M","0.56%"
"12/14/2023","2.67","2.69","2.69","2.66","1.05M","0.00%"
"12/13/2023","2.67","2.66","2.71","2.66","1.93M","0.75%"
"12/12/2023","2.65","2.70","2.70","2.65","2.25M","-1.48%"
"12/11/2023","2.69","2.71","2.75","2.69","2.40M","-0.55%"
"12/10/2023","2.71","2.70","2.73","2.70","2.78M","0.56%"
"12/07/2023","2.69","2.66","2.71","2.65","2.38M","1.32%"
"12/06/2023","2.66","2.65","2.68","2.65","1.21M","0.00%"
"12/05/2023","2.66","2.68","2.69","2.66","1.61M","-0.74%"
"12/04/2023","2.68","2.70","2.73","2.68","2.03M","-0.74%"
"12/03/2023","2.70","2.68","2.72","2.68","2.90M","1.31%"
"11/30/2023","2.67","2.70","2.70","2.66","1.29M","-0.93%"
"11/29/2023","2.69","2.69","2.72","2.66","2.39M","0.75%"
"11/28/2023","2.67","2.68","2.70","2.67","1.45M","-0.19%"
"11/27/2023","2.68","2.74","2.77","2.67","4.81M","-2.19%"
"11/26/2023","2.74","2.67","2.78","2.64","9.77M","4.18%"
"11/23/2023","2.63","2.60","2.66","2.59","2.33M","1.15%"
"11/22/2023","2.60","2.62","2.63","2.60","1.23M","-0.57%"
"11/21/2023","2.62","2.64","2.68","2.61","2.80M","-0.76%"
"11/20/2023","2.63","2.61","2.70","2.60","5.98M","1.15%"
"11/19/2023","2.61","2.51","2.61","2.51","5.25M","3.58%"
"11/16/2023","2.52","2.57","2.58","2.51","4.46M","-1.37%"
"11/15/2023","2.55","2.46","2.60","2.45","4.33M","3.83%"
"11/14/2023","2.46","2.47","2.49","2.45","1.36M","-0.24%"
"11/13/2023","2.46","2.45","2.49","2.45","2.41M","0.65%"
"11/12/2023","2.45","2.45","2.46","2.42","1.57M","0.25%"
"11/09/2023","2.44","2.51","2.51","2.43","2.52M","-1.85%"
"11/08/2023","2.49","2.49","2.51","2.48","1.48M","-0.40%"
"11/07/2023","2.50","2.57","2.58","2.49","2.06M","-3.07%"
"11/06/2023","2.58","2.63","2.63","2.56","1.69M","-1.72%"
"11/05/2023","2.62","2.57","2.63","2.56","1.95M","2.14%"
"11/02/2023","2.57","2.51","2.57","2.50","2.22M","2.40%"
"11/01/2023","2.51","2.50","2.52","2.50","909.88K","0.20%"
"10/31/2023","2.50","2.50","2.52","2.49","1.32M","0.00%"
"10/30/2023","2.50","2.48","2.52","2.48","943.76K","1.05%"
"10/29/2023","2.47","2.50","2.50","2.47","753.06K","-1.04%"
"10/26/2023","2.50","2.53","2.54","2.50","972.46K","-0.99%"
"10/25/2023","2.53","2.51","2.54","2.48","1.28M","1.41%"
"10/24/2023","2.49","2.45","2.53","2.44","1.43M","-0.60%"
"10/23/2023","2.51","2.57","2.60","2.40","1.76M","-2.72%"
"10/22/2023","2.58","2.62","2.63","2.57","948.46K","-1.72%"
"10/19/2023","2.62","2.61","2.67","2.61","1.18M","-0.76%"
"10/18/2023","2.64","2.71","2.72","2.63","1.19M","-3.12%"
"10/17/2023","2.72","2.66","2.72","2.65","1.53M","3.22%"
