"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","22.20","22.22","22.22","22.10","647.31K","0.00%"
"12/28/2023","22.20","22.38","22.46","22.04","1.01M","-0.45%"
"12/27/2023","22.30","22.30","22.38","22.00","724.13K","0.00%"
"12/26/2023","22.30","22.00","22.34","21.96","1.70M","1.55%"
"12/25/2023","21.96","21.80","22.00","21.66","659.80K","0.83%"
"12/24/2023","21.78","21.62","21.78","21.50","534.75K","0.83%"
"12/21/2023","21.60","21.38","21.66","21.28","1.06M","0.47%"
"12/20/2023","21.50","21.38","21.54","21.28","1.12M","0.56%"
"12/19/2023","21.38","21.52","21.52","21.24","1.10M","-1.02%"
"12/18/2023","21.60","21.80","21.90","21.52","2.99M","0.09%"
"12/17/2023","21.58","21.18","21.68","21.18","972.90K","1.98%"
"12/14/2023","21.16","21.30","21.40","21.16","1.49M","-0.47%"
"12/13/2023","21.26","21.52","21.56","21.04","1.21M","-1.57%"
"12/12/2023","21.60","22.08","22.10","21.48","2.07M","-2.09%"
"12/11/2023","22.06","22.14","22.16","22.02","1.05M","-0.18%"
"12/10/2023","22.10","22.20","22.22","22.08","546.67K","-0.45%"
"12/07/2023","22.20","22.14","22.22","22.08","1.18M","0.36%"
"12/06/2023","22.12","22.28","22.32","22.12","741.28K","-0.63%"
"12/05/2023","22.26","22.14","22.34","22.14","557.54K","0.63%"
"12/04/2023","22.12","22.50","22.50","22.12","488.87K","-1.60%"
"12/03/2023","22.48","22.52","22.64","22.36","474.33K","-0.18%"
"11/30/2023","22.52","22.20","22.52","22.10","1.23M","1.72%"
"11/29/2023","22.14","22.02","22.20","21.90","461.94K","0.73%"
"11/28/2023","21.98","22.02","22.08","21.76","693.33K","-0.09%"
"11/27/2023","22.00","22.20","22.28","21.98","744.49K","-0.99%"
"11/26/2023","22.22","22.36","22.40","22.18","612.80K","-0.63%"
"11/23/2023","22.36","22.36","22.44","22.26","498.91K","-0.18%"
"11/22/2023","22.40","22.48","22.54","22.34","531.91K","-0.36%"
"11/21/2023","22.48","22.50","22.56","22.30","593.30K","0.00%"
"11/20/2023","22.48","22.52","22.54","22.40","1.46M","-0.09%"
"11/19/2023","22.50","22.40","22.68","22.40","1.14M","0.09%"
"11/16/2023","22.48","22.52","22.54","22.36","929.61K","-0.18%"
"11/15/2023","22.52","22.60","22.66","22.24","572.95K","0.54%"
"11/14/2023","22.40","22.18","22.54","22.12","503.87K","1.08%"
"11/13/2023","22.16","22.58","22.58","22.16","612.98K","-1.60%"
"11/12/2023","22.52","22.70","22.74","22.42","427.11K","-0.97%"
"11/09/2023","22.74","22.80","22.88","22.60","515.26K","-1.13%"
"11/08/2023","23.00","23.04","23.24","23.00","563.85K","-0.69%"
"11/07/2023","23.16","23.62","23.74","23.08","479.84K","-2.69%"
"11/06/2023","23.80","24.00","24.16","23.58","505.31K","-0.83%"
"11/05/2023","24.00","23.98","24.12","23.74","267.52K","1.18%"
"11/02/2023","23.72","23.98","24.12","23.64","784.65K","1.54%"
"11/01/2023","23.36","23.96","23.96","23.36","285.53K","-2.50%"
"10/31/2023","23.96","23.56","23.96","23.32","450.37K","1.96%"
"10/30/2023","23.50","23.10","23.50","23.08","417.86K","1.91%"
"10/29/2023","23.06","22.72","23.10","22.54","381.56K","1.59%"
"10/26/2023","22.70","22.90","23.12","22.68","310.31K","-0.87%"
"10/25/2023","22.90","22.78","23.16","22.54","343.84K","1.33%"
"10/24/2023","22.60","22.60","22.70","22.32","493.44K","0.00%"
"10/23/2023","22.60","23.34","23.60","22.60","598.23K","-3.17%"
"10/22/2023","23.34","23.42","23.86","23.34","183.86K","-1.44%"
"10/19/2023","23.68","23.42","23.74","23.32","339.48K","1.11%"
"10/18/2023","23.42","23.80","24.08","23.40","1.46M","-2.42%"
"10/17/2023","24.00","23.74","24.04","23.70","673.78K","0.25%"
"10/16/2023","23.94","23.50","23.94","23.38","837.14K","1.01%"
"10/15/2023","23.70","23.32","23.72","23.28","210.95K","1.28%"
"10/12/2023","23.40","23.32","23.60","23.12","517.45K","-0.17%"
"10/11/2023","23.44","23.50","23.76","23.24","534.61K","-0.51%"
"10/10/2023","23.56","24.00","24.00","23.42","528.61K","0.68%"
"10/09/2023","23.40","23.76","23.76","23.30","1.20M","-1.52%"
"10/08/2023","23.76","23.50","23.84","23.10","259.02K","1.02%"
"10/05/2023","23.52","23.52","23.74","23.50","796.96K","-0.68%"
"10/04/2023","23.68","23.98","24.10","23.68","311.24K","-1.17%"
"10/03/2023","23.96","23.54","24.14","23.32","984.78K","1.78%"
"10/02/2023","23.54","23.84","23.88","23.54","702.08K","-1.09%"
"10/01/2023","23.80","23.76","23.82","23.64","251.41K","0.17%"
"09/28/2023","23.76","23.68","23.86","23.66","626.86K","0.34%"
"09/27/2023","23.68","23.60","23.92","23.60","1.27M","0.17%"
"09/26/2023","23.64","23.66","24.00","23.28","323.21K","-0.25%"
"09/25/2023","23.70","23.52","24.12","23.52","734.71K","-2.55%"
"09/21/2023","24.32","24.22","24.32","24.00","533.59K","0.41%"
"09/20/2023","24.22","23.96","24.22","23.90","611.88K","0.75%"
"09/19/2023","24.04","24.10","24.18","23.82","633.68K","-0.17%"
"09/18/2023","24.08","24.22","24.46","24.08","488.94K","-0.91%"
"09/17/2023","24.30","24.40","24.50","24.20","460.08K","-0.33%"
"09/14/2023","24.38","24.30","24.44","24.14","1.51M","0.33%"
"09/13/2023","24.30","24.52","24.64","24.02","747.36K","-1.38%"
"09/12/2023","24.64","24.80","24.96","24.52","465.11K","-0.65%"
"09/11/2023","24.80","24.32","24.80","24.20","694.68K","1.97%"
"09/10/2023","24.32","24.36","24.50","24.18","540.94K","-0.16%"
"09/07/2023","24.36","24.08","24.36","24.08","484.32K","0.66%"
"09/06/2023","24.20","24.40","24.46","24.12","884.45K","-1.14%"
"09/05/2023","24.48","24.72","25.15","24.36","1.26M","-1.69%"
"09/04/2023","24.90","25.65","25.75","24.80","853.00K","-3.11%"
"09/03/2023","25.70","25.80","25.85","25.55","376.36K","-0.39%"
"08/31/2023","25.80","25.65","25.80","25.30","899.43K","0.78%"
"08/30/2023","25.60","25.10","25.70","25.10","607.18K","1.79%"
"08/29/2023","25.15","25.40","25.40","25.15","321.49K","-0.40%"
"08/28/2023","25.25","25.25","25.40","25.10","401.22K","0.20%"
"08/27/2023","25.20","25.10","25.35","24.98","332.95K","0.60%"
"08/24/2023","25.05","25.05","25.45","25.05","591.78K","0.00%"
"08/23/2023","25.05","24.92","25.50","24.92","746.51K","0.36%"
"08/22/2023","24.96","24.80","25.30","24.74","496.83K","0.24%"
"08/21/2023","24.90","25.20","25.55","24.90","644.37K","-0.99%"
"08/20/2023","25.15","24.94","25.25","24.94","514.63K","1.00%"
"08/17/2023","24.90","24.74","25.10","24.62","1.13M","0.65%"
"08/16/2023","24.74","24.70","25.10","24.70","404.26K","-0.24%"
"08/15/2023","24.80","24.76","25.00","24.70","289.06K","0.24%"
"08/14/2023","24.74","25.05","25.05","24.74","361.09K","-1.24%"
"08/13/2023","25.05","25.20","25.40","24.92","472.28K","-0.40%"
"08/10/2023","25.15","24.80","25.35","24.78","662.10K","1.66%"
