"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","15.56","15.42","15.68","15.42","271.85K","0.39%"
"12/28/2023","15.50","15.62","15.70","15.48","206.30K","-0.64%"
"12/27/2023","15.60","15.40","15.70","15.36","418.96K","1.30%"
"12/26/2023","15.40","15.32","15.66","15.28","542.07K","0.52%"
"12/25/2023","15.32","15.30","15.38","15.24","188.90K","-0.13%"
"12/24/2023","15.34","15.40","15.44","15.26","166.51K","0.66%"
"12/21/2023","15.24","15.20","15.72","15.16","759.79K","0.26%"
"12/20/2023","15.20","15.54","15.54","15.20","530.74K","-1.30%"
"12/19/2023","15.40","14.70","16.16","14.70","3.71M","4.76%"
"12/18/2023","14.70","14.70","14.88","14.66","217.01K","-0.14%"
"12/17/2023","14.72","14.84","14.84","14.68","158.13K","-0.54%"
"12/14/2023","14.80","14.90","15.00","14.80","332.61K","-1.07%"
"12/13/2023","14.96","15.22","15.28","14.86","207.09K","-1.58%"
"12/12/2023","15.20","15.26","15.34","15.16","89.44K","-0.52%"
"12/11/2023","15.28","15.44","15.50","15.22","178.91K","-0.91%"
"12/10/2023","15.42","15.38","15.44","15.26","61.31K","0.92%"
"12/07/2023","15.28","15.44","15.44","15.24","73.84K","-0.78%"
"12/06/2023","15.40","15.22","15.44","15.22","95.27K","1.32%"
"12/05/2023","15.20","15.54","15.54","15.20","137.22K","-1.55%"
"12/04/2023","15.44","15.78","15.78","15.44","122.51K","-1.28%"
"12/03/2023","15.64","15.50","15.82","15.38","212.03K","2.09%"
"11/30/2023","15.32","15.42","15.46","15.28","65.96K","-0.65%"
"11/29/2023","15.42","15.60","15.66","15.40","89.17K","0.00%"
"11/28/2023","15.42","15.80","15.90","15.42","201.13K","-2.03%"
"11/27/2023","15.74","15.42","15.80","15.42","269.49K","2.21%"
"11/26/2023","15.40","15.24","15.40","15.18","99.49K","1.32%"
"11/23/2023","15.20","15.34","15.42","15.20","244.71K","-0.91%"
"11/22/2023","15.34","15.66","15.66","15.22","216.58K","-1.03%"
"11/21/2023","15.50","15.04","15.60","15.04","198.76K","1.31%"
"11/20/2023","15.30","15.02","15.30","14.92","246.85K","0.66%"
"11/19/2023","15.20","14.70","15.26","14.70","132.14K","2.84%"
"11/16/2023","14.78","14.58","14.82","14.52","104.91K","1.93%"
"11/15/2023","14.50","14.46","14.58","14.28","61.02K","0.14%"
"11/14/2023","14.48","14.32","14.58","14.00","91.51K","0.56%"
"11/13/2023","14.40","14.78","14.78","14.32","108.87K","-0.83%"
"11/12/2023","14.52","14.24","15.14","14.24","349.94K","1.97%"
"11/09/2023","14.24","14.10","14.38","14.08","78.19K","0.71%"
"11/08/2023","14.14","14.04","14.70","14.04","292.63K","0.57%"
"11/07/2023","14.06","14.26","14.26","14.00","81.48K","-0.99%"
"11/06/2023","14.20","14.16","14.40","14.16","111.21K","-0.28%"
"11/05/2023","14.24","14.18","14.48","14.02","70.24K","1.57%"
"11/02/2023","14.02","13.94","14.10","13.94","47.44K","0.72%"
"11/01/2023","13.92","13.94","13.98","13.68","78.20K","-0.43%"
"10/31/2023","13.98","14.12","14.12","13.92","100.68K","0.87%"
"10/30/2023","13.86","13.86","14.14","13.84","116.70K","0.43%"
