"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","171.40","172.00","173.00","169.80","82.23K","0.35%"
"12/28/2023","170.80","171.00","172.40","168.80","92.60K","0.12%"
"12/27/2023","170.60","170.20","175.40","168.60","221.31K","0.35%"
"12/26/2023","170.00","162.40","174.80","162.20","521.57K","4.81%"
"12/25/2023","162.20","162.20","163.00","161.00","74.27K","0.00%"
"12/24/2023","162.20","159.60","163.20","159.20","71.17K","1.63%"
"12/21/2023","159.60","160.00","160.60","157.80","62.22K","-0.87%"
"12/20/2023","161.00","161.80","162.20","159.40","50.56K","-0.25%"
"12/19/2023","161.40","159.80","161.60","158.40","100.85K","1.00%"
"12/18/2023","159.80","163.00","163.00","158.40","175.60K","-2.32%"
"12/17/2023","163.60","165.20","166.20","162.20","95.75K","-0.49%"
"12/14/2023","164.40","158.80","166.20","158.40","403.61K","3.53%"
"12/13/2023","158.80","159.60","160.20","157.40","67.34K","-1.12%"
"12/12/2023","160.60","159.00","161.00","158.00","84.89K","1.01%"
"12/11/2023","159.00","162.40","162.40","157.40","129.07K","-1.61%"
"12/10/2023","161.60","159.40","163.00","157.40","128.03K","2.41%"
"12/07/2023","157.80","156.40","161.20","156.40","78.34K","0.38%"
"12/06/2023","157.20","157.00","158.60","156.00","93.25K","0.13%"
"12/05/2023","157.00","158.00","158.60","153.80","183.68K","-0.76%"
"12/04/2023","158.20","160.00","162.00","158.20","128.13K","-1.00%"
"12/03/2023","159.80","158.60","160.80","157.80","152.50K","0.38%"
"11/30/2023","159.20","157.60","161.00","156.40","198.24K","1.02%"
"11/29/2023","157.60","167.20","167.20","156.00","338.08K","-4.25%"
"11/28/2023","164.60","164.00","167.00","161.80","220.42K","0.37%"
"11/27/2023","164.00","155.00","164.80","155.00","407.89K","6.22%"
"11/26/2023","154.40","150.00","155.00","148.00","243.19K","3.07%"
"11/23/2023","149.80","150.00","150.60","147.80","142.60K","-0.40%"
"11/22/2023","150.40","145.60","152.80","145.20","510.35K","3.44%"
"11/21/2023","145.40","145.20","145.40","143.80","96.13K","0.28%"
"11/20/2023","145.00","146.00","147.20","143.40","203.22K","0.00%"
"11/19/2023","145.00","144.80","147.40","141.80","222.64K","0.83%"
"11/16/2023","143.80","142.60","145.40","142.40","116.80K","0.70%"
"11/15/2023","142.80","145.60","145.60","142.00","223.81K","-0.83%"
"11/14/2023","144.00","145.80","149.20","143.00","283.91K","-0.83%"
"11/13/2023","145.20","149.40","149.40","144.00","338.62K","-2.94%"
"11/12/2023","149.60","151.00","158.00","149.00","276.65K","1.08%"
"11/09/2023","148.00","145.40","153.20","143.20","393.49K","2.07%"
"11/08/2023","145.00","141.00","149.00","137.80","640.63K","6.62%"
"11/07/2023","136.00","137.80","137.80","135.00","69.79K","-1.45%"
"11/06/2023","138.00","139.20","140.20","137.20","96.81K","-1.43%"
"11/05/2023","140.00","140.00","140.40","138.20","69.70K","0.14%"
"11/02/2023","139.80","139.20","140.60","138.60","111.54K","1.60%"
"11/01/2023","137.60","140.40","142.00","137.20","147.64K","-2.41%"
"10/31/2023","141.00","139.20","141.80","137.00","190.99K","2.17%"
"10/30/2023","138.00","143.00","144.20","138.00","87.11K","-3.36%"
"10/29/2023","142.80","142.40","143.80","141.20","23.96K","0.28%"
"10/26/2023","142.40","146.00","146.60","142.00","36.33K","-2.47%"
"10/25/2023","146.00","142.00","146.00","141.60","92.91K","3.40%"
"10/24/2023","141.20","135.00","143.80","135.00","156.88K","0.86%"
"10/23/2023","140.00","150.00","151.60","140.00","98.13K","-6.67%"
"10/22/2023","150.00","153.20","154.40","147.60","36.26K","-2.98%"
"10/19/2023","154.60","156.20","158.00","153.60","53.03K","-1.40%"
"10/18/2023","156.80","159.40","160.80","156.80","56.67K","-1.88%"
"10/17/2023","159.80","159.80","160.40","158.20","62.51K","0.63%"
"10/16/2023","158.80","161.00","162.00","158.00","45.52K","-1.37%"
"10/15/2023","161.00","162.00","163.00","160.00","25.31K","-0.25%"
"10/12/2023","161.40","163.00","163.40","160.20","24.94K","-1.22%"
"10/11/2023","163.40","168.60","168.60","159.20","85.41K","0.25%"
"10/10/2023","163.00","160.00","165.40","160.00","55.45K","1.88%"
"10/09/2023","160.00","165.00","165.40","160.00","44.85K","-3.03%"
"10/08/2023","165.00","168.00","169.00","162.00","12.72K","-0.84%"
"10/05/2023","166.40","165.00","167.20","162.00","29.63K","0.48%"
"10/04/2023","165.60","167.40","167.60","164.20","29.54K","-1.08%"
"10/03/2023","167.40","166.20","168.60","164.60","65.90K","-0.71%"
"10/02/2023","168.60","167.00","171.40","166.60","61.87K","0.96%"
"10/01/2023","167.00","166.40","167.00","163.60","26.40K","1.58%"
"09/28/2023","164.40","157.00","167.80","157.00","118.15K","5.38%"
"09/27/2023","156.00","155.40","159.00","155.40","37.77K","0.39%"
"09/26/2023","155.40","157.20","158.20","155.40","22.30K","-1.02%"
"09/25/2023","157.00","158.00","159.40","155.00","31.69K","-0.51%"
"09/21/2023","157.80","164.00","164.00","154.80","45.62K","-3.43%"
"09/20/2023","163.40","165.00","165.20","162.00","19.23K","-0.97%"
"09/19/2023","165.00","161.60","165.00","158.40","61.20K","2.48%"
"09/18/2023","161.00","174.80","174.80","161.00","68.48K","-6.61%"
"09/17/2023","172.40","177.40","177.40","171.60","36.80K","-3.25%"
"09/14/2023","178.20","176.60","178.20","175.00","46.79K","0.34%"
"09/13/2023","177.60","177.80","179.20","176.00","44.94K","-0.22%"
"09/12/2023","178.00","178.80","181.20","176.20","37.32K","0.00%"
"09/11/2023","178.00","175.00","178.60","175.00","21.36K","1.14%"
"09/10/2023","176.00","176.40","177.80","175.40","12.39K","-0.56%"
"09/07/2023","177.00","178.40","178.60","174.20","62.63K","-1.12%"
"09/06/2023","179.00","180.00","182.80","178.40","65.57K","-1.00%"
"09/05/2023","180.80","177.20","181.00","177.20","36.45K","1.69%"
"09/04/2023","177.80","178.20","178.60","177.20","26.03K","-0.78%"
"09/03/2023","179.20","177.60","179.40","177.00","36.09K","1.13%"
"08/31/2023","177.20","179.80","180.60","177.20","115.36K","-1.45%"
"08/30/2023","179.80","174.80","180.00","174.40","93.53K","3.21%"
"08/29/2023","174.20","175.00","176.00","174.00","39.67K","-0.57%"
"08/28/2023","175.20","176.20","176.60","175.00","44.50K","-0.11%"
"08/27/2023","175.40","174.80","177.40","174.80","31.16K","-0.23%"
"08/24/2023","175.80","175.00","177.80","175.00","72.68K","0.92%"
"08/23/2023","174.20","175.80","177.60","174.20","84.12K","-0.91%"
"08/22/2023","175.80","177.80","179.40","175.20","74.10K","-0.68%"
"08/21/2023","177.00","177.40","179.20","176.20","47.68K","0.23%"
"08/20/2023","176.60","178.00","179.80","176.00","72.89K","-0.79%"
"08/17/2023","178.00","184.80","185.00","178.00","49.26K","-2.41%"
"08/16/2023","182.40","176.20","185.00","176.20","118.13K","3.52%"
"08/15/2023","176.20","180.20","181.00","175.80","40.13K","-2.22%"
"08/14/2023","180.20","183.00","184.00","180.00","49.57K","-1.53%"
"08/13/2023","183.00","174.00","186.20","173.40","89.81K","5.66%"
"08/10/2023","173.20","175.00","176.80","172.20","75.03K","-1.03%"
"08/09/2023","175.00","172.00","179.80","172.00","66.06K","1.39%"
"08/08/2023","172.60","175.60","178.80","171.60","50.06K","-1.03%"
"08/07/2023","174.40","178.00","180.00","174.00","61.91K","-2.02%"
"08/06/2023","178.00","181.80","181.80","177.80","23.39K","-1.87%"
"08/03/2023","181.40","185.40","185.80","179.20","49.68K","-1.52%"
"08/02/2023","184.20","191.60","192.40","184.20","80.16K","-2.85%"
"08/01/2023","189.60","186.00","192.80","185.60","53.92K","1.28%"
"07/31/2023","187.20","187.20","187.60","182.80","69.56K","-1.47%"
"07/30/2023","190.00","186.00","192.80","186.00","68.56K","2.15%"
"07/27/2023","186.00","187.60","191.60","186.00","133.44K","-0.32%"
"07/26/2023","186.60","180.40","187.20","179.20","143.31K","4.01%"
"07/25/2023","179.40","172.00","185.60","171.00","202.82K","5.04%"
"07/24/2023","170.80","175.00","176.00","170.20","60.45K","-2.51%"
"07/23/2023","175.20","178.60","178.60","175.00","46.93K","-2.01%"
"07/20/2023","178.80","179.60","181.80","178.00","24.47K","-1.00%"
"07/19/2023","180.60","181.40","181.40","178.60","28.49K","-0.44%"
"07/18/2023","181.40","183.00","187.40","179.60","68.73K","-1.31%"
"07/17/2023","183.80","185.60","188.00","183.60","98.19K","-0.43%"
"07/16/2023","184.60","178.00","185.20","178.00","176.76K","3.94%"
"07/13/2023","177.60","175.00","177.80","174.60","97.84K","1.37%"
"07/12/2023","175.20","179.60","179.80","174.60","95.05K","-1.46%"
"07/11/2023","177.80","177.40","181.00","176.40","82.53K","0.45%"
"07/10/2023","177.00","181.00","181.40","176.20","54.50K","-2.10%"
"07/09/2023","180.80","182.80","182.80","179.80","29.93K","-0.22%"
"07/06/2023","181.20","184.00","184.20","180.40","72.04K","-2.05%"
"07/05/2023","185.00","187.20","187.60","184.00","39.08K","-1.18%"
"07/04/2023","187.20","188.20","188.40","186.00","39.73K","0.97%"
"07/03/2023","185.40","189.20","191.60","185.00","44.79K","-2.42%"
"07/02/2023","190.00","189.20","192.20","189.20","15.67K","0.64%"
"06/22/2023","188.80","192.40","193.20","188.40","37.65K","-2.78%"
"06/21/2023","194.20","193.60","196.20","191.80","22.09K","0.31%"
"06/20/2023","193.60","193.20","196.20","191.60","70.28K","-0.72%"
"06/19/2023","195.00","198.60","201.00","193.60","41.79K","-2.01%"
"06/18/2023","199.00","195.40","199.60","195.40","36.83K","1.84%"
"06/15/2023","195.40","193.60","197.00","193.00","93.00K","1.24%"
"06/14/2023","193.00","189.00","193.80","189.00","71.25K","2.12%"
"06/13/2023","189.00","190.80","191.00","189.00","30.09K","-0.94%"
"06/12/2023","190.80","188.40","190.80","188.40","13.16K","1.38%"
"06/11/2023","188.20","190.60","190.60","188.20","23.76K","-1.47%"
"06/08/2023","191.00","189.80","191.60","188.40","51.40K","0.63%"
"06/07/2023","189.80","193.40","193.40","188.00","41.90K","-1.25%"
"06/06/2023","192.20","194.60","194.60","192.20","19.37K","-1.33%"
"06/05/2023","194.80","188.60","194.80","188.60","78.88K","3.07%"
"06/04/2023","189.00","188.40","190.00","188.00","16.10K","0.96%"
"06/01/2023","187.20","187.80","190.00","186.00","48.66K","-0.43%"
"05/31/2023","188.00","187.60","189.00","185.00","116.93K","0.43%"
"05/30/2023","187.20","184.00","189.60","184.00","52.88K","0.97%"
"05/29/2023","185.40","192.40","192.40","185.40","41.47K","-2.93%"
"05/28/2023","191.00","192.20","192.20","190.40","24.00K","-1.14%"
"05/25/2023","193.20","194.80","196.80","191.20","46.51K","-0.92%"
"05/24/2023","195.00","195.20","195.60","190.40","34.22K","0.00%"
"05/23/2023","195.00","197.40","197.80","195.00","43.76K","-1.52%"
"05/22/2023","198.00","199.00","199.80","197.00","35.17K","-0.10%"
"05/21/2023","198.20","201.40","201.40","196.60","52.70K","-1.39%"
"05/18/2023","201.00","206.60","206.80","201.00","34.43K","-2.71%"
"05/17/2023","206.60","205.00","207.40","204.80","29.59K","0.58%"
"05/16/2023","205.40","210.60","210.60","205.40","34.38K","-1.34%"
"05/15/2023","208.20","202.00","210.20","201.80","106.43K","3.07%"
"05/14/2023","202.00","201.60","204.00","201.60","13.73K","0.30%"
"05/11/2023","201.40","202.40","203.60","201.00","37.52K","-0.79%"
"05/10/2023","203.00","203.80","203.80","202.00","10.58K","-0.39%"
"05/09/2023","203.80","204.00","204.00","201.40","26.05K","-0.29%"
