"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","39.35","39.20","39.35","38.91","2.58M","-0.12%"
"12/28/2023","39.40","39.15","39.44","39.01","3.46M","0.50%"
"12/27/2023","39.20","39.20","39.35","38.91","3.49M","0.00%"
"12/26/2023","39.20","38.57","39.20","38.57","4.68M","1.64%"
"12/25/2023","38.57","38.28","38.66","38.18","3.04M","0.76%"
"12/24/2023","38.28","38.08","38.37","38.08","978.67K","0.26%"
"12/21/2023","38.18","38.23","38.23","37.89","2.40M","-0.25%"
"12/20/2023","38.28","38.32","38.37","38.08","1.96M","-0.13%"
"12/19/2023","38.32","38.57","38.62","38.08","2.76M","-0.63%"
"12/18/2023","38.57","38.57","38.62","38.03","3.27M","0.00%"
"12/17/2023","38.57","38.66","38.66","38.23","2.40M","0.89%"
"12/14/2023","38.23","38.13","38.28","37.89","4.83M","0.64%"
"12/13/2023","37.98","38.08","38.18","37.64","2.84M","-0.13%"
"12/12/2023","38.03","38.47","38.62","37.84","6.27M","-2.38%"
"12/11/2023","38.96","37.40","38.96","37.35","6.98M","4.17%"
"12/10/2023","37.40","37.20","37.54","37.16","3.93M","0.66%"
"12/07/2023","37.16","37.11","37.20","37.01","1.98M","0.13%"
"12/06/2023","37.11","37.16","37.25","37.01","2.25M","-0.39%"
"12/05/2023","37.25","37.20","37.30","37.11","3.83M","0.26%"
"12/04/2023","37.16","37.35","37.45","37.16","3.24M","-0.39%"
"12/03/2023","37.30","37.45","37.45","37.25","1.28M","-0.39%"
"11/30/2023","37.45","37.40","37.45","37.06","4.86M","0.00%"
"11/29/2023","37.45","37.54","37.59","37.25","1.82M","0.00%"
"11/28/2023","37.45","37.35","37.59","37.16","2.52M","0.39%"
"11/27/2023","37.30","36.96","37.45","36.96","2.05M","1.06%"
"11/26/2023","36.91","37.11","37.20","36.91","1.50M","-0.66%"
"11/23/2023","37.16","37.30","37.50","37.01","1.84M","-0.39%"
"11/22/2023","37.30","37.30","37.54","37.06","2.39M","0.00%"
"11/21/2023","37.30","37.59","37.64","37.16","2.42M","-0.91%"
"11/20/2023","37.64","38.03","38.08","37.50","5.98M","-1.02%"
"11/19/2023","38.03","38.08","38.57","37.98","2.25M","-0.38%"
"11/16/2023","38.18","37.74","38.23","37.54","5.13M","1.16%"
"11/15/2023","37.74","36.42","37.74","36.42","6.75M","4.45%"
"11/14/2023","36.13","36.18","36.81","36.13","3.24M","0.00%"
"11/13/2023","36.13","36.72","36.91","35.94","3.51M","-1.59%"
"11/12/2023","36.72","37.11","37.30","36.72","1.90M","-1.31%"
"11/09/2023","37.20","37.20","37.50","37.06","3.64M","0.00%"
"11/08/2023","37.20","36.96","37.20","36.77","2.80M","0.66%"
"11/07/2023","36.96","36.96","36.96","36.52","2.33M","0.00%"
"11/06/2023","36.96","37.11","37.20","36.72","2.91M","-1.04%"
"11/05/2023","37.35","37.59","37.59","37.20","2.79M","0.26%"
"11/02/2023","37.25","37.54","37.84","37.01","3.23M","-0.78%"
"11/01/2023","37.54","37.45","37.93","36.86","4.57M","0.39%"
"10/31/2023","37.40","36.38","37.45","36.13","6.23M","3.50%"
"10/30/2023","36.13","36.33","36.77","35.99","6.11M","0.68%"
"10/29/2023","35.89","35.26","35.94","35.16","2.14M","2.22%"
"10/26/2023","35.11","35.55","35.74","35.11","3.60M","-1.64%"
"10/25/2023","35.69","35.30","36.13","35.01","4.84M","1.81%"
"10/24/2023","35.06","34.77","35.55","34.53","4.46M","0.98%"
"10/23/2023","34.72","35.21","35.60","34.53","3.78M","-1.38%"
"10/22/2023","35.21","35.40","35.69","35.06","4.65M","-0.28%"
"10/19/2023","35.30","35.50","35.79","35.26","5.05M","-0.28%"
"10/18/2023","35.40","36.42","36.52","35.40","3.99M","-2.42%"
"10/17/2023","36.28","35.99","36.47","35.79","4.14M","0.95%"
"10/16/2023","35.94","34.96","35.94","34.53","6.27M","2.79%"
"10/15/2023","34.96","34.48","34.96","34.18","3.13M","1.56%"
"10/12/2023","34.43","34.53","34.72","34.09","8.42M","0.00%"
"10/11/2023","34.43","35.11","35.16","34.18","12.10M","-1.67%"
"10/10/2023","35.01","35.21","35.26","34.82","5.97M","0.42%"
"10/09/2023","34.87","35.06","35.40","34.77","9.67M","-0.56%"
"10/08/2023","35.06","36.04","36.18","35.06","4.82M","-2.70%"
"10/05/2023","36.04","36.08","36.42","35.69","5.61M","0.00%"
"10/04/2023","36.04","36.62","36.62","36.04","3.49M","-1.73%"
"10/03/2023","36.67","36.42","36.77","36.28","3.09M","0.94%"
"10/02/2023","36.33","36.62","36.67","36.23","4.56M","-0.67%"
"10/01/2023","36.57","36.81","36.96","36.52","1.77M","-0.13%"
"09/28/2023","36.62","37.01","37.25","36.62","5.46M","-1.05%"
"09/27/2023","37.01","36.33","37.16","36.13","4.67M","2.15%"
"09/26/2023","36.23","36.72","36.86","36.23","4.96M","-1.20%"
"09/25/2023","36.67","37.01","37.16","36.57","4.15M","-0.92%"
"09/21/2023","37.01","37.25","37.40","37.01","3.42M","-0.39%"
"09/20/2023","37.16","37.50","37.59","37.01","3.20M","-0.78%"
"09/19/2023","37.45","37.16","37.50","36.91","4.39M","1.32%"
"09/18/2023","36.96","37.40","37.59","36.86","5.07M","-1.17%"
"09/17/2023","37.40","37.69","37.74","37.40","2.04M","0.00%"
"09/14/2023","37.40","37.64","37.93","37.40","4.45M","-0.65%"
"09/13/2023","37.64","37.98","38.08","37.40","3.08M","-0.90%"
"09/12/2023","37.98","38.71","38.81","37.93","2.58M","-1.76%"
"09/11/2023","38.66","38.28","38.66","38.18","1.90M","1.28%"
"09/10/2023","38.18","38.08","38.28","37.89","1.66M","0.26%"
"09/07/2023","38.08","37.79","38.08","37.59","3.62M","1.03%"
"09/06/2023","37.69","38.52","38.76","37.50","8.33M","-2.15%"
