"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","37.90","37.40","37.90","37.30","148.84K","0.80%"
"12/28/2023","37.60","36.90","37.75","36.90","854.00K","1.62%"
"12/27/2023","37.00","36.75","37.30","36.60","2.38M","1.23%"
"12/26/2023","36.55","36.50","36.80","36.40","1.26M","0.41%"
"12/25/2023","36.40","35.80","36.40","35.80","1.53M","1.82%"
"12/24/2023","35.75","35.85","35.85","35.55","465.12K","-0.28%"
"12/21/2023","35.85","36.00","36.05","35.55","597.59K","-0.97%"
"12/20/2023","36.20","36.70","36.80","35.80","1.65M","-1.09%"
"12/19/2023","36.60","37.30","37.30","36.40","1.26M","-2.14%"
"12/18/2023","37.40","35.35","37.55","35.35","2.77M","5.65%"
"12/17/2023","35.40","35.00","35.95","35.00","1.06M","1.58%"
"12/14/2023","34.85","34.30","35.00","34.30","2.78M","1.60%"
"12/13/2023","34.30","33.95","34.35","33.75","622.54K","1.03%"
"12/12/2023","33.95","33.85","33.95","33.60","1.66M","0.30%"
"12/11/2023","33.85","34.10","34.10","33.45","1.72M","-0.73%"
"12/10/2023","34.10","33.40","34.20","33.40","201.36K","1.34%"
"12/07/2023","33.65","33.50","33.90","33.20","1.35M","-0.15%"
"12/06/2023","33.70","33.70","33.85","33.40","747.65K","0.15%"
"12/05/2023","33.65","34.30","34.30","33.55","898.08K","-1.46%"
"12/04/2023","34.15","35.00","35.00","34.15","1.08M","-1.59%"
"12/03/2023","34.70","34.55","34.85","34.55","278.00K","-0.14%"
"11/30/2023","34.75","34.40","34.80","34.30","2.26M","0.29%"
"11/29/2023","34.65","34.50","34.75","34.15","607.08K","0.29%"
"11/28/2023","34.55","34.40","34.60","33.90","634.21K","1.32%"
"11/27/2023","34.10","33.80","34.40","33.80","204.03K","0.00%"
"11/26/2023","34.10","34.15","34.40","34.00","117.89K","-0.87%"
"11/23/2023","34.40","34.55","34.55","34.00","463.03K","0.15%"
"11/22/2023","34.35","34.75","34.75","34.15","567.49K","-0.43%"
"11/21/2023","34.50","34.70","35.00","34.50","1.54M","-0.29%"
"11/20/2023","34.60","35.00","35.30","34.45","2.32M","-1.70%"
"11/19/2023","35.20","35.80","35.80","34.90","540.20K","-1.12%"
"11/16/2023","35.60","34.40","35.60","34.35","1.54M","2.45%"
"11/15/2023","34.75","34.55","34.85","34.10","1.03M","1.61%"
"11/14/2023","34.20","34.25","34.60","34.10","1.06M","0.00%"
"11/13/2023","34.20","34.90","34.90","33.85","1.23M","-0.87%"
"11/12/2023","34.50","34.70","34.95","34.00","495.45K","-0.58%"
"11/09/2023","34.70","35.60","35.60","34.60","767.77K","-2.25%"
"11/08/2023","35.50","35.50","36.25","35.50","1.06M","-0.84%"
"11/07/2023","35.80","36.00","36.15","35.00","1.34M","-0.56%"
"11/06/2023","36.00","34.90","36.15","34.90","1.18M","2.13%"
"11/05/2023","35.25","34.90","35.30","34.65","422.41K","1.15%"
"11/02/2023","34.85","35.00","35.90","34.80","1.12M","-0.43%"
"11/01/2023","35.00","33.70","35.10","33.20","2.07M","4.63%"
"10/31/2023","33.45","33.90","33.90","33.00","1.69M","1.36%"
"10/30/2023","33.00","32.45","33.65","32.45","1.03M","0.92%"
"10/29/2023","32.70","32.20","32.85","31.70","2.46M","2.19%"
"10/26/2023","32.00","32.50","32.75","31.75","1.47M","-1.54%"
"10/25/2023","32.50","31.95","32.60","31.55","1.05M","1.72%"
"10/24/2023","31.95","31.15","31.95","30.90","939.34K","3.73%"
"10/23/2023","30.80","31.10","31.40","30.60","1.95M","-2.07%"
"10/22/2023","31.45","31.95","31.95","31.05","683.42K","-1.72%"
"10/19/2023","32.00","31.95","32.30","31.65","2.08M","-0.47%"
"10/18/2023","32.15","32.15","32.40","31.95","1.34M","-0.16%"
"10/17/2023","32.20","31.90","32.75","31.80","1.18M","0.63%"
"10/16/2023","32.00","31.20","32.15","31.15","2.58M","1.59%"
"10/15/2023","31.50","32.35","32.35","31.40","1.11M","-2.48%"
"10/12/2023","32.30","32.65","32.95","31.90","2.91M","-2.42%"
"10/11/2023","33.10","34.00","34.00","32.55","1.77M","-1.63%"
"10/10/2023","33.65","32.45","33.80","32.15","1.26M","4.50%"
"10/09/2023","32.20","32.80","33.30","32.20","1.43M","-3.59%"
"10/08/2023","33.40","32.90","33.65","32.60","443.28K","1.67%"
"10/05/2023","32.85","34.20","34.20","32.85","1.46M","-3.10%"
"10/04/2023","33.90","33.80","34.00","33.15","816.39K","0.00%"
"10/03/2023","33.90","34.45","34.60","33.65","704.89K","-1.45%"
"10/02/2023","34.40","33.80","35.05","33.80","1.05M","0.73%"
"10/01/2023","34.15","34.50","34.85","34.10","351.03K","-1.01%"
"09/28/2023","34.50","34.95","35.10","34.40","1.59M","-1.29%"
"09/27/2023","34.95","34.55","35.20","34.10","2.53M","1.30%"
"09/26/2023","34.50","34.70","34.95","34.10","2.42M","-1.57%"
"09/25/2023","35.05","34.00","35.30","34.00","1.50M","1.74%"
"09/21/2023","34.45","34.40","34.45","33.60","889.98K","0.73%"
"09/20/2023","34.20","34.05","34.20","33.60","1.80M","0.44%"
"09/19/2023","34.05","33.60","34.05","33.30","802.85K","1.34%"
"09/18/2023","33.60","33.75","33.95","33.35","678.35K","-0.15%"
"09/17/2023","33.65","34.20","34.20","33.60","288.57K","-1.46%"
"09/14/2023","34.15","33.70","34.15","33.60","1.75M","0.44%"
"09/13/2023","34.00","34.05","34.20","33.60","937.44K","-0.73%"
"09/12/2023","34.25","34.35","34.35","33.75","1.50M","-0.15%"
"09/11/2023","34.30","34.60","34.95","33.70","1.82M","-1.29%"
"09/10/2023","34.75","34.25","34.75","34.15","250.14K","0.58%"
"09/07/2023","34.55","34.75","34.75","34.15","861.75K","-0.58%"
"09/06/2023","34.75","34.75","34.85","34.20","888.38K","-0.71%"
"09/05/2023","35.00","35.05","35.20","34.60","1.61M","0.00%"
"09/04/2023","35.00","35.85","35.85","34.90","677.03K","-1.69%"
"09/03/2023","35.60","35.20","35.75","35.20","322.56K","-0.70%"
"08/31/2023","35.85","35.85","36.10","35.35","1.61M","0.14%"
"08/30/2023","35.80","35.75","35.95","35.60","2.41M","0.85%"
"08/29/2023","35.50","35.55","35.65","35.25","1.29M","0.14%"
"08/28/2023","35.45","35.65","35.80","35.10","1.03M","-0.28%"
"08/27/2023","35.55","35.05","35.60","35.05","133.91K","0.57%"
"08/24/2023","35.35","35.00","35.40","34.80","1.56M","1.14%"
"08/23/2023","34.95","35.30","35.80","34.90","967.28K","-1.41%"
"08/22/2023","35.45","35.55","35.85","35.45","723.56K","-0.28%"
"08/21/2023","35.55","36.25","36.35","35.50","3.57M","-1.25%"
"08/20/2023","36.00","35.30","36.20","35.30","323.26K","1.98%"
"08/17/2023","35.30","34.90","35.75","34.75","2.30M","1.29%"
"08/16/2023","34.85","35.35","35.90","34.85","737.39K","-1.97%"
"08/15/2023","35.55","36.35","36.35","35.45","2.29M","-2.20%"
"08/14/2023","36.35","36.00","36.50","36.00","1.35M","-2.42%"
"08/13/2023","37.25","36.50","37.30","36.50","419.58K","1.78%"
"08/10/2023","36.60","36.00","36.75","36.00","2.06M","1.67%"
"08/09/2023","36.00","36.40","36.40","35.65","4.62M","0.28%"
"08/08/2023","35.90","36.40","37.15","35.90","4.78M","-0.83%"
"08/07/2023","36.20","35.70","36.35","35.70","900.91K","0.42%"
"08/06/2023","36.05","35.05","36.10","35.00","1.30M","3.59%"
"08/03/2023","34.80","36.15","36.15","34.65","4.51M","-3.73%"
