"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","38.70","38.50","38.80","37.40","1.17M","0.91%"
"12/28/2023","38.35","38.25","38.75","38.00","428.99K","0.52%"
"12/27/2023","38.15","38.85","39.20","38.00","1.03M","-0.91%"
"12/26/2023","38.50","37.50","38.90","37.10","1.45M","3.49%"
"12/25/2023","37.20","36.90","38.20","36.25","1.89M","1.64%"
"12/24/2023","36.60","36.65","37.20","36.10","463.74K","0.55%"
"12/21/2023","36.40","36.00","37.30","35.00","1.55M","1.11%"
"12/20/2023","36.00","34.10","36.80","33.90","1.93M","6.35%"
"12/19/2023","33.85","34.80","35.20","33.80","658.96K","-2.73%"
"12/18/2023","34.80","33.75","36.00","33.40","2.55M","5.78%"
"12/17/2023","32.90","30.00","32.90","30.00","892.00K","9.85%"
"12/14/2023","29.95","28.35","29.95","28.30","230.96K","5.83%"
"12/13/2023","28.30","28.85","29.05","28.20","59.83K","-1.91%"
"12/12/2023","28.85","28.80","29.00","28.65","32.62K","0.17%"
"12/11/2023","28.80","29.20","29.25","28.75","78.56K","-1.37%"
"12/10/2023","29.20","29.80","29.80","29.20","91.34K","-0.51%"
"12/07/2023","29.35","29.10","29.40","28.85","61.18K","0.51%"
"12/06/2023","29.20","28.80","29.40","28.70","43.23K","0.69%"
"12/05/2023","29.00","29.40","29.40","28.65","70.42K","-0.51%"
"12/04/2023","29.15","29.70","29.75","29.00","118.10K","-1.52%"
"12/03/2023","29.60","28.30","30.00","28.30","206.70K","5.53%"
"11/30/2023","28.05","28.90","29.30","28.05","129.67K","-2.09%"
"11/29/2023","28.65","28.20","28.90","28.20","98.86K","2.14%"
"11/28/2023","28.05","28.35","28.50","27.60","80.60K","-0.71%"
"11/27/2023","28.25","28.50","28.60","28.00","64.00K","-1.22%"
"11/26/2023","28.60","28.50","29.10","28.50","55.67K","0.35%"
"11/23/2023","28.50","28.40","28.80","28.15","64.95K","0.35%"
"11/22/2023","28.40","28.55","28.80","28.10","32.13K","-0.53%"
"11/21/2023","28.55","28.75","28.95","28.25","73.57K","-0.87%"
"11/20/2023","28.80","29.00","29.00","28.25","86.71K","0.35%"
"11/19/2023","28.70","27.60","29.75","27.60","402.32K","4.36%"
"11/16/2023","27.50","26.80","27.50","26.65","167.17K","3.00%"
"11/15/2023","26.70","25.95","26.75","25.95","173.35K","3.29%"
"11/14/2023","25.85","25.90","26.20","25.85","37.16K","-0.19%"
"11/13/2023","25.90","26.05","26.25","25.70","89.55K","-0.58%"
"11/12/2023","26.05","25.80","26.20","25.70","55.52K","0.77%"
"11/09/2023","25.85","26.00","26.15","25.40","73.01K","-0.77%"
"11/08/2023","26.05","26.65","26.65","25.80","134.47K","-0.95%"
"11/07/2023","26.30","26.25","26.40","26.00","37.93K","0.00%"
"11/06/2023","26.30","26.60","26.70","26.25","53.24K","-1.13%"
"11/05/2023","26.60","27.15","27.15","26.45","56.91K","0.00%"
