"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","18.98","18.96","18.98","18.92","329.15K","0.11%"
"12/28/2023","18.96","18.98","18.98","18.82","894.07K","-0.11%"
"12/27/2023","18.98","18.90","19.06","18.82","1.02M","0.74%"
"12/26/2023","18.84","18.84","18.92","18.80","650.49K","0.00%"
"12/25/2023","18.84","18.84","18.86","18.72","551.15K","0.00%"
"12/24/2023","18.84","18.80","18.90","18.70","405.49K","0.21%"
"12/21/2023","18.80","18.86","18.86","18.56","1.07M","-0.21%"
"12/20/2023","18.84","18.98","19.02","18.76","1.05M","-0.63%"
"12/19/2023","18.96","18.34","19.06","18.28","3.15M","3.38%"
"12/18/2023","18.34","18.34","18.46","18.28","1.03M","0.22%"
"12/17/2023","18.30","18.22","18.38","18.22","497.92K","0.44%"
"12/14/2023","18.22","18.14","18.42","18.04","2.64M","1.22%"
"12/13/2023","18.00","18.32","18.32","18.00","981.20K","-1.75%"
"12/12/2023","18.32","18.24","18.32","18.18","619.88K","0.44%"
"12/11/2023","18.24","18.30","18.32","18.20","620.99K","-0.44%"
"12/10/2023","18.32","18.28","18.32","18.22","293.77K","0.22%"
"12/07/2023","18.28","18.34","18.34","18.14","518.88K","0.33%"
"12/06/2023","18.22","18.52","18.66","18.22","900.03K","-1.73%"
"12/05/2023","18.54","18.34","18.54","18.18","809.35K","0.98%"
"12/04/2023","18.36","18.40","18.58","18.32","818.36K","-0.22%"
"12/03/2023","18.40","18.34","18.40","18.10","910.95K","1.88%"
"11/30/2023","18.06","17.94","18.08","17.86","1.64M","0.67%"
"11/29/2023","17.94","18.12","18.14","17.88","1.00M","-0.77%"
"11/28/2023","18.08","18.12","18.20","17.98","1.06M","-0.11%"
"11/27/2023","18.10","18.12","18.28","18.10","1.27M","-1.84%"
"11/26/2023","18.44","18.68","18.68","18.40","496.61K","-1.28%"
"11/23/2023","18.68","18.66","18.68","18.52","274.71K","0.11%"
"11/22/2023","18.66","18.50","18.66","18.34","498.37K","0.86%"
"11/21/2023","18.50","18.50","18.52","18.32","546.62K","0.22%"
"11/20/2023","18.46","18.60","18.62","18.40","2.30M","-0.75%"
"11/19/2023","18.60","18.68","18.74","18.52","447.30K","0.54%"
"11/16/2023","18.50","18.78","18.80","18.42","1.55M","-1.80%"
"11/15/2023","18.84","18.40","18.84","18.40","1.39M","2.84%"
"11/14/2023","18.32","18.52","18.54","18.30","1.23M","-1.08%"
"11/13/2023","18.52","18.70","18.80","18.30","1.72M","0.98%"
"11/12/2023","18.34","17.38","18.40","17.32","2.91M","6.01%"
"11/09/2023","17.30","17.10","17.38","17.10","1.27M","1.65%"
