"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","10.96","10.88","10.96","10.80","1.31M","0.92%"
"12/28/2023","10.86","10.84","10.88","10.78","1.73M","0.18%"
"12/27/2023","10.84","10.84","10.98","10.80","2.25M","0.00%"
"12/26/2023","10.84","10.78","10.88","10.78","2.14M","1.12%"
"12/25/2023","10.72","10.80","10.80","10.68","1.14M","-0.74%"
"12/24/2023","10.80","10.74","10.80","10.72","698.39K","0.56%"
"12/21/2023","10.74","10.66","10.78","10.60","1.02M","0.56%"
"12/20/2023","10.68","10.78","10.82","10.66","1.85M","-0.93%"
"12/19/2023","10.78","10.92","10.98","10.78","2.48M","-1.28%"
"12/18/2023","10.92","10.86","10.94","10.70","1.66M","0.55%"
"12/17/2023","10.86","10.68","10.90","10.66","1.05M","1.69%"
"12/14/2023","10.68","10.74","10.80","10.64","2.60M","0.00%"
"12/13/2023","10.68","10.86","10.88","10.58","2.20M","-1.84%"
"12/12/2023","10.88","10.96","11.00","10.84","1.48M","-0.73%"
"12/11/2023","10.96","11.04","11.10","10.92","2.22M","-1.08%"
"12/10/2023","11.08","11.06","11.16","11.02","534.37K","0.18%"
"12/07/2023","11.06","11.10","11.12","11.04","672.54K","-0.36%"
"12/06/2023","11.10","11.24","11.24","11.08","1.08M","-1.25%"
"12/05/2023","11.24","11.26","11.28","11.16","700.60K","-0.35%"
"12/04/2023","11.28","11.42","11.46","11.26","970.24K","-1.05%"
"12/03/2023","11.40","11.24","11.46","11.20","842.92K","0.71%"
"11/30/2023","11.32","11.18","11.32","11.12","1.96M","1.25%"
"11/29/2023","11.18","11.08","11.20","10.98","1.24M","1.08%"
"11/28/2023","11.06","11.14","11.14","10.92","1.37M","0.18%"
"11/27/2023","11.04","11.24","11.24","11.04","702.86K","-1.25%"
"11/26/2023","11.18","11.08","11.20","11.06","582.61K","0.90%"
"11/23/2023","11.08","11.10","11.16","11.02","697.82K","0.18%"
"11/22/2023","11.06","11.10","11.40","11.00","976.18K","-0.36%"
"11/21/2023","11.10","11.38","11.42","11.00","1.44M","-2.46%"
"11/20/2023","11.38","11.18","11.38","11.18","2.90M","1.25%"
"11/19/2023","11.24","11.06","11.28","11.00","1.33M","2.37%"
"11/16/2023","10.98","10.74","11.06","10.70","2.59M","2.23%"
"11/15/2023","10.74","10.64","10.74","10.52","1.57M","1.51%"
"11/14/2023","10.58","10.56","10.70","10.56","797.75K","0.38%"
"11/13/2023","10.54","10.68","10.74","10.54","1.29M","-1.31%"
"11/12/2023","10.68","10.66","10.80","10.66","467.77K","-0.37%"
"11/09/2023","10.72","10.70","10.74","10.56","1.30M","0.37%"
"11/08/2023","10.68","11.00","11.00","10.68","1.13M","-3.09%"
"11/07/2023","11.02","11.14","11.20","10.90","843.88K","-1.08%"
"11/06/2023","11.14","11.12","11.16","10.98","1.08M","-0.54%"
