"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","38.65","38.70","38.90","38.45","1.23M","-0.13%"
"12/28/2023","38.70","38.70","38.85","38.10","3.51M","-0.26%"
"12/27/2023","38.80","39.05","39.35","38.40","3.49M","-0.51%"
"12/26/2023","39.00","38.80","39.30","38.80","3.92M","0.52%"
"12/25/2023","38.80","38.35","39.15","38.25","3.97M","1.04%"
"12/24/2023","38.40","38.25","38.50","38.20","1.64M","0.79%"
"12/21/2023","38.10","38.50","38.70","38.05","3.44M","-2.18%"
"12/20/2023","38.95","38.85","39.15","38.40","5.86M","0.39%"
"12/19/2023","38.80","38.20","38.80","37.70","9.09M","1.44%"
"12/18/2023","38.25","36.80","38.25","36.45","8.22M","3.38%"
"12/17/2023","37.00","37.10","37.45","36.85","3.16M","0.54%"
"12/14/2023","36.80","36.15","37.05","36.10","10.95M","2.22%"
"12/13/2023","36.00","36.00","36.00","35.30","4.39M","0.28%"
"12/12/2023","35.90","35.55","36.20","35.40","5.14M","1.13%"
"12/11/2023","35.50","34.95","35.50","34.75","5.14M","1.57%"
"12/10/2023","34.95","34.75","35.15","34.70","2.88M","0.72%"
"12/07/2023","34.70","34.15","34.75","34.10","4.67M","1.02%"
"12/06/2023","34.35","34.30","34.40","34.05","2.46M","0.29%"
"12/05/2023","34.25","34.50","34.75","34.05","3.12M","-1.01%"
"12/04/2023","34.60","34.70","34.85","34.45","2.77M","-0.29%"
"12/03/2023","34.70","34.90","34.90","34.65","2.32M","-0.72%"
"11/30/2023","34.95","34.25","34.95","33.90","8.20M","2.04%"
"11/29/2023","34.25","34.40","34.50","34.00","3.39M","0.00%"
"11/28/2023","34.25","34.15","34.35","33.95","2.81M","0.29%"
"11/27/2023","34.15","34.05","34.35","33.85","5.90M","0.29%"
"11/26/2023","34.05","34.25","34.30","34.00","1.57M","-0.87%"
"11/23/2023","34.35","34.30","34.60","34.05","3.52M","0.59%"
"11/22/2023","34.15","34.75","34.80","34.05","4.12M","-2.15%"
"11/21/2023","34.90","34.80","35.00","34.60","3.73M","0.43%"
"11/20/2023","34.75","34.85","34.85","34.55","7.36M","-0.57%"
"11/19/2023","34.95","34.70","35.05","34.50","3.84M","1.45%"
"11/16/2023","34.45","34.30","34.65","34.25","10.64M","-0.29%"
"11/15/2023","34.55","35.00","35.05","33.90","13.51M","0.73%"
"11/14/2023","34.30","34.30","35.05","34.05","5.96M","0.00%"
"11/13/2023","34.30","34.80","34.95","34.15","4.82M","-1.44%"
"11/12/2023","34.80","35.05","35.30","34.60","2.31M","-0.71%"
"11/09/2023","35.05","35.40","35.65","35.05","3.07M","-1.13%"
"11/08/2023","35.45","36.15","36.15","35.45","3.78M","-1.39%"
"11/07/2023","35.95","36.00","36.35","35.45","4.37M","-0.69%"
"11/06/2023","36.20","35.90","36.25","35.90","11.81M","-0.14%"
"11/05/2023","36.25","36.10","36.40","35.65","2.69M","0.69%"
"11/02/2023","36.00","35.00","36.50","35.00","12.29M","2.86%"
"11/01/2023","35.00","33.75","35.25","33.35","12.53M","4.32%"
"10/31/2023","33.55","32.30","33.85","32.20","11.23M","4.68%"
"10/30/2023","32.05","32.40","32.85","32.05","3.13M","-1.38%"
"10/29/2023","32.50","31.85","32.55","31.40","3.15M","2.20%"
"10/26/2023","31.80","32.00","32.30","31.50","5.10M","-1.24%"
"10/25/2023","32.20","32.10","32.25","31.60","4.57M","0.63%"
"10/24/2023","32.00","31.05","32.00","30.90","5.62M","3.23%"
