"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","12.77","12.72","12.88","12.64","471.36K","0.38%"
"12/28/2023","12.72","12.78","12.80","12.56","678.08K","-0.50%"
"12/27/2023","12.78","12.85","12.91","12.64","761.93K","-0.50%"
"12/26/2023","12.85","13.04","13.15","12.83","1.17M","-1.47%"
"12/25/2023","13.04","12.85","13.04","12.78","500.55K","1.62%"
"12/24/2023","12.83","12.80","12.88","12.72","598.29K","1.26%"
"12/21/2023","12.67","12.42","12.69","12.42","848.18K","1.54%"
"12/20/2023","12.48","12.64","12.64","12.42","736.79K","-1.27%"
"12/19/2023","12.64","12.35","12.66","12.35","1.20M","1.94%"
"12/18/2023","12.40","12.34","12.48","12.29","1.30M","0.00%"
"12/17/2023","12.40","12.26","12.53","12.26","345.21K","1.44%"
"12/14/2023","12.22","12.02","12.43","12.02","3.92M","1.87%"
"12/13/2023","12.00","12.02","12.08","11.97","922.60K","-0.13%"
"12/12/2023","12.02","11.98","12.05","11.92","910.10K","0.13%"
"12/11/2023","12.00","11.92","12.00","11.89","591.88K","0.81%"
"12/10/2023","11.90","11.92","11.92","11.86","254.01K","0.40%"
"12/07/2023","11.86","11.76","11.86","11.65","649.77K","1.37%"
"12/06/2023","11.70","11.76","11.81","11.62","1.25M","-0.27%"
"12/05/2023","11.73","11.98","12.00","11.73","1.38M","-2.14%"
"12/04/2023","11.98","12.02","12.02","11.97","654.52K","0.00%"
"12/03/2023","11.98","11.87","12.02","11.87","259.81K","-0.13%"
"11/30/2023","12.00","11.78","12.00","11.74","3.02M","2.04%"
"11/29/2023","11.76","11.86","11.89","11.73","589.13K","-0.68%"
"11/28/2023","11.84","11.84","11.87","11.78","715.44K","0.14%"
"11/27/2023","11.82","11.84","11.84","11.73","514.37K","0.00%"
"11/26/2023","11.82","11.82","11.89","11.79","298.14K","-0.54%"
"11/23/2023","11.89","11.92","11.95","11.86","478.40K","-0.27%"
"11/22/2023","11.92","11.98","12.00","11.86","567.76K","-0.67%"
"11/21/2023","12.00","12.10","12.10","11.92","861.21K","-0.66%"
"11/20/2023","12.08","12.08","12.10","11.98","1.48M","0.13%"
"11/19/2023","12.06","12.10","12.19","12.06","280.81K","-0.26%"
"11/16/2023","12.10","12.13","12.18","12.00","778.62K","-0.13%"
"11/15/2023","12.11","11.98","12.11","11.98","1.02M","1.47%"
"11/14/2023","11.94","11.92","12.06","11.90","591.73K","0.40%"
"11/13/2023","11.89","11.87","11.92","11.82","1.15M","0.00%"
"11/12/2023","11.89","11.86","11.95","11.84","252.39K","0.41%"
"11/09/2023","11.84","12.03","12.03","11.82","582.68K","-1.07%"
"11/08/2023","11.97","12.06","12.16","11.97","627.32K","-1.06%"
"11/07/2023","12.10","12.19","12.19","12.06","808.82K","-0.79%"
"11/06/2023","12.19","11.89","12.19","11.89","1.32M","2.28%"
"11/05/2023","11.92","11.90","11.97","11.84","625.76K","0.81%"
"11/02/2023","11.82","11.90","12.08","11.82","1.99M","-0.27%"
"11/01/2023","11.86","11.79","12.00","11.68","3.29M","0.82%"
"10/31/2023","11.76","11.60","11.87","11.57","999.69K","1.66%"
"10/30/2023","11.57","11.57","11.73","11.55","915.07K","0.14%"
"10/29/2023","11.55","11.55","11.57","11.38","468.05K","0.28%"
"10/26/2023","11.52","11.49","11.55","11.39","1.37M","-0.28%"
"10/25/2023","11.55","11.57","11.62","11.50","1.65M","0.28%"
"10/24/2023","11.52","11.49","11.60","11.47","1.89M","0.00%"
"10/23/2023","11.52","11.57","11.60","11.49","1.11M","0.00%"
"10/22/2023","11.52","11.66","11.66","11.52","351.07K","-0.83%"
"10/19/2023","11.62","11.65","11.71","11.62","584.32K","0.00%"
"10/18/2023","11.62","11.73","11.86","11.62","6.29M","-0.95%"
"10/17/2023","11.73","11.57","11.92","11.57","1.51M","0.96%"
"10/16/2023","11.62","11.55","11.62","11.46","1.15M","1.11%"
"10/15/2023","11.49","11.68","11.68","11.41","369.50K","-1.64%"
"10/12/2023","11.68","11.84","11.86","11.63","1.37M","-1.08%"
"10/11/2023","11.81","11.86","11.92","11.71","1.57M","-0.54%"
"10/10/2023","11.87","11.94","11.97","11.76","460.82K","-0.27%"
"10/09/2023","11.90","11.97","11.97","11.86","654.72K","0.00%"
"10/08/2023","11.90","12.08","12.08","11.84","424.46K","-0.67%"
"10/05/2023","11.98","12.05","12.18","11.94","621.14K","-0.93%"
"10/04/2023","12.10","12.37","12.37","12.08","479.42K","-2.45%"
"10/03/2023","12.40","12.50","12.50","12.18","576.76K","-0.51%"
"10/02/2023","12.46","12.62","12.69","12.46","1.23M","-1.27%"
"10/01/2023","12.62","12.66","12.66","12.59","207.46K","-0.13%"
"09/28/2023","12.64","12.74","12.75","12.54","372.14K","-0.50%"
"09/27/2023","12.70","12.58","12.70","12.56","412.71K","1.02%"
"09/26/2023","12.58","12.67","12.70","12.58","365.16K","-0.51%"
"09/25/2023","12.64","12.67","12.74","12.54","359.39K","0.13%"
"09/21/2023","12.62","12.67","12.72","12.58","560.35K","-1.38%"
"09/20/2023","12.80","12.77","12.80","12.59","495.20K","-0.12%"
"09/19/2023","12.82","12.86","12.93","12.72","498.69K","-0.37%"
"09/18/2023","12.86","12.78","12.90","12.72","341.07K","0.88%"
"09/17/2023","12.75","12.75","12.82","12.74","112.32K","0.25%"
"09/14/2023","12.72","12.94","12.94","12.72","1.16M","-1.61%"
"09/13/2023","12.93","12.85","12.94","12.85","269.00K","0.75%"
"09/12/2023","12.83","13.02","13.07","12.83","694.66K","-1.60%"
"09/11/2023","13.04","12.94","13.26","12.94","383.67K","0.49%"
