"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","2.080","2.080","2.100","2.050","7.19M","0.00%"
"12/28/2023","2.080","2.030","2.100","2.030","5.21M","2.46%"
"12/27/2023","2.030","2.040","2.040","2.020","1.52M","-0.49%"
"12/26/2023","2.040","2.040","2.040","2.030","1.07M","0.00%"
"12/25/2023","2.040","2.030","2.050","2.030","730.26K","0.49%"
"12/22/2023","2.030","2.030","2.040","2.020","11.18M","-0.49%"
"12/21/2023","2.040","2.030","2.050","2.020","1.80M","0.00%"
"12/20/2023","2.040","2.020","2.040","2.010","1.78M","0.49%"
"12/19/2023","2.030","2.050","2.050","2.020","1.12M","-0.98%"
"12/18/2023","2.050","2.030","2.050","2.020","1.95M","0.99%"
"12/15/2023","2.030","2.040","2.050","2.020","5.93M","-1.46%"
"12/14/2023","2.060","2.060","2.060","2.030","10.33M","0.49%"
"12/13/2023","2.050","2.050","2.070","2.030","874.16K","-0.49%"
"12/12/2023","2.060","2.060","2.070","2.030","1.22M","0.00%"
"12/11/2023","2.060","2.050","2.080","2.050","11.15M","0.49%"
"12/08/2023","2.050","2.040","2.050","2.020","5.41M","0.00%"
"12/07/2023","2.050","2.010","2.050","2.010","699.10K","1.49%"
"12/06/2023","2.020","2.030","2.050","2.010","13.76M","-0.98%"
"12/05/2023","2.040","2.030","2.070","2.030","1.70M","0.00%"
"12/01/2023","2.040","2.030","2.040","2.010","852.35K","0.00%"
"11/30/2023","2.040","2.020","2.040","2.000","4.42M","0.49%"
"11/29/2023","2.030","2.030","2.040","2.010","2.48M","0.00%"
"11/28/2023","2.030","2.030","2.070","2.000","21.50M","-0.49%"
"11/27/2023","2.040","2.050","2.050","2.010","7.83M","-0.49%"
"11/24/2023","2.050","2.050","2.050","2.020","4.65M","0.00%"
"11/23/2023","2.050","2.070","2.070","2.030","5.59M","-0.97%"
"11/22/2023","2.070","2.070","2.080","2.050","2.82M","0.00%"
"11/21/2023","2.070","2.090","2.090","2.060","2.70M","-1.43%"
"11/20/2023","2.100","2.090","2.100","2.090","1.26M","-0.47%"
"11/17/2023","2.110","2.120","2.120","2.080","3.03M","-0.47%"
"11/16/2023","2.120","2.090","2.150","2.090","24.20M","1.44%"
"11/15/2023","2.090","2.080","2.100","2.080","8.92M","0.00%"
"11/14/2023","2.090","2.090","2.100","2.080","3.58M","0.00%"
"11/13/2023","2.090","2.100","2.120","2.080","4.28M","0.00%"
"11/10/2023","2.090","2.060","2.100","2.050","14.12M","0.97%"
"11/08/2023","2.070","2.070","2.090","2.050","2.58M","-0.48%"
"11/07/2023","2.080","2.100","2.100","2.080","2.68M","-0.95%"
"11/06/2023","2.100","2.120","2.160","2.090","9.47M","-1.41%"
"11/03/2023","2.130","2.130","2.130","2.090","18.21M","0.47%"
"11/02/2023","2.120","2.070","2.170","2.060","14.59M","2.91%"
"11/01/2023","2.060","2.060","2.070","2.020","6.76M","0.49%"
"10/31/2023","2.050","2.040","2.060","2.030","2.55M","0.49%"
"10/30/2023","2.040","2.080","2.090","2.040","29.76M","-2.39%"
"10/27/2023","2.090","2.090","2.120","2.070","7.16M","-0.48%"
"10/26/2023","2.100","2.120","2.120","2.070","6.54M","-0.94%"
"10/25/2023","2.120","2.110","2.140","2.100","9.37M","0.47%"
"10/24/2023","2.110","2.120","2.120","2.100","14.26M","0.00%"
"10/23/2023","2.110","2.120","2.140","2.100","5.56M","0.00%"
"10/20/2023","2.110","2.120","2.140","2.110","16.21M","-0.47%"
"10/19/2023","2.120","2.130","2.140","2.070","17.35M","0.00%"
"10/18/2023","2.120","2.160","2.160","2.120","5.23M","-1.85%"
"10/17/2023","2.160","2.130","2.170","2.120","4.63M","1.41%"
"10/13/2023","2.130","2.140","2.150","2.110","15.05M","0.00%"
"10/12/2023","2.130","2.150","2.170","2.130","6.88M","-1.84%"
"10/11/2023","2.170","2.190","2.190","2.160","2.79M","-1.36%"
"10/10/2023","2.200","2.180","2.200","2.150","8.48M","1.38%"
"10/09/2023","2.170","2.210","2.210","2.130","11.85M","-2.25%"
"10/06/2023","2.220","2.230","2.230","2.210","9.76M","-0.45%"
"10/05/2023","2.230","2.240","2.240","2.220","3.12M","0.00%"
"10/04/2023","2.230","2.210","2.240","2.200","7.89M","0.90%"
"10/03/2023","2.210","2.230","2.240","2.180","43.59M","-1.34%"
"10/02/2023","2.240","2.270","2.270","2.230","17.69M","-0.88%"
"09/28/2023","2.260","2.250","2.260","2.230","11.33M","0.00%"
"09/27/2023","2.260","2.250","2.260","2.230","9.22M","0.00%"
"09/26/2023","2.260","2.260","2.270","2.240","13.99M","0.00%"
"09/25/2023","2.260","2.280","2.280","2.250","3.01M","-0.44%"
"09/22/2023","2.270","2.280","2.280","2.250","9.03M","-0.44%"
"09/21/2023","2.280","2.240","2.280","2.240","12.43M","2.24%"
"09/20/2023","2.230","2.240","2.250","2.230","11.51M","-0.45%"
"09/19/2023","2.240","2.270","2.270","2.240","12.67M","-1.75%"
"09/18/2023","2.280","2.280","2.290","2.250","12.17M","-0.44%"
"09/15/2023","2.290","2.280","2.300","2.270","11.76M","0.00%"
"09/14/2023","2.290","2.320","2.360","2.290","11.47M","-1.72%"
"09/13/2023","2.330","2.290","2.330","2.260","10.62M","0.87%"
"09/12/2023","2.310","2.330","2.330","2.220","28.74M","-0.86%"
"09/11/2023","2.330","2.370","2.370","2.330","12.79M","-1.27%"
"09/08/2023","2.360","2.380","2.400","2.360","8.55M","-1.26%"
