"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","9.18","8.97","9.18","8.94","9.97M","2.23%"
"12/28/2023","8.98","8.90","8.98","8.85","5.00M","0.45%"
"12/27/2023","8.94","8.82","8.96","8.82","7.34M","0.68%"
"12/26/2023","8.88","8.77","8.88","8.74","3.61M","0.91%"
"12/25/2023","8.80","8.73","8.80","8.68","1.78M","0.80%"
"12/22/2023","8.73","8.61","8.74","8.61","3.28M","1.16%"
"12/21/2023","8.63","8.62","8.63","8.43","2.05M","0.58%"
"12/20/2023","8.58","8.50","8.62","8.46","2.42M","0.94%"
"12/19/2023","8.50","8.46","8.50","8.44","1.83M","0.35%"
"12/18/2023","8.47","8.48","8.49","8.43","2.52M","-0.35%"
"12/15/2023","8.50","8.34","8.50","8.30","6.54M","1.92%"
"12/14/2023","8.34","8.24","8.34","8.24","12.79M","1.34%"
"12/13/2023","8.23","8.28","8.33","8.23","1.97M","-0.84%"
"12/12/2023","8.30","8.25","8.30","8.20","2.55M","0.85%"
"12/11/2023","8.23","8.27","8.31","8.16","3.68M","-0.60%"
"12/08/2023","8.28","8.35","8.35","8.24","1.51M","-0.84%"
"12/07/2023","8.35","8.33","8.35","8.27","3.23M","-0.24%"
"12/06/2023","8.37","8.42","8.42","8.37","1.61M","-0.95%"
"12/05/2023","8.45","8.45","8.46","8.41","3.78M","-0.47%"
"12/01/2023","8.49","8.38","8.50","8.36","1.58M","1.07%"
"11/30/2023","8.40","8.43","8.50","8.37","20.09M","-0.83%"
"11/29/2023","8.47","8.45","8.47","8.28","2.91M","0.24%"
"11/28/2023","8.45","8.24","8.50","8.21","7.44M","1.81%"
"11/27/2023","8.30","8.30","8.30","8.19","3.50M","-0.24%"
"11/24/2023","8.32","8.34","8.35","8.26","773.43K","-0.12%"
"11/23/2023","8.33","8.30","8.33","8.20","3.73M","0.00%"
"11/22/2023","8.33","8.36","8.47","8.24","3.50M","-0.24%"
"11/21/2023","8.35","8.58","8.58","8.31","6.22M","-2.91%"
"11/20/2023","8.60","8.55","8.60","8.45","2.77M","1.18%"
"11/17/2023","8.50","8.46","8.58","8.46","3.54M","0.59%"
"11/16/2023","8.45","8.37","8.59","8.36","4.53M","0.72%"
"11/15/2023","8.39","8.27","8.39","8.23","2.89M","1.57%"
"11/14/2023","8.26","8.35","8.35","8.26","2.47M","-0.12%"
"11/13/2023","8.27","8.30","8.36","8.27","2.30M","-0.36%"
"11/10/2023","8.30","8.26","8.37","8.24","2.17M","-0.24%"
"11/09/2023","8.32","8.29","8.34","8.24","2.69M","0.60%"
"11/08/2023","8.27","8.37","8.37","8.22","2.09M","-0.60%"
"11/07/2023","8.32","8.36","8.40","8.24","2.67M","-0.48%"
"11/06/2023","8.36","8.37","8.37","8.26","2.23M","0.48%"
"11/03/2023","8.32","8.30","8.35","8.19","1.65M","0.48%"
"11/02/2023","8.28","8.28","8.36","8.23","2.03M","0.98%"
"11/01/2023","8.20","8.03","8.27","7.95","2.68M","2.12%"
"10/31/2023","8.03","8.10","8.10","7.91","4.42M","1.26%"
"10/30/2023","7.93","7.73","8.09","7.73","6.72M","1.54%"
"10/27/2023","7.81","7.85","7.87","7.76","2.31M","0.00%"
"10/26/2023","7.81","7.92","7.95","7.78","6.13M","-0.13%"
"10/24/2023","7.82","8.00","8.00","7.82","6.43M","-1.39%"
"10/23/2023","7.93","8.10","8.15","7.86","4.29M","-1.00%"
"10/20/2023","8.01","8.20","8.20","7.90","5.34M","-2.32%"
"10/19/2023","8.20","8.36","8.36","8.05","4.87M","-0.24%"
"10/18/2023","8.22","8.33","8.33","8.17","2.85M","-0.72%"
"10/17/2023","8.28","8.27","8.47","8.27","2.18M","-0.36%"
"10/16/2023","8.31","8.50","8.50","8.27","1.75M","-1.07%"
"10/13/2023","8.40","8.62","8.62","8.31","4.30M","-2.33%"
"10/12/2023","8.60","8.63","8.65","8.57","2.12M","-0.35%"
"10/11/2023","8.63","8.61","8.65","8.59","7.23M","0.12%"
"10/10/2023","8.62","8.58","8.75","8.52","2.25M","0.35%"
"10/09/2023","8.59","8.80","8.80","8.50","5.00M","-1.94%"
"10/06/2023","8.76","8.75","8.85","8.67","2.95M","0.11%"
"10/05/2023","8.75","8.70","8.75","8.66","2.70M","0.00%"
"10/04/2023","8.75","8.78","8.80","8.67","2.40M","-1.02%"
"10/03/2023","8.84","8.70","8.89","8.67","4.32M","1.14%"
"10/02/2023","8.74","8.67","8.87","8.57","5.65M","1.04%"
"09/28/2023","8.65","8.66","8.70","8.61","6.84M","-0.12%"
"09/27/2023","8.66","8.65","8.69","8.59","810.51K","-0.57%"
"09/26/2023","8.71","8.65","8.71","8.59","2.83M","0.23%"
"09/25/2023","8.69","8.70","8.70","8.58","7.02M","0.35%"
"09/22/2023","8.66","8.70","8.71","8.65","1.74M","-0.46%"
"09/21/2023","8.70","8.68","8.73","8.63","7.72M","0.23%"
"09/20/2023","8.68","8.80","8.80","8.68","2.11M","-1.36%"
"09/19/2023","8.80","8.89","8.89","8.73","2.19M","-1.46%"
"09/18/2023","8.93","8.91","8.95","8.89","3.52M","-0.11%"
"09/15/2023","8.94","8.79","8.94","8.79","6.28M","1.59%"
"09/14/2023","8.80","8.90","8.90","8.77","2.32M","-1.23%"
"09/13/2023","8.91","8.74","8.91","8.74","6.18M","1.25%"
"09/12/2023","8.80","8.63","8.80","8.62","2.41M","1.73%"
"09/11/2023","8.65","8.62","8.65","8.56","1.14M","-0.57%"
"09/08/2023","8.70","8.62","8.70","8.62","847.89K","0.46%"
"09/07/2023","8.66","8.60","8.66","8.58","2.81M","1.05%"
"09/06/2023","8.57","8.54","8.57","8.49","1.54M","0.12%"
"09/05/2023","8.56","8.57","8.57","8.46","2.48M","0.00%"
"09/04/2023","8.56","8.60","8.66","8.51","2.12M","0.00%"
"09/01/2023","8.56","8.62","8.68","8.56","1.28M","-0.81%"
"08/31/2023","8.63","8.59","8.78","8.51","6.39M","0.00%"
"08/30/2023","8.63","8.60","8.65","8.59","1.61M","0.94%"
"08/29/2023","8.55","8.64","8.64","8.55","2.44M","-1.16%"
"08/28/2023","8.65","8.64","8.67","8.60","705.91K","0.58%"
"08/25/2023","8.60","8.64","8.65","8.55","699.11K","-0.69%"
"08/24/2023","8.66","8.60","8.66","8.60","1.05M","0.70%"
"08/23/2023","8.60","8.55","8.67","8.55","3.17M","0.82%"
"08/22/2023","8.53","8.66","8.68","8.53","3.14M","-1.27%"
"08/21/2023","8.64","8.74","8.78","8.64","3.39M","-1.26%"
"08/18/2023","8.75","8.76","8.79","8.66","2.92M","0.00%"
"08/17/2023","8.75","8.74","8.78","8.72","4.11M","0.00%"
"08/16/2023","8.75","8.80","8.83","8.75","2.04M","-1.13%"
"08/15/2023","8.85","8.77","8.87","8.76","1.67M","0.57%"
"08/14/2023","8.80","8.76","8.84","8.75","5.08M","0.46%"
"08/11/2023","8.76","8.80","8.85","8.76","1.36M","-0.90%"
"08/10/2023","8.84","8.83","8.91","8.80","3.26M","-0.56%"
"08/09/2023","8.89","8.75","8.92","8.75","4.24M","1.14%"
"08/08/2023","8.79","8.62","8.79","8.60","1.96M","2.57%"
"08/07/2023","8.57","8.51","8.74","8.50","3.23M","0.47%"
"08/04/2023","8.53","8.57","8.57","8.51","498.76K","-0.70%"
"08/03/2023","8.59","8.72","8.74","8.59","1.32M","-1.26%"
"08/02/2023","8.70","8.64","8.75","8.64","1.93M","0.69%"
"08/01/2023","8.64","8.78","8.80","8.62","1.81M","-1.59%"
"07/31/2023","8.78","8.71","8.79","8.67","5.29M","0.80%"
"07/28/2023","8.71","8.65","8.72","8.62","1.52M","0.69%"
"07/27/2023","8.65","8.76","8.77","8.65","1.16M","-1.14%"
"07/26/2023","8.75","8.75","8.76","8.68","1.76M","0.34%"
"07/25/2023","8.72","8.75","8.87","8.69","5.29M","-0.34%"
"07/24/2023","8.75","8.40","8.77","8.39","8.17M","5.42%"
"07/19/2023","8.30","8.31","8.31","8.24","1.08M","-0.12%"
"07/18/2023","8.31","8.28","8.33","8.26","3.14M","0.36%"
"07/17/2023","8.28","8.26","8.29","8.22","1.94M","0.36%"
"07/14/2023","8.25","8.24","8.27","8.22","2.24M","0.00%"
"07/13/2023","8.25","8.20","8.29","8.18","3.74M","0.61%"
"07/12/2023","8.20","8.19","8.21","8.16","4.49M","0.00%"
"07/11/2023","8.20","8.20","8.20","8.15","2.20M","-0.12%"
"07/10/2023","8.21","8.12","8.26","8.11","3.82M","1.23%"
"07/07/2023","8.11","8.20","8.20","8.11","2.98M","-1.10%"
"07/06/2023","8.20","8.27","8.29","8.20","2.14M","-0.97%"
"07/05/2023","8.28","8.20","8.28","8.20","1.92M","0.98%"
"07/04/2023","8.20","8.20","8.27","8.18","4.63M","0.12%"
"07/03/2023","8.19","8.12","8.19","8.08","5.95M","0.99%"
"06/26/2023","8.11","8.15","8.20","8.10","4.63M","-0.37%"
"06/23/2023","8.14","8.14","8.15","8.10","683.81K","0.25%"
"06/22/2023","8.12","8.20","8.20","8.11","1.78M","-0.61%"
"06/21/2023","8.17","8.16","8.23","8.13","3.17M","0.25%"
