"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","10.120","10.120","10.140","10.100","633.48K","0.20%"
"12/28/2023","10.100","10.020","10.100","10.020","1.00M","0.80%"
"12/27/2023","10.020","10.120","10.180","10.020","1.23M","-0.60%"
"12/26/2023","10.080","10.120","10.120","10.040","1.08M","-0.20%"
"12/25/2023","10.100","10.180","10.200","10.080","541.25K","-0.98%"
"12/22/2023","10.200","10.140","10.200","10.060","376.69K","0.59%"
"12/21/2023","10.140","10.160","10.160","10.040","444.91K","-0.20%"
"12/20/2023","10.160","10.020","10.160","9.950","867.24K","1.20%"
"12/19/2023","10.040","9.920","10.040","9.890","1.89M","1.11%"
"12/18/2023","9.930","10.080","10.080","9.930","3.12M","-0.70%"
"12/15/2023","10.000","10.060","10.100","9.980","3.46M","-0.40%"
"12/14/2023","10.040","10.000","10.080","10.000","2.90M","0.70%"
"12/13/2023","9.970","10.120","10.140","9.970","1.67M","-1.87%"
"12/12/2023","10.160","10.000","10.160","9.960","1.14M","1.70%"
"12/11/2023","9.990","10.120","10.120","9.900","1.96M","-0.30%"
"12/08/2023","10.020","10.240","10.240","10.020","622.39K","-2.34%"
"12/07/2023","10.260","10.200","10.280","10.180","990.50K","0.00%"
"12/06/2023","10.260","10.280","10.300","10.180","882.99K","-0.39%"
"12/05/2023","10.300","10.200","10.300","10.180","731.07K","0.19%"
"12/01/2023","10.280","10.200","10.320","10.160","920.63K","0.78%"
"11/30/2023","10.200","10.240","10.320","10.200","8.56M","-0.58%"
"11/29/2023","10.260","10.260","10.300","10.220","1.84M","0.00%"
"11/28/2023","10.260","10.340","10.360","10.260","3.54M","-0.77%"
"11/27/2023","10.340","10.440","10.520","10.340","1.54M","-0.96%"
"11/24/2023","10.440","10.420","10.440","10.360","867.48K","0.38%"
"11/23/2023","10.400","10.380","10.500","10.280","1.12M","-0.38%"
"11/22/2023","10.440","10.560","10.560","10.340","1.76M","-1.14%"
"11/21/2023","10.560","10.600","10.600","10.480","2.09M","0.00%"
"11/20/2023","10.560","10.540","10.580","10.520","1.38M","0.19%"
"11/17/2023","10.540","10.440","10.540","10.440","916.42K","0.57%"
"11/16/2023","10.480","10.320","10.500","10.280","4.99M","1.55%"
"11/15/2023","10.320","10.540","10.540","10.300","1.91M","-1.53%"
"11/14/2023","10.480","10.480","10.540","10.460","1.80M","0.19%"
"11/13/2023","10.460","10.560","10.660","10.460","2.26M","-1.69%"
"11/10/2023","10.640","10.600","10.640","10.540","326.30K","0.38%"
