"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","4.100","4.020","4.100","4.020","205.70K","1.49%"
"12/28/2023","4.040","4.060","4.060","3.970","23.01K","-0.98%"
"12/27/2023","4.080","4.000","4.080","3.900","189.53K","0.74%"
"12/26/2023","4.050","3.970","4.060","3.910","65.09K","1.50%"
"12/25/2023","3.990","3.930","3.990","3.930","0.52K","-1.24%"
"12/21/2023","4.040","3.930","4.040","3.930","2.77K","0.00%"
"12/20/2023","4.040","4.030","4.060","4.020","87.81K","1.00%"
"12/18/2023","4.000","4.000","4.060","3.930","143.40K","-0.25%"
"12/15/2023","4.010","3.830","4.060","3.830","425.91K","1.01%"
"12/14/2023","3.970","3.970","3.980","3.830","54.41K","0.25%"
"12/13/2023","3.960","3.920","3.980","3.900","135.10K","1.80%"
"12/12/2023","3.890","3.890","3.930","3.800","51.40K","-1.52%"
"12/11/2023","3.950","3.900","3.950","3.800","71.53K","-0.75%"
"12/08/2023","3.980","3.900","3.980","3.880","10.19K","0.00%"
"12/07/2023","3.980","3.900","3.990","3.850","39.54K","0.76%"
"12/06/2023","3.950","3.840","3.950","3.800","41.67K","2.60%"
"12/05/2023","3.850","3.620","3.870","3.610","73.35K","1.05%"
"12/01/2023","3.810","3.830","3.870","3.800","105.26K","-1.30%"
"11/30/2023","3.860","3.840","3.920","3.800","16.55K","-1.53%"
"11/29/2023","3.920","3.860","3.920","3.850","3.63K","-0.51%"
"11/28/2023","3.940","3.940","3.940","3.910","2.94K","0.00%"
"11/27/2023","3.940","3.910","3.940","3.910","100.45K","0.00%"
"11/24/2023","3.940","3.940","3.940","3.940","0.40K","1.03%"
"11/23/2023","3.900","3.880","3.940","3.730","13.04K","-1.02%"
"11/22/2023","3.940","3.930","3.940","3.880","0.81K","1.03%"
"11/21/2023","3.900","3.900","3.960","3.900","8.23K","-1.52%"
"11/20/2023","3.960","3.990","3.990","3.900","11.41K","-0.50%"
"11/17/2023","3.980","3.970","3.990","3.970","52.55K","0.25%"
"11/16/2023","3.970","3.930","3.970","3.890","30.93K","0.00%"
"11/15/2023","3.970","3.970","3.970","3.970","0.42K","0.76%"
"11/14/2023","3.940","3.940","3.980","3.940","0.64K","-1.25%"
"11/13/2023","3.990","3.970","3.990","3.910","143.95K","0.25%"
"11/10/2023","3.980","3.920","3.980","3.860","112.67K","1.27%"
"11/09/2023","3.930","3.970","3.970","3.830","22.88K","-0.51%"
"11/08/2023","3.950","3.950","3.950","3.950","0.25K","-1.00%"
"11/07/2023","3.990","3.990","3.990","3.840","92.21K","0.50%"
"11/03/2023","3.970","3.990","3.990","3.970","30.35K","0.00%"
"11/02/2023","3.970","3.970","3.970","3.970","3.70K","-0.50%"
"11/01/2023","3.990","3.990","3.990","3.990","0.23K","0.25%"
"10/31/2023","3.980","3.880","3.980","3.830","13.60K","0.00%"
"10/30/2023","3.980","3.830","3.990","3.830","9.02K","-0.25%"
"10/27/2023","3.990","3.830","3.990","3.820","0.76K","-0.25%"
"10/26/2023","4.000","3.850","4.000","3.850","0.50K","-0.99%"
"10/25/2023","4.040","3.900","4.040","3.790","94.39K","2.80%"
"10/24/2023","3.930","3.890","3.930","3.890","7.08K","1.55%"
"10/23/2023","3.870","3.770","3.910","3.750","40.96K","-1.53%"
"10/19/2023","3.930","3.780","3.950","3.780","69.11K","0.77%"
"10/18/2023","3.900","3.920","3.970","3.770","48.33K","-2.50%"
"10/17/2023","4.000","3.970","4.000","3.970","6.08K","0.50%"
"10/16/2023","3.980","3.870","3.980","3.860","1.20K","-0.50%"
"10/13/2023","4.000","3.880","4.000","3.830","707.43K","0.50%"
"10/12/2023","3.980","4.050","4.050","3.880","18.18K","0.25%"
"10/11/2023","3.970","4.000","4.010","3.880","110.91K","-1.24%"
"10/10/2023","4.020","4.040","4.080","3.900","102.42K","0.50%"
"10/09/2023","4.000","4.120","4.130","4.000","3.38K","-2.20%"
"10/06/2023","4.090","4.040","4.090","3.910","9.09K","-0.49%"
"10/05/2023","4.110","4.050","4.120","4.040","99.42K","-0.48%"
"10/04/2023","4.130","4.140","4.140","4.100","85.62K","0.49%"
"10/03/2023","4.110","4.120","4.120","4.030","2.40K","-0.24%"
"10/02/2023","4.120","4.140","4.140","4.100","34.30K","0.00%"
"09/28/2023","4.120","4.140","4.160","4.010","106.29K","0.24%"
"09/27/2023","4.110","4.060","4.140","4.040","139.99K","-0.96%"
"09/26/2023","4.150","4.070","4.170","4.000","99.57K","-0.72%"
"09/25/2023","4.180","4.200","4.200","4.180","3.11K","2.20%"
"09/22/2023","4.090","4.090","4.200","3.900","256.70K","-1.68%"
"09/21/2023","4.160","4.090","4.170","4.060","29.05K","-0.48%"
"09/20/2023","4.180","4.120","4.180","4.070","273.41K","0.24%"
"09/19/2023","4.170","4.090","4.190","4.090","4.84K","0.00%"
"09/18/2023","4.170","4.220","4.220","4.050","164.17K","-1.18%"
"09/15/2023","4.220","4.190","4.220","4.100","34.93K","0.48%"
"09/14/2023","4.200","4.100","4.200","4.100","57.84K","1.69%"
"09/13/2023","4.130","4.120","4.160","4.080","32.89K","0.24%"
"09/12/2023","4.120","4.120","4.130","4.050","197.68K","0.24%"
"09/11/2023","4.110","4.150","4.150","4.030","138.31K","-1.20%"
"09/08/2023","4.160","4.180","4.190","4.100","128.71K","1.22%"
"09/07/2023","4.110","4.200","4.220","4.040","173.08K","-0.96%"
"09/06/2023","4.150","4.220","4.220","4.060","27.97K","0.00%"
"09/05/2023","4.150","4.120","4.250","4.040","93.51K","0.00%"
"09/04/2023","4.150","4.250","4.250","4.110","143.99K","0.00%"
