"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","5.350","5.300","5.390","5.300","7.91M","1.13%"
"12/28/2023","5.290","5.220","5.320","5.220","10.17M","1.34%"
"12/27/2023","5.220","5.200","5.220","5.180","4.04M","0.19%"
"12/26/2023","5.210","5.200","5.230","5.190","3.59M","0.19%"
"12/25/2023","5.200","5.240","5.240","5.170","4.23M","-0.38%"
"12/22/2023","5.220","5.220","5.250","5.150","4.64M","0.00%"
"12/21/2023","5.220","5.350","5.350","5.220","9.82M","-2.25%"
"12/20/2023","5.340","5.320","5.380","5.320","6.33M","0.00%"
"12/19/2023","5.340","5.370","5.370","5.280","5.87M","-0.37%"
"12/18/2023","5.360","5.350","5.370","5.310","2.07M","0.56%"
"12/15/2023","5.330","5.370","5.390","5.330","10.09M","-0.56%"
"12/14/2023","5.360","5.310","5.410","5.270","6.44M","1.13%"
"12/13/2023","5.300","5.320","5.350","5.260","3.28M","0.00%"
"12/12/2023","5.300","5.280","5.320","5.230","7.03M","0.38%"
"12/11/2023","5.280","5.350","5.350","5.210","6.79M","-1.49%"
"12/08/2023","5.360","5.450","5.450","5.350","4.28M","-1.29%"
"12/07/2023","5.430","5.440","5.480","5.410","5.80M","-0.37%"
"12/06/2023","5.450","5.600","5.600","5.430","5.13M","-2.68%"
"12/05/2023","5.600","5.670","5.690","5.580","4.72M","-1.23%"
"12/01/2023","5.670","5.710","5.710","5.650","4.56M","-0.87%"
"11/30/2023","5.720","5.690","5.720","5.620","33.82M","1.06%"
"11/29/2023","5.660","5.670","5.720","5.650","10.09M","0.00%"
"11/28/2023","5.660","5.680","5.760","5.660","9.45M","-0.53%"
"11/27/2023","5.690","5.690","5.720","5.670","7.50M","-0.52%"
"11/24/2023","5.720","5.700","5.720","5.670","2.20M","0.35%"
"11/23/2023","5.700","5.670","5.700","5.640","2.66M","0.35%"
"11/22/2023","5.680","5.680","5.760","5.660","10.80M","0.18%"
"11/21/2023","5.670","5.650","5.700","5.640","6.50M","0.00%"
"11/20/2023","5.670","5.680","5.680","5.620","7.87M","-0.35%"
"11/17/2023","5.690","5.690","5.690","5.660","2.42M","0.00%"
"11/16/2023","5.690","5.700","5.700","5.630","6.70M","-0.18%"
"11/15/2023","5.700","5.690","5.730","5.630","7.01M","1.24%"
"11/14/2023","5.630","5.700","5.710","5.630","5.32M","-0.18%"
"11/13/2023","5.640","5.710","5.780","5.640","3.17M","-1.23%"
"11/10/2023","5.710","5.650","5.750","5.640","8.01M","1.24%"
"11/09/2023","5.640","5.630","5.650","5.610","3.17M","-0.18%"
"11/08/2023","5.650","5.650","5.690","5.570","5.75M","0.00%"
"11/07/2023","5.650","5.610","5.700","5.610","8.62M","0.18%"
"11/06/2023","5.640","5.600","5.700","5.600","6.72M","1.26%"
"11/03/2023","5.570","5.650","5.680","5.560","4.18M","-1.24%"
"11/02/2023","5.640","5.440","5.700","5.440","13.83M","3.68%"
"11/01/2023","5.440","5.270","5.440","5.130","15.16M","4.62%"
"10/31/2023","5.200","5.020","5.240","5.010","12.44M","4.84%"
"10/30/2023","4.960","4.900","5.100","4.900","13.58M","1.22%"
"10/27/2023","4.900","4.920","5.000","4.830","12.36M","-0.41%"
"10/26/2023","4.920","5.030","5.030","4.860","9.53M","-1.80%"
"10/25/2023","5.010","4.820","5.020","4.810","17.53M","4.81%"
"10/24/2023","4.780","4.810","4.870","4.760","7.23M","-0.42%"
"10/23/2023","4.800","4.860","4.930","4.770","9.41M","-0.83%"
"10/20/2023","4.840","5.070","5.070","4.800","13.23M","-4.16%"
"10/19/2023","5.050","5.300","5.300","5.050","10.56M","-2.88%"
"10/18/2023","5.200","5.450","5.450","5.200","7.74M","-4.06%"
"10/17/2023","5.420","5.440","5.530","5.410","8.33M","0.93%"
"10/16/2023","5.370","5.340","5.530","5.320","10.45M","-0.56%"
"10/13/2023","5.400","5.640","5.670","5.400","13.40M","-5.10%"
"10/12/2023","5.690","5.830","5.840","5.630","11.49M","-2.23%"
"10/11/2023","5.820","5.740","5.840","5.710","8.57M","2.46%"
"10/10/2023","5.680","5.610","5.740","5.610","12.97M","0.71%"
"10/09/2023","5.640","5.700","5.730","5.550","20.07M","-2.93%"
"10/06/2023","5.810","5.790","5.820","5.760","3.80M","0.69%"
"10/05/2023","5.770","5.930","5.930","5.760","10.87M","-1.70%"
"10/04/2023","5.870","5.950","5.990","5.870","10.28M","-2.00%"
"10/03/2023","5.990","5.840","6.000","5.830","23.30M","2.39%"
"10/02/2023","5.850","5.790","5.880","5.780","11.25M","1.56%"
"09/28/2023","5.760","5.790","5.870","5.760","15.20M","0.17%"
"09/27/2023","5.750","5.890","5.890","5.750","8.99M","-2.54%"
"09/26/2023","5.900","5.970","5.970","5.850","9.01M","-0.84%"
"09/25/2023","5.950","5.860","6.010","5.810","15.22M","2.41%"
"09/22/2023","5.810","5.880","5.980","5.730","13.27M","-1.02%"
"09/21/2023","5.870","5.440","5.930","5.440","56.90M","7.90%"
"09/20/2023","5.440","5.380","5.480","5.380","8.40M","0.55%"
"09/19/2023","5.410","5.440","5.440","5.380","2.72M","-0.73%"
"09/18/2023","5.450","5.470","5.550","5.440","5.58M","-0.18%"
"09/15/2023","5.460","5.380","5.470","5.380","12.16M","0.74%"
"09/14/2023","5.420","5.340","5.420","5.330","3.68M","1.12%"
"09/13/2023","5.360","5.350","5.390","5.340","3.64M","-0.56%"
"09/12/2023","5.390","5.380","5.440","5.370","8.17M","-0.19%"
