"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.805","0.800","0.805","0.790","581.44K","0.12%"
"12/28/2023","0.804","0.810","0.810","0.790","244.02K","1.13%"
"12/27/2023","0.795","0.786","0.805","0.786","2.04M","0.63%"
"12/26/2023","0.790","0.800","0.800","0.786","410.77K","-1.13%"
"12/25/2023","0.799","0.782","0.800","0.779","595.53K","0.25%"
"12/22/2023","0.797","0.785","0.797","0.782","513.51K","0.50%"
"12/21/2023","0.793","0.778","0.794","0.778","422.65K","1.80%"
"12/20/2023","0.779","0.799","0.800","0.775","1.14M","-2.63%"
"12/19/2023","0.800","0.798","0.800","0.775","1.80M","0.25%"
"12/18/2023","0.798","0.782","0.809","0.780","1.14M","0.38%"
"12/15/2023","0.795","0.789","0.801","0.788","1.35M","1.02%"
"12/14/2023","0.787","0.780","0.794","0.780","1.32M","0.90%"
"12/13/2023","0.780","0.785","0.787","0.770","808.18K","0.13%"
"12/12/2023","0.779","0.768","0.779","0.768","588.06K","0.13%"
"12/11/2023","0.778","0.756","0.778","0.756","770.00K","0.65%"
"12/08/2023","0.773","0.772","0.774","0.747","570.50K","0.39%"
"12/07/2023","0.770","0.780","0.783","0.756","654.09K","-0.77%"
"12/06/2023","0.776","0.759","0.778","0.759","170.72K","0.00%"
"12/05/2023","0.776","0.780","0.780","0.755","301.16K","-0.39%"
"12/01/2023","0.779","0.760","0.780","0.750","1.10M","0.13%"
"11/30/2023","0.778","0.780","0.789","0.760","1.06M","-1.52%"
"11/29/2023","0.790","0.787","0.795","0.778","1.45M","0.25%"
"11/28/2023","0.788","0.783","0.796","0.783","14.85K","-0.25%"
"11/27/2023","0.790","0.781","0.803","0.781","360.43K","0.89%"
"11/24/2023","0.783","0.783","0.792","0.783","435.68K","0.00%"
"11/23/2023","0.783","0.779","0.790","0.778","231.58K","-0.89%"
"11/22/2023","0.790","0.780","0.796","0.780","585.79K","1.28%"
"11/21/2023","0.780","0.808","0.808","0.780","1.30M","-3.70%"
"11/20/2023","0.810","0.773","0.827","0.770","4.29M","5.06%"
"11/17/2023","0.771","0.768","0.789","0.765","817.09K","-0.64%"
"11/16/2023","0.776","0.774","0.782","0.746","392.39K","-1.65%"
"11/15/2023","0.789","0.785","0.793","0.761","830.17K","-0.13%"
"11/14/2023","0.790","0.786","0.790","0.785","172.72K","0.00%"
"11/13/2023","0.790","0.784","0.808","0.781","650.19K","0.89%"
"11/10/2023","0.783","0.783","0.809","0.783","1.12M","-0.89%"
"11/09/2023","0.790","0.812","0.812","0.788","778.86K","-1.25%"
"11/08/2023","0.800","0.812","0.825","0.792","1.42M","-1.23%"
"11/07/2023","0.810","0.810","0.830","0.805","3.98M","1.63%"
"11/06/2023","0.797","0.803","0.814","0.788","509.92K","1.14%"
"11/03/2023","0.788","0.805","0.810","0.788","818.42K","-1.38%"
"11/02/2023","0.799","0.788","0.810","0.788","1.24M","-0.12%"
"11/01/2023","0.800","0.797","0.819","0.790","2.20M","0.63%"
"10/31/2023","0.795","0.804","0.804","0.780","466.24K","-0.13%"
"10/30/2023","0.796","0.780","0.797","0.757","1.02M","4.46%"
"10/27/2023","0.762","0.758","0.773","0.757","612.74K","0.26%"
"10/26/2023","0.760","0.799","0.800","0.760","708.42K","-3.80%"
"10/25/2023","0.790","0.735","0.815","0.735","7.96M","8.82%"
"10/24/2023","0.726","0.722","0.741","0.707","3.20M","2.11%"
"10/23/2023","0.711","0.699","0.743","0.699","4.24M","1.86%"
"10/20/2023","0.698","0.697","0.700","0.670","2.84M","0.87%"
"10/19/2023","0.692","0.692","0.692","0.669","1.16M","0.00%"
"10/18/2023","0.692","0.705","0.705","0.684","881.97K","-3.35%"
"10/17/2023","0.716","0.688","0.716","0.687","1.83M","3.32%"
"10/16/2023","0.693","0.646","0.709","0.646","3.61M","1.02%"
"10/13/2023","0.686","0.730","0.747","0.661","10.39M","-6.54%"
"10/12/2023","0.734","0.792","0.794","0.734","2.79M","-6.02%"
"10/11/2023","0.781","0.779","0.790","0.773","803.41K","0.77%"
"10/10/2023","0.775","0.801","0.801","0.767","2.90M","-2.52%"
"10/09/2023","0.795","0.802","0.830","0.785","1.21M","-3.05%"
"10/06/2023","0.820","0.820","0.837","0.811","652.88K","-0.49%"
"10/05/2023","0.824","0.825","0.843","0.810","2.44M","-0.72%"
"10/04/2023","0.830","0.835","0.843","0.820","2.12M","-0.36%"
"10/03/2023","0.833","0.850","0.865","0.830","2.44M","-3.70%"
"10/02/2023","0.865","0.850","0.881","0.840","3.38M","2.98%"
"09/28/2023","0.840","0.850","0.853","0.839","1.08M","-0.94%"
"09/27/2023","0.848","0.840","0.858","0.840","917.19K","-1.85%"
"09/26/2023","0.864","0.855","0.864","0.835","942.95K","-0.12%"
"09/25/2023","0.865","0.867","0.868","0.856","189.97K","-0.12%"
"09/22/2023","0.866","0.853","0.866","0.852","2.09M","0.23%"
"09/21/2023","0.864","0.850","0.877","0.848","4.88M","2.86%"
"09/20/2023","0.840","0.835","0.855","0.835","806.94K","-0.59%"
"09/19/2023","0.845","0.844","0.858","0.830","1.13M","0.12%"
"09/18/2023","0.844","0.849","0.850","0.831","554.92K","0.00%"
"09/15/2023","0.844","0.820","0.844","0.820","1.94M","1.08%"
"09/14/2023","0.835","0.820","0.835","0.820","672.10K","1.83%"
"09/13/2023","0.820","0.835","0.840","0.820","975.42K","-0.97%"
"09/12/2023","0.828","0.822","0.850","0.817","1.25M","-1.43%"
"09/11/2023","0.840","0.848","0.848","0.811","2.35M","0.00%"
"09/08/2023","0.840","0.840","0.846","0.831","705.49K","0.48%"
"09/07/2023","0.836","0.830","0.840","0.830","314.44K","-0.48%"
"09/06/2023","0.840","0.846","0.846","0.821","1.05M","-0.94%"
"09/05/2023","0.848","0.860","0.860","0.843","514.25K","-1.40%"
"09/04/2023","0.860","0.880","0.884","0.858","2.73M","-2.38%"
"09/01/2023","0.881","0.885","0.885","0.866","1.04M","1.03%"
"08/31/2023","0.872","0.872","0.887","0.870","336.75K","-0.91%"
"08/30/2023","0.880","0.873","0.880","0.871","1.07M","0.46%"
"08/29/2023","0.876","0.899","0.899","0.870","1.47M","-0.90%"
"08/28/2023","0.884","0.900","0.900","0.884","1.99M","0.00%"
"08/25/2023","0.884","0.899","0.904","0.881","1.10M","-1.23%"
"08/24/2023","0.895","0.908","0.910","0.883","1.40M","-1.43%"
"08/23/2023","0.908","0.910","0.920","0.890","4.80M","-0.87%"
"08/22/2023","0.916","0.888","0.918","0.872","9.82M","3.27%"
"08/21/2023","0.887","0.885","0.888","0.863","1.10M","1.95%"
"08/18/2023","0.870","0.870","0.874","0.860","1.15M","0.00%"
"08/17/2023","0.870","0.873","0.880","0.860","899.47K","-1.69%"
"08/16/2023","0.885","0.880","0.890","0.850","5.58M","-0.34%"
"08/15/2023","0.888","0.898","0.898","0.879","4.58M","0.00%"
"08/14/2023","0.888","0.886","0.904","0.885","2.33M","-1.11%"
"08/11/2023","0.898","0.900","0.903","0.880","2.17M","1.47%"
"08/10/2023","0.885","0.886","0.919","0.881","7.59M","-0.78%"
"08/09/2023","0.892","0.903","0.905","0.884","3.20M","-1.33%"
"08/08/2023","0.904","0.905","0.914","0.891","4.34M","-0.11%"
"08/07/2023","0.905","0.900","0.915","0.898","2.54M","1.12%"
"08/04/2023","0.895","0.888","0.917","0.876","4.54M","0.45%"
"08/03/2023","0.891","0.890","0.900","0.877","2.79M","-1.00%"
"08/02/2023","0.900","0.891","0.909","0.885","11.44M","-1.10%"
"08/01/2023","0.910","0.910","0.923","0.904","4.23M","-1.09%"
"07/31/2023","0.920","0.920","0.928","0.908","4.29M","0.66%"
"07/28/2023","0.914","0.924","0.924","0.907","3.82M","-0.11%"
"07/27/2023","0.915","0.905","0.942","0.905","21.94M","1.67%"
"07/26/2023","0.900","0.898","0.913","0.864","6.87M","-0.77%"
"07/25/2023","0.907","0.902","0.913","0.895","3.02M","-0.11%"
"07/24/2023","0.908","0.891","0.919","0.891","6.08M","0.00%"
"07/20/2023","0.908","0.891","0.914","0.885","8.44M","1.34%"
"07/19/2023","0.896","0.906","0.927","0.896","14.07M","-1.65%"
"07/18/2023","0.911","0.969","0.986","0.904","35.50M","-5.20%"
"07/17/2023","0.961","0.830","0.961","0.825","51.51M","14.95%"
"07/14/2023","0.836","0.850","0.854","0.830","1.99M","-1.99%"
"07/13/2023","0.853","0.867","0.867","0.850","3.88M","-1.73%"
"07/12/2023","0.868","0.865","0.892","0.845","37.39M","1.52%"
"07/11/2023","0.855","0.805","0.860","0.799","22.91M","6.21%"
"07/10/2023","0.805","0.805","0.814","0.796","3.03M","0.00%"
"07/07/2023","0.805","0.811","0.820","0.805","2.62M","-1.35%"
"07/06/2023","0.816","0.815","0.817","0.802","4.62M","0.00%"
"07/05/2023","0.816","0.831","0.839","0.800","8.96M","-3.32%"
"07/04/2023","0.844","0.838","0.874","0.836","20.69M","0.12%"
"07/03/2023","0.843","0.824","0.847","0.816","16.05M","3.44%"
"06/26/2023","0.815","0.837","0.837","0.811","11.87M","-1.21%"
"06/23/2023","0.825","0.805","0.848","0.799","41.17M","3.25%"
"06/22/2023","0.799","0.773","0.807","0.773","15.19M","3.77%"
"06/21/2023","0.770","0.769","0.779","0.757","2.69M","0.00%"
"06/20/2023","0.770","0.789","0.792","0.770","5.02M","-1.91%"
"06/19/2023","0.785","0.769","0.802","0.755","15.61M","3.56%"
"06/16/2023","0.758","0.759","0.773","0.752","2.25M","-0.13%"
"06/15/2023","0.759","0.759","0.762","0.741","3.16M","0.93%"
"06/14/2023","0.752","0.759","0.760","0.748","2.19M","-0.92%"
"06/13/2023","0.759","0.775","0.776","0.740","5.98M","-2.06%"
