"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1.970","2.030","2.030","1.970","919.45K","-1.01%"
"12/28/2023","1.990","1.980","2.040","1.980","1.65M","0.51%"
"12/27/2023","1.980","1.970","1.990","1.960","561.73K","1.54%"
"12/26/2023","1.950","1.980","2.020","1.950","935.47K","0.00%"
"12/25/2023","1.950","1.980","2.000","1.950","721.54K","0.00%"
"12/22/2023","1.950","1.980","2.020","1.950","785.53K","-1.52%"
"12/21/2023","1.980","2.040","2.050","1.970","646.58K","-1.98%"
"12/20/2023","2.020","1.970","2.070","1.970","4.37M","3.06%"
"12/19/2023","1.960","1.960","1.970","1.940","79.40K","0.00%"
"12/18/2023","1.960","1.990","1.990","1.950","364.26K","-1.01%"
"12/15/2023","1.980","1.980","1.980","1.940","702.00K","1.54%"
"12/14/2023","1.950","1.950","1.990","1.940","845.35K","0.00%"
"12/13/2023","1.950","1.940","1.970","1.900","237.70K","1.04%"
"12/12/2023","1.930","1.960","1.960","1.920","341.84K","-0.52%"
"12/11/2023","1.940","1.940","2.020","1.920","1.22M","-0.51%"
"12/08/2023","1.950","1.980","1.980","1.920","107.13K","-2.01%"
"12/07/2023","1.990","1.990","2.010","1.950","1.12M","-0.50%"
"12/06/2023","2.000","1.980","2.010","1.930","2.26M","2.04%"
"12/05/2023","1.960","2.000","2.020","1.950","1.36M","-2.00%"
"12/01/2023","2.000","2.020","2.040","1.960","286.10K","-0.99%"
"11/30/2023","2.020","2.030","2.030","2.010","877.35K","0.00%"
"11/29/2023","2.020","2.020","2.040","2.020","74.06K","-0.49%"
"11/28/2023","2.030","2.040","2.050","2.020","300.30K","0.50%"
"11/27/2023","2.020","2.030","2.050","2.010","217.59K","0.00%"
"11/24/2023","2.020","2.050","2.050","2.020","122.79K","-0.49%"
"11/23/2023","2.030","2.040","2.050","2.010","835.68K","0.00%"
"11/22/2023","2.030","2.050","2.060","2.030","276.49K","-0.49%"
"11/21/2023","2.040","2.050","2.060","2.040","172.84K","0.00%"
"11/20/2023","2.040","2.040","2.060","2.040","152.75K","-0.49%"
"11/17/2023","2.050","2.090","2.090","2.040","683.15K","-0.49%"
"11/16/2023","2.060","2.080","2.090","2.050","309.93K","-0.96%"
"11/15/2023","2.080","2.070","2.090","2.020","774.25K","0.97%"
"11/14/2023","2.060","2.110","2.120","2.050","643.75K","-1.44%"
"11/13/2023","2.090","2.090","2.110","2.050","2.55M","0.00%"
"11/10/2023","2.090","2.090","2.090","2.050","861.98K","0.97%"
"11/09/2023","2.070","2.050","2.090","2.050","1.43M","1.47%"
"11/08/2023","2.040","2.040","2.040","2.000","502.21K","0.00%"
"11/07/2023","2.040","2.070","2.080","2.000","2.03M","0.00%"
"11/06/2023","2.040","2.100","2.150","2.040","3.18M","-1.92%"
"11/03/2023","2.080","2.040","2.100","2.010","1.94M","0.48%"
"11/02/2023","2.070","1.890","2.120","1.850","5.27M","10.70%"
"11/01/2023","1.870","1.820","1.870","1.800","592.48K","3.31%"
"10/31/2023","1.810","1.770","1.840","1.770","933.55K","2.84%"
"10/30/2023","1.760","1.750","1.790","1.720","397.33K","0.57%"
"10/27/2023","1.750","1.790","1.800","1.700","652.13K","-2.23%"
"10/26/2023","1.790","1.830","1.840","1.760","266.47K","-0.56%"
"10/25/2023","1.800","1.770","1.860","1.770","756.27K","2.27%"
"10/24/2023","1.760","1.760","1.800","1.720","243.10K","0.00%"
"10/23/2023","1.760","1.750","1.820","1.730","649.21K","-0.56%"
"10/20/2023","1.770","1.820","1.820","1.700","612.18K","-0.56%"
"10/19/2023","1.780","1.820","1.860","1.770","1.15M","-2.73%"
"10/18/2023","1.830","1.880","1.880","1.830","295.64K","-3.17%"
"10/17/2023","1.890","1.850","1.920","1.850","901.95K","1.07%"
"10/16/2023","1.870","1.860","1.910","1.830","616.92K","1.08%"
"10/13/2023","1.850","1.950","1.950","1.820","2.78M","-5.13%"
"10/12/2023","1.950","2.020","2.050","1.950","649.84K","-2.99%"
"10/11/2023","2.010","2.020","2.040","1.980","553.68K","-1.47%"
"10/10/2023","2.040","2.020","2.080","2.010","972.89K","2.00%"
"10/09/2023","2.000","2.120","2.120","2.000","1.58M","-6.98%"
"10/06/2023","2.150","2.180","2.180","2.140","272.94K","-0.46%"
"10/05/2023","2.160","2.170","2.180","2.140","1.02M","0.00%"
"10/04/2023","2.160","2.180","2.190","2.160","276.81K","-0.92%"
"10/03/2023","2.180","2.180","2.190","2.170","480.23K","0.46%"
"10/02/2023","2.170","2.210","2.210","2.160","912.38K","0.00%"
"09/28/2023","2.170","2.170","2.210","2.160","1.04M","-0.46%"
"09/27/2023","2.180","2.200","2.210","2.170","924.22K","-0.91%"
"09/26/2023","2.200","2.220","2.250","2.200","2.14M","-0.90%"
"09/25/2023","2.220","2.200","2.230","2.200","1.64M","0.45%"
"09/22/2023","2.210","2.210","2.230","2.190","1.24M","0.91%"
"09/21/2023","2.190","2.190","2.250","2.180","3.61M","0.92%"
"09/20/2023","2.170","2.180","2.190","2.160","532.72K","-0.91%"
"09/19/2023","2.190","2.180","2.220","2.170","1.32M","0.92%"
"09/18/2023","2.170","2.150","2.200","2.150","820.54K","1.40%"
"09/15/2023","2.140","2.180","2.210","2.140","1.86M","-0.47%"
"09/14/2023","2.150","2.210","2.210","2.150","470.40K","-2.27%"
"09/13/2023","2.200","2.200","2.220","2.150","1.65M","0.00%"
"09/12/2023","2.200","2.200","2.210","2.180","793.48K","0.00%"
"09/11/2023","2.200","2.230","2.250","2.200","1.45M","-0.90%"
"09/08/2023","2.220","2.210","2.270","2.210","1.53M","0.45%"
"09/07/2023","2.210","2.230","2.240","2.210","2.40M","-1.78%"
"09/06/2023","2.250","2.250","2.290","2.230","495.22K","0.45%"
"09/05/2023","2.240","2.290","2.300","2.230","1.16M","-2.61%"
"09/04/2023","2.300","2.340","2.360","2.280","1.04M","-0.86%"
"09/01/2023","2.320","2.310","2.360","2.310","1.54M","0.43%"
"08/31/2023","2.310","2.300","2.330","2.280","834.35K","0.43%"
"08/30/2023","2.300","2.360","2.360","2.300","1.21M","-2.54%"
"08/29/2023","2.360","2.360","2.410","2.360","3.02M","0.00%"
"08/28/2023","2.360","2.300","2.380","2.290","3.54M","2.61%"
"08/25/2023","2.300","2.280","2.360","2.280","7.76M","0.44%"
"08/24/2023","2.290","2.310","2.310","2.260","882.78K","1.33%"
"08/23/2023","2.260","2.310","2.320","2.260","1.09M","-1.74%"
"08/22/2023","2.300","2.340","2.340","2.270","913.29K","-0.86%"
"08/21/2023","2.320","2.330","2.340","2.290","1.05M","0.00%"
"08/18/2023","2.320","2.350","2.360","2.300","3.39M","-1.69%"
"08/17/2023","2.360","2.380","2.380","2.330","2.50M","0.85%"
"08/16/2023","2.340","2.400","2.400","2.330","4.34M","-2.90%"
"08/15/2023","2.410","2.470","2.480","2.380","4.64M","-2.43%"
"08/14/2023","2.470","2.500","2.510","2.460","6.97M","-0.40%"
"08/11/2023","2.480","2.480","2.530","2.440","15.36M","0.81%"
"08/10/2023","2.460","2.430","2.480","2.390","11.39M","2.07%"
"08/09/2023","2.410","2.330","2.460","2.300","15.20M","4.33%"
"08/08/2023","2.310","2.300","2.350","2.270","6.63M","1.32%"
"08/07/2023","2.280","2.250","2.330","2.210","9.70M","2.24%"
"08/04/2023","2.230","2.210","2.260","2.200","2.34M","0.90%"
"08/03/2023","2.210","2.360","2.400","2.210","8.67M","-5.56%"
"08/02/2023","2.340","2.180","2.450","2.180","31.01M","7.83%"
"08/01/2023","2.170","2.110","2.200","2.080","5.70M","3.33%"
"07/31/2023","2.100","2.100","2.160","2.090","3.41M","0.48%"
"07/28/2023","2.090","2.010","2.130","2.010","5.63M","-5.43%"
"07/27/2023","2.210","2.210","2.210","2.160","1.99M","0.00%"
"07/26/2023","2.210","2.200","2.230","2.180","1.45M","0.00%"
"07/25/2023","2.210","2.250","2.250","2.180","2.80M","-2.21%"
"07/24/2023","2.260","2.260","2.300","2.250","3.05M","1.35%"
"07/20/2023","2.230","2.250","2.260","2.220","1.79M","-1.33%"
"07/19/2023","2.260","2.300","2.320","2.240","1.55M","-1.31%"
"07/18/2023","2.290","2.220","2.330","2.200","5.14M","3.15%"
"07/17/2023","2.220","2.240","2.260","2.190","2.16M","-1.77%"
"07/14/2023","2.260","2.250","2.390","2.250","8.57M","1.80%"
"07/13/2023","2.220","2.200","2.250","2.200","1.70M","0.91%"
"07/12/2023","2.200","2.170","2.280","2.130","4.85M","0.92%"
"07/11/2023","2.180","2.190","2.220","2.130","1.32M","-0.46%"
"07/10/2023","2.190","2.230","2.250","2.180","2.61M","-0.45%"
"07/07/2023","2.200","2.260","2.300","2.160","5.93M","-3.08%"
"07/06/2023","2.270","2.300","2.420","2.120","24.44M","7.08%"
"07/05/2023","2.120","1.880","2.120","1.880","21.41M","14.59%"
"07/04/2023","1.850","1.830","1.860","1.820","1.91M","1.65%"
"07/03/2023","1.820","1.840","1.850","1.800","1.46M","0.00%"
"06/26/2023","1.820","1.830","1.850","1.810","662.75K","-0.55%"
"06/23/2023","1.830","1.810","1.890","1.800","1.84M","0.55%"
"06/22/2023","1.820","1.820","1.820","1.800","880.66K","0.00%"
"06/21/2023","1.820","1.820","1.850","1.820","2.03M","0.00%"
"06/20/2023","1.820","1.860","1.860","1.820","1.59M","-1.09%"
"06/19/2023","1.840","1.830","1.860","1.830","8.35M","0.55%"
"06/16/2023","1.830","1.860","1.890","1.830","1.38M","-2.14%"
