"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","2.07","2.05","2.07","2.05","7.00K","13.74%"
"12/25/2023","1.82","1.82","1.82","1.82","3.00K","13.75%"
"12/20/2023","1.60","1.60","1.60","1.60","2.10K","0.00%"
"12/15/2023","1.60","1.60","1.60","1.60","10.00K","-5.88%"
"12/06/2023","1.70","1.70","1.70","1.70","9.00K","6.25%"
"12/05/2023","1.60","1.60","1.60","1.60","2.90K","0.00%"
"11/30/2023","1.60","1.55","1.60","1.55","38.25K","6.67%"
"11/29/2023","1.50","1.45","1.50","1.45","18.60K","3.45%"
"11/28/2023","1.45","1.43","1.45","1.43","39.00K","1.40%"
"11/27/2023","1.43","1.43","1.43","1.43","0.75K","0.00%"
"11/24/2023","1.43","1.43","1.43","1.43","10.06K","2.14%"
"11/23/2023","1.40","1.40","1.40","1.40","30.00K","3.70%"
"11/21/2023","1.35","1.40","1.43","1.35","107.60K","8.00%"
"11/20/2023","1.25","1.25","1.25","1.25","48.38K","13.64%"
"11/16/2023","1.10","0.98","1.10","0.98","166.35K","12.59%"
"11/08/2023","0.98","0.98","0.98","0.98","61.15K","14.94%"
"10/16/2023","0.85","0.85","0.85","0.85","138.85K","0.00%"
"09/15/2023","0.85","0.85","0.85","0.85","4.59K","0.00%"
"08/22/2023","0.85","0.85","0.85","0.85","68.91K","-1.16%"
"07/24/2023","0.86","0.86","0.86","0.86","26.25K","1.18%"
"07/07/2023","0.85","0.85","0.85","0.85","50.00K","-5.56%"
"07/06/2023","0.90","0.90","0.90","0.90","28.75K","0.00%"
"06/26/2023","0.90","0.90","0.90","0.90","4.38K","0.00%"
"06/22/2023","0.90","0.90","0.90","0.90","10.00K","0.00%"
"06/20/2023","0.90","0.92","0.92","0.90","25.88K","-4.26%"
"06/19/2023","0.94","0.94","0.94","0.94","11.66K","-1.05%"
"06/16/2023","0.95","0.95","0.95","0.95","14.88K","-1.04%"
"06/12/2023","0.96","0.97","0.97","0.96","17.00K","0.00%"
"05/30/2023","0.96","0.96","0.96","0.96","16.25K","-2.04%"
"05/16/2023","0.98","0.98","0.98","0.98","10.00K","0.00%"
"05/12/2023","0.98","0.98","0.98","0.98","8.00K","-1.90%"
"05/02/2023","1.00","1.00","1.00","1.00","41.23K","0.00%"
"04/28/2023","1.00","1.00","1.00","1.00","2.54K","2.25%"
"04/17/2023","0.98","0.98","0.98","0.98","21.47K","-2.20%"
"04/12/2023","1.00","0.90","1.00","0.90","22.97K","1.94%"
"04/06/2023","0.98","0.98","0.98","0.98","40.86K","-2.00%"
"03/09/2023","1.00","1.00","1.00","1.00","80.00K","0.00%"
"01/30/2023","1.00","1.00","1.00","1.00","0.25K","0.00%"
