"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","1.40","1.40","1.40","1.40","2.00M","0.00%"
"12/14/2023","1.40","1.40","1.40","1.40","2.00M","0.00%"
"12/12/2023","1.40","1.40","1.40","1.40","1.00M","-7.89%"
"11/24/2023","1.52","1.52","1.52","1.52","0.10K","0.00%"
"10/13/2023","1.52","1.52","1.52","1.52","8.33K","0.00%"
"10/12/2023","1.52","1.52","1.52","1.52","0.30K","0.00%"
"10/11/2023","1.52","1.52","1.52","1.52","1.37K","-1.94%"
"09/28/2023","1.55","1.55","1.55","1.55","84.96K","4.03%"
"09/19/2023","1.49","1.49","1.49","1.49","0.13K","0.00%"
"09/18/2023","1.49","1.49","1.49","1.49","20.00K","-0.67%"
"09/15/2023","1.50","1.40","1.50","1.38","2.00M","2.04%"
"08/31/2023","1.47","1.40","1.47","1.40","400.00K","-2.00%"
"08/21/2023","1.50","1.50","1.50","1.50","1.00K","0.00%"
"08/15/2023","1.50","1.28","1.50","1.28","33.76K","5.63%"
"08/01/2023","1.42","1.42","1.42","1.42","15.84K","0.00%"
"07/18/2023","1.42","1.42","1.42","1.42","0.71K","0.00%"
"07/17/2023","1.42","1.29","1.43","1.29","2.18M","13.60%"
"07/11/2023","1.25","1.25","1.25","1.25","0.09K","0.00%"
"07/10/2023","1.25","1.25","1.25","1.25","1.00K","-3.85%"
"06/26/2023","1.30","1.30","1.30","1.30","10.00K","0.00%"
"06/14/2023","1.30","1.30","1.30","1.30","526.09K","0.00%"
"06/13/2023","1.30","1.30","1.30","1.30","980.30K","4.00%"
"06/08/2023","1.25","1.25","1.25","1.25","1.00K","0.00%"
"06/07/2023","1.25","1.10","1.29","1.08","68.74K","4.17%"
"06/06/2023","1.20","1.20","1.20","1.20","8.86K","-7.69%"
"06/05/2023","1.30","1.30","1.30","1.30","3.20M","0.00%"
"06/02/2023","1.30","1.30","1.30","1.30","1.00M","0.00%"
"06/01/2023","1.30","1.30","1.30","1.30","0.07K","0.00%"
"05/31/2023","1.30","1.38","1.46","1.30","936.99K","-0.76%"
"05/29/2023","1.31","1.42","1.42","1.31","115.81K","-9.66%"
"05/19/2023","1.45","1.45","1.45","1.45","1.00K","-2.68%"
"05/15/2023","1.49","1.47","1.49","1.42","160.12K","1.36%"
"05/05/2023","1.47","1.42","1.47","1.40","74.60K","3.52%"
"05/04/2023","1.42","1.24","1.42","1.24","1.17M","14.52%"
"04/28/2023","1.24","1.23","1.24","1.23","10.90K","0.00%"
"04/27/2023","1.24","1.23","1.24","1.21","38.68K","0.00%"
"04/26/2023","1.24","1.24","1.24","1.22","106.85K","0.00%"
"04/25/2023","1.24","1.24","1.24","1.22","125.26K","0.00%"
"04/24/2023","1.24","1.24","1.24","1.24","400.00K","0.00%"
"04/19/2023","1.24","1.24","1.24","1.23","1.25M","0.00%"
"04/18/2023","1.24","1.24","1.24","1.21","1.28M","0.00%"
"04/17/2023","1.24","1.10","1.24","1.10","60.00K","10.71%"
"04/07/2023","1.12","1.12","1.12","1.12","0.07K","0.00%"
"04/06/2023","1.12","1.12","1.12","1.12","5.00K","-9.68%"
"03/22/2023","1.24","1.24","1.24","1.24","200.07K","0.00%"
"03/14/2023","1.24","1.16","1.24","1.15","236.73K","7.83%"
"03/13/2023","1.15","1.16","1.16","1.15","111.97K","-0.86%"
"03/09/2023","1.16","1.15","1.16","1.15","100.00K","-6.45%"
"03/08/2023","1.24","1.24","1.24","1.24","0.08K","9.73%"
"03/07/2023","1.13","1.14","1.14","1.13","105.26K","0.00%"
"03/06/2023","1.13","1.13","1.13","1.13","30.76K","0.00%"
"03/03/2023","1.13","1.12","1.14","1.12","475.99K","0.89%"
"03/02/2023","1.12","1.04","1.12","1.04","267.54K","7.69%"
"02/13/2023","1.04","1.10","1.10","1.04","1.11M","-7.96%"
"02/03/2023","1.13","1.12","1.13","1.12","200.00K","0.00%"
"02/02/2023","1.13","1.10","1.13","1.10","101.09K","2.73%"
"01/30/2023","1.10","1.12","1.12","1.10","34.00K","-2.65%"
"01/20/2023","1.13","1.13","1.13","1.13","20.00K","-0.88%"
"01/19/2023","1.14","1.14","1.14","1.14","20.33K","-4.20%"
"01/18/2023","1.19","1.19","1.19","1.19","1.26K","3.48%"
"01/10/2023","1.15","1.15","1.15","1.15","38.37K","0.00%"
"12/27/2022","1.15","1.15","1.15","1.15","14.64K","-0.86%"
"12/22/2022","1.16","1.16","1.16","1.16","31.99K","2.65%"
