"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","3.10","3.10","3.10","3.10","1.28K","-2.52%"
"12/27/2023","3.18","3.18","3.18","3.18","1.14K","0.00%"
"12/25/2023","3.18","3.18","3.18","3.18","1.30K","-0.31%"
"12/22/2023","3.19","3.09","3.19","3.09","0.71K","2.24%"
"12/19/2023","3.12","2.95","3.12","2.95","1.10K","-1.89%"
"12/18/2023","3.18","3.18","3.18","3.18","0.61K","-0.62%"
"12/15/2023","3.20","3.20","3.20","3.20","1.00K","0.00%"
"12/13/2023","3.20","3.07","3.20","3.05","5.00K","0.31%"
"12/12/2023","3.19","3.19","3.19","3.19","0.00K","-0.31%"
"12/11/2023","3.20","3.20","3.20","3.20","0.00K","0.00%"
"12/08/2023","3.20","2.93","3.20","2.93","0.20K","-0.62%"
"12/06/2023","3.22","3.19","3.22","3.19","1.00K","0.94%"
"12/01/2023","3.19","3.19","3.19","3.19","0.00K","-0.62%"
"11/30/2023","3.21","3.15","3.21","3.10","4.50K","-0.31%"
"11/28/2023","3.22","3.23","3.23","3.22","1.45K","-0.31%"
"11/27/2023","3.23","3.23","3.23","3.23","27.40K","0.94%"
"11/24/2023","3.20","3.10","3.23","3.10","46.22K","0.31%"
"11/23/2023","3.19","3.19","3.19","3.19","0.22K","0.00%"
"11/22/2023","3.19","3.18","3.19","3.05","0.18K","0.31%"
"11/21/2023","3.18","3.11","3.18","3.11","0.10K","-0.62%"
"11/20/2023","3.20","3.15","3.20","3.15","8.89K","1.91%"
"11/17/2023","3.14","3.14","3.14","3.03","0.85K","0.32%"
"11/16/2023","3.13","3.10","3.13","3.00","3.93K","0.97%"
"11/15/2023","3.10","3.00","3.10","3.00","0.37K","0.00%"
"11/14/2023","3.10","3.15","3.15","3.10","3.08M","-2.82%"
"11/13/2023","3.19","3.01","3.39","3.01","11.29K","6.33%"
"11/10/2023","3.00","2.96","3.00","2.95","0.80K","0.33%"
"11/09/2023","2.99","3.00","3.00","2.99","2.89K","1.36%"
"11/08/2023","2.95","2.96","2.96","2.90","12.39K","-1.34%"
"11/07/2023","2.99","2.99","2.99","2.99","9.65K","-0.33%"
"11/06/2023","3.00","2.99","3.00","2.90","1.75M","0.33%"
"11/03/2023","2.99","2.99","2.99","2.99","0.16K","-0.33%"
"10/31/2023","3.00","3.00","3.00","3.00","0.00K","0.00%"
"10/30/2023","3.00","3.01","3.01","3.00","0.20K","0.00%"
"10/27/2023","3.00","3.00","3.00","3.00","0.00K","6.38%"
"10/26/2023","2.82","3.03","3.03","2.82","5.01K","-5.37%"
"10/25/2023","2.98","3.00","3.00","2.90","5.20K","-0.67%"
"10/24/2023","3.00","2.80","3.00","2.80","4.86K","-1.64%"
"10/23/2023","3.05","3.05","3.05","3.05","0.00K","-0.33%"
"10/20/2023","3.06","3.06","3.06","3.06","0.01K","0.00%"
"10/19/2023","3.06","3.06","3.06","3.06","5.56K","0.00%"
"10/18/2023","3.06","3.10","3.10","2.90","8.01K","-0.65%"
"10/17/2023","3.08","3.15","3.15","2.60","38.86K","9.61%"
"10/16/2023","2.81","2.75","2.81","2.72","57.62K","14.69%"
"10/13/2023","2.45","2.62","2.62","2.45","24.13K","-9.93%"
"10/12/2023","2.72","3.02","3.10","2.72","87.51K","-9.93%"
"10/11/2023","3.02","3.33","3.38","3.02","24.51K","-9.85%"
"10/10/2023","3.35","2.92","3.35","2.92","10.47K","5.02%"
"10/09/2023","3.19","3.38","3.38","2.92","38.38K","-1.54%"
"10/06/2023","3.24","3.60","3.60","3.24","257.15K","-10.00%"
"10/05/2023","3.60","3.69","3.69","3.50","79.65K","-1.37%"
"10/04/2023","3.65","3.75","3.75","3.55","174.19K","2.53%"
"10/03/2023","3.56","3.60","3.70","3.50","165.29K","7.88%"
"10/02/2023","3.30","3.00","3.30","2.86","210.77K","14.98%"
"09/28/2023","2.87","3.04","3.04","2.70","17.21M","6.69%"
"09/27/2023","2.69","2.37","2.69","2.37","378.27K","14.96%"
"09/26/2023","2.34","2.25","2.34","2.07","101.55K","14.71%"
"09/25/2023","2.04","1.78","2.04","1.78","7.38M","14.61%"
"09/22/2023","1.78","1.78","1.78","1.78","0.00K","1.71%"
"09/20/2023","1.75","1.75","1.75","1.75","1.00K","0.00%"
"09/13/2023","1.75","1.71","1.75","1.70","15.60K","-1.13%"
"09/11/2023","1.77","1.70","1.77","1.70","0.20K","-0.56%"
"09/08/2023","1.78","1.78","1.78","1.78","0.10K","0.56%"
"09/06/2023","1.77","1.77","1.77","1.77","0.00K","1.14%"
"09/04/2023","1.75","1.71","1.75","1.71","2.53K","-0.57%"
"09/01/2023","1.76","1.75","1.76","1.70","9.00K","2.92%"
"08/31/2023","1.71","1.71","1.74","1.70","7.95K","-2.84%"
"08/30/2023","1.76","1.76","1.76","1.76","2.83K","-1.12%"
"08/29/2023","1.78","1.78","1.78","1.78","0.00K","1.14%"
"08/24/2023","1.76","1.76","1.76","1.76","0.00K","0.57%"
"08/23/2023","1.75","1.75","1.75","1.75","0.01K","-1.13%"
"08/22/2023","1.77","1.77","1.77","1.77","0.15K","0.00%"
"08/21/2023","1.77","1.71","1.77","1.71","12.00K","0.00%"
"08/18/2023","1.77","1.77","1.77","1.77","0.00K","0.57%"
"08/17/2023","1.76","1.76","1.76","1.76","0.05K","0.00%"
"08/16/2023","1.76","1.69","1.76","1.69","0.54K","0.00%"
"08/15/2023","1.76","1.68","1.76","1.68","1.37K","0.00%"
"08/11/2023","1.76","1.71","1.76","1.70","1.36K","0.00%"
"08/10/2023","1.76","1.71","1.76","1.70","2.04K","-0.56%"
"08/08/2023","1.77","1.77","1.77","1.77","0.00K","0.00%"
"08/07/2023","1.77","1.78","1.78","1.70","0.13K","-0.56%"
"08/04/2023","1.78","1.70","1.78","1.70","0.20K","-1.11%"
"08/01/2023","1.80","1.70","1.80","1.58","13.66K","3.45%"
"07/31/2023","1.74","1.74","1.74","1.74","0.00K","0.00%"
"07/28/2023","1.74","1.74","1.74","1.70","2.03K","2.35%"
"07/27/2023","1.70","1.65","1.77","1.65","14.06K","-4.49%"
"07/26/2023","1.78","1.78","1.78","1.78","0.01K","3.49%"
"07/25/2023","1.72","1.70","1.78","1.70","2.10K","2.38%"
"07/24/2023","1.68","1.79","1.79","1.68","1.71K","-1.18%"
"07/20/2023","1.70","1.65","1.70","1.65","0.12K","0.00%"
"07/18/2023","1.70","1.75","1.75","1.70","3.94K","0.00%"
"07/17/2023","1.70","1.69","1.70","1.69","2.11K","0.00%"
"07/13/2023","1.70","1.70","1.70","1.70","0.01K","1.19%"
"07/12/2023","1.68","1.67","1.70","1.67","1.18K","0.60%"
"07/11/2023","1.67","1.70","1.70","1.53","359.12K","-1.76%"
"07/10/2023","1.70","1.76","1.85","1.68","83.41K","-8.60%"
"07/07/2023","1.86","1.86","1.86","1.86","0.53K","0.00%"
"07/06/2023","1.86","2.00","2.10","1.75","20.02K","-4.12%"
"07/05/2023","1.94","2.19","2.19","1.94","75.36K","-9.77%"
"07/04/2023","2.15","2.10","2.15","2.06","1.85K","-5.70%"
