"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2023","19.100","19.100","19.100","19.100","0.70K","0.53%"
"12/13/2023","19.000","19.000","19.000","19.000","81.90K","0.00%"
"12/11/2023","19.000","19.000","19.000","19.000","1.00K","-2.56%"
"11/30/2023","19.500","19.500","19.500","19.500","52.52K","0.00%"
"11/29/2023","19.500","19.000","19.500","18.000","2.94M","8.33%"
"11/16/2023","18.000","18.000","18.000","18.000","0.00K","0.00%"
"11/08/2023","18.000","18.000","18.000","18.000","13.68K","2.86%"
"11/06/2023","17.500","17.500","17.500","17.500","40.00K","0.00%"
"11/01/2023","17.500","17.500","17.500","17.500","40.00K","0.00%"
"10/31/2023","17.500","17.500","17.500","17.500","10.00K","0.00%"
"10/27/2023","17.500","17.500","17.500","17.500","8.37K","0.00%"
"10/23/2023","17.500","17.500","17.500","17.500","1.63K","-8.85%"
"10/11/2023","19.200","19.250","19.250","19.000","183.61K","1.05%"
"10/06/2023","19.000","18.500","19.000","18.500","115.40K","2.70%"
"10/04/2023","18.500","19.000","19.500","18.500","158.71K","-5.13%"
"09/27/2023","19.500","19.000","19.500","19.000","3.40K","8.33%"
"09/22/2023","18.000","18.000","18.000","18.000","0.30K","-2.70%"
"09/20/2023","18.500","18.500","18.500","18.500","44.04K","0.00%"
"09/19/2023","18.500","18.500","18.500","18.500","26.99K","0.00%"
"09/18/2023","18.500","18.500","18.500","18.500","19.42K","0.00%"
"09/15/2023","18.500","18.500","18.500","18.500","3.00K","-5.61%"
"09/07/2023","19.600","18.500","19.600","18.500","3.92K","1.82%"
"08/29/2023","19.250","19.250","19.250","19.250","50.00K","4.05%"
"08/28/2023","18.500","18.500","18.500","18.500","5.50K","-6.09%"
"08/18/2023","19.700","19.700","19.700","19.700","1.00K","0.00%"
"08/17/2023","19.700","18.250","19.700","18.250","3.26K","14.87%"
"08/14/2023","17.150","18.200","18.200","17.150","1.48K","-9.26%"
"08/07/2023","18.900","17.050","18.900","17.050","0.14K","3.28%"
"08/04/2023","18.300","18.300","18.300","18.300","2.47K","-3.17%"
"08/03/2023","18.900","17.300","18.900","15.600","1.52K","9.25%"
"08/01/2023","17.300","17.300","17.300","17.300","3.00K","-5.46%"
"07/27/2023","18.300","18.300","18.300","18.300","50.00K","7.33%"
"07/26/2023","17.050","17.050","17.050","17.050","1.50K","-9.79%"
"07/25/2023","18.900","18.900","18.900","18.900","0.50K","0.00%"
"07/24/2023","18.900","18.900","18.900","18.900","1.00K","0.00%"
"07/20/2023","18.900","18.900","18.900","18.900","0.03K","11.18%"
"07/13/2023","17.000","17.000","17.000","17.000","2.00K","-5.56%"
"07/12/2023","18.000","18.000","18.000","18.000","0.16K","12.15%"
"07/03/2023","16.050","16.050","16.050","16.050","3.50K","-0.31%"
"06/21/2023","16.100","16.100","16.100","16.100","4.97K","-5.29%"
"06/15/2023","17.000","17.000","17.000","17.000","0.02K","5.59%"
"06/12/2023","16.100","17.250","17.250","16.100","32.60K","-8.26%"
"06/08/2023","17.550","18.500","18.500","17.550","2.83K","-10.00%"
"06/01/2023","19.500","17.250","19.500","17.250","8.29K","8.33%"
"05/29/2023","18.000","18.000","18.000","18.000","0.02K","4.35%"
"05/25/2023","17.250","17.250","17.250","17.250","2.70K","0.00%"
"05/22/2023","17.250","17.250","17.250","17.250","35.00K","-6.25%"
"05/08/2023","18.400","18.400","18.400","18.400","0.20K","-1.87%"
"05/02/2023","18.750","18.500","18.750","18.500","2.50K","4.17%"
"04/19/2023","18.000","18.000","18.000","18.000","0.20K","0.00%"
"04/11/2023","18.000","18.000","18.000","18.000","2.05K","2.56%"
"02/17/2023","17.550","17.550","17.550","17.550","0.06K","-10.00%"
