"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.990","1.090","1.090","0.990","140.30K","-10.00%"
"12/28/2023","1.100","1.120","1.120","1.070","20.80K","-2.65%"
"12/27/2023","1.130","1.130","1.130","1.120","143.76K","-0.88%"
"12/26/2023","1.140","1.150","1.150","1.130","20.02K","-0.87%"
"12/25/2023","1.150","1.150","1.160","1.150","10.98K","-2.54%"
"12/22/2023","1.180","1.260","1.260","1.150","41.52K","-4.84%"
"12/21/2023","1.240","1.200","1.240","1.200","20.00K","3.33%"
"12/20/2023","1.200","1.200","1.200","1.160","16.26K","0.84%"
"12/19/2023","1.190","1.200","1.200","1.190","12.11K","0.00%"
"12/18/2023","1.190","1.240","1.240","1.190","10.80K","0.00%"
"12/15/2023","1.190","1.260","1.320","1.190","784.36K","-9.85%"
"12/14/2023","1.320","1.280","1.320","1.280","10.00K","1.54%"
"12/13/2023","1.300","1.300","1.300","1.300","0.00K","4.00%"
"12/12/2023","1.250","1.250","1.250","1.250","0.05K","2.46%"
"12/11/2023","1.220","1.220","1.220","1.220","0.05K","-6.15%"
"12/08/2023","1.300","1.270","1.300","1.270","32.00K","2.36%"
"12/07/2023","1.270","1.280","1.340","1.220","195.90K","3.25%"
"12/06/2023","1.230","1.230","1.230","1.230","3.00K","-0.81%"
"12/05/2023","1.240","1.230","1.340","1.230","166.61K","0.00%"
"12/01/2023","1.240","1.320","1.320","1.240","3.35K","0.00%"
"11/30/2023","1.240","1.320","1.320","1.240","10.03K","-3.12%"
"11/29/2023","1.280","1.340","1.340","1.250","34.70K","-3.76%"
"11/28/2023","1.330","1.280","1.340","1.270","38.55K","-0.75%"
"11/27/2023","1.340","1.330","1.340","1.250","112.81K","0.00%"
"11/24/2023","1.340","1.280","1.340","1.210","216.70K","7.20%"
"11/23/2023","1.250","1.340","1.340","1.240","41.13K","-8.09%"
"11/22/2023","1.360","1.310","1.450","1.160","659.65K","6.25%"
"11/21/2023","1.280","1.240","1.280","1.240","5.46K","-1.54%"
"11/20/2023","1.300","1.300","1.300","1.300","0.00K","4.00%"
"11/17/2023","1.250","1.240","1.250","1.210","6.41K","-2.34%"
"11/16/2023","1.280","1.280","1.280","1.250","25.62K","2.40%"
"11/15/2023","1.250","1.140","1.350","1.140","224.89K","5.04%"
"11/14/2023","1.190","1.170","1.190","1.170","2.40K","-3.25%"
"11/10/2023","1.230","1.200","1.230","1.150","4.13K","6.03%"
"11/09/2023","1.160","1.180","1.180","1.160","2.42K","-1.69%"
"11/08/2023","1.180","1.160","1.180","1.150","23.75K","-2.48%"
"11/07/2023","1.210","1.190","1.240","1.150","8.85K","3.42%"
"11/06/2023","1.170","1.320","1.320","1.150","36.54K","0.86%"
"11/03/2023","1.160","1.160","1.160","1.110","23.32K","0.00%"
"11/02/2023","1.160","1.120","1.160","1.120","6.85K","-0.85%"
"11/01/2023","1.170","1.270","1.270","1.120","3.32K","-0.85%"
"10/31/2023","1.180","1.100","1.200","1.100","24.69K","0.00%"
"10/30/2023","1.180","1.190","1.190","1.180","0.11K","2.61%"
"10/27/2023","1.150","1.180","1.180","1.110","50.19K","-2.54%"
"10/26/2023","1.180","1.170","1.200","1.150","4.10K","-0.84%"
"10/25/2023","1.190","1.250","1.250","1.150","34.40K","1.71%"
"10/24/2023","1.170","1.170","1.170","1.120","11.22K","1.74%"
"10/23/2023","1.150","1.180","1.180","1.150","18.02K","0.00%"
"10/20/2023","1.150","1.150","1.170","1.120","98.70K","0.00%"
"10/19/2023","1.150","1.170","1.180","1.120","27.55K","0.88%"
"10/18/2023","1.140","1.100","1.180","1.070","247.62K","6.54%"
"10/17/2023","1.070","1.300","1.300","1.070","381.69K","-8.55%"
"10/16/2023","1.170","1.140","1.260","1.120","291.71K","-4.10%"
"10/13/2023","1.220","1.350","1.350","1.200","529.23K","-8.27%"
"10/12/2023","1.330","1.350","1.350","1.320","26.87K","-4.32%"
"10/11/2023","1.390","1.380","1.430","1.310","544.13K","2.96%"
"10/10/2023","1.350","1.350","1.380","1.320","40.94K","8.00%"
"10/09/2023","1.250","1.270","1.380","1.240","141.37K","-8.09%"
"10/06/2023","1.360","1.400","1.400","1.350","78.54K","-0.73%"
"10/05/2023","1.370","1.390","1.510","1.270","1.01M","-1.44%"
"10/04/2023","1.390","1.360","1.410","1.360","40.40K","0.72%"
"10/03/2023","1.380","1.390","1.400","1.380","207.97K","-1.43%"
"10/02/2023","1.400","1.390","1.400","1.390","160.00K","0.00%"
"09/28/2023","1.400","1.400","1.400","1.360","53.80K","0.00%"
