"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","3.23","3.22","3.23","3.22","2.83K","7.67%"
"12/20/2023","3.00","2.90","3.00","2.90","2.20K","6.76%"
"11/21/2023","2.81","2.81","2.81","2.81","0.04K","-9.35%"
"11/07/2023","3.10","3.10","3.10","3.10","352.49K","0.00%"
"10/23/2023","3.10","3.10","3.10","3.10","0.10K","0.00%"
"10/19/2023","3.10","3.10","3.10","3.10","0.72K","0.00%"
"10/10/2023","3.10","3.10","3.10","3.10","0.04K","0.00%"
"10/09/2023","3.10","3.10","3.10","3.10","0.25K","0.00%"
"10/06/2023","3.10","3.10","3.10","3.10","0.21K","-7.46%"
"10/03/2023","3.35","3.39","3.39","3.35","0.04K","8.06%"
"09/28/2023","3.10","3.10","3.10","3.10","0.80K","-9.09%"
"09/27/2023","3.41","3.09","3.41","3.09","0.83K","-0.58%"
"09/25/2023","3.43","3.43","3.43","3.43","0.01K","14.33%"
"09/21/2023","3.00","3.16","3.45","3.00","5.87K","0.00%"
"09/20/2023","3.00","3.00","3.00","3.00","0.83K","9.09%"
"09/13/2023","2.75","3.02","3.02","2.75","0.14K","-9.24%"
"09/12/2023","3.03","3.03","3.39","3.03","2.65K","-9.55%"
"09/11/2023","3.35","3.38","3.38","3.35","0.10K","13.18%"
"09/04/2023","2.96","2.96","2.96","2.96","0.25K","1.37%"
"09/01/2023","2.92","3.00","3.00","2.92","1.81K","-9.88%"
"08/31/2023","3.24","3.10","3.30","3.10","204.30K","9.83%"
"08/30/2023","2.95","2.95","2.95","2.95","4.57K","-4.84%"
"08/29/2023","3.10","2.77","3.25","2.77","8.14K","0.98%"
"08/23/2023","3.07","3.07","3.07","3.07","21.12K","0.00%"
"08/22/2023","3.07","2.61","3.33","2.61","25.60K","5.86%"
"08/16/2023","2.90","2.90","2.90","2.90","1.80K","-1.69%"
"08/11/2023","2.95","2.95","2.95","2.95","0.15K","0.00%"
"08/07/2023","2.95","3.00","3.00","2.95","0.55K","-8.95%"
"08/02/2023","3.24","3.24","3.24","3.24","0.58K","0.00%"
"08/01/2023","3.24","2.60","3.24","2.54","4.49K","14.89%"
"07/20/2023","2.82","2.82","2.82","2.82","0.50K","-9.90%"
"07/19/2023","3.13","3.13","3.13","3.13","0.10K","-9.80%"
"07/18/2023","3.47","3.47","3.47","3.47","1.09K","-9.87%"
"07/04/2023","3.85","3.85","3.85","3.85","9.00K","-3.75%"
"06/23/2023","4.00","4.00","4.00","4.00","0.62K","11.11%"
"06/14/2023","3.60","3.60","3.60","3.60","3.10K","-10.00%"
"06/13/2023","4.00","4.00","4.00","4.00","2.00K","0.00%"
"06/07/2023","4.00","4.00","4.00","4.00","12.00K","8.11%"
"05/10/2023","3.70","3.70","3.70","3.70","1.78K","0.00%"
"05/09/2023","3.70","3.70","3.70","3.70","1.31K","-7.50%"
"04/24/2023","4.00","4.00","4.00","4.00","0.07K","0.00%"
"04/17/2023","4.00","4.00","4.00","4.00","12.00K","0.00%"
"04/03/2023","4.00","4.00","4.00","4.00","0.16K","-6.32%"
"03/31/2023","4.27","4.27","4.27","4.27","0.01K","10.91%"
"03/28/2023","3.85","3.85","3.85","3.85","0.30K","0.00%"
"03/17/2023","3.85","3.85","3.85","3.85","0.04K","-9.84%"
"03/16/2023","4.27","3.85","4.27","3.85","0.07K","0.00%"
"03/15/2023","4.27","4.27","4.27","4.27","0.03K","-0.23%"
"03/08/2023","4.28","4.28","4.28","4.28","0.01K","7.00%"
"03/07/2023","4.00","4.00","4.00","4.00","8.35K","-1.23%"
"03/06/2023","4.05","4.05","4.05","4.05","0.00K","0.00%"
"03/02/2023","4.05","4.05","4.05","4.05","0.10K","1.25%"
"03/01/2023","4.00","4.00","4.00","4.00","0.16K","0.00%"
"02/28/2023","4.00","3.55","4.00","3.55","2.53K","13.31%"
"02/27/2023","3.53","3.53","3.53","3.53","0.04K","-9.95%"
"02/24/2023","3.92","4.30","4.30","3.92","0.10K","-9.89%"
"02/21/2023","4.35","4.00","4.35","4.00","9.19K","8.75%"
"02/20/2023","4.00","4.00","4.00","4.00","0.75K","0.00%"
"02/17/2023","4.00","4.00","4.00","4.00","0.31K","-8.05%"
"02/13/2023","4.35","3.79","4.35","3.79","1.21K","3.33%"
"02/10/2023","4.21","4.20","4.21","4.20","0.07K","5.25%"
