"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2023","4.76","5.00","5.00","5.00","16.03M","0.00%"
"12/15/2023","4.76","3.86","4.76","3.86","602.35K","11.11%"
"12/12/2023","4.29","4.50","4.50","4.50","30.81M","0.00%"
"10/10/2023","4.29","4.29","4.29","4.29","5.25K","-9.82%"
"05/12/2023","4.75","4.73","4.75","4.73","1.05K","-0.20%"
"04/28/2023","4.76","4.76","4.76","4.76","10.50K","6.21%"
"03/01/2023","4.48","4.48","4.48","4.48","0.08K","-4.76%"
"03/23/2022","4.71","4.34","4.71","4.34","15.90K","8.48%"
"03/22/2022","4.34","4.34","4.34","4.34","0.25K","-8.00%"
"10/27/2021","4.72","4.72","4.72","4.72","3.41K","-1.07%"
"03/31/2020","4.77","4.77","4.77","4.77","10.45K","3.20%"
