"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.242","0.242","0.242","0.240","100.46K","1.68%"
"12/28/2023","0.238","0.242","0.242","0.238","69.86K","-0.83%"
"12/27/2023","0.240","0.240","0.240","0.240","5.45K","0.84%"
"12/25/2023","0.238","0.241","0.241","0.238","60.21K","-1.24%"
"12/22/2023","0.241","0.241","0.241","0.240","131.57K","0.42%"
"12/21/2023","0.240","0.231","0.242","0.217","364.30K","0.00%"
"12/20/2023","0.240","0.233","0.244","0.233","44.93K","0.00%"
"12/19/2023","0.240","0.241","0.260","0.230","628.27K","-4.76%"
"12/18/2023","0.252","0.255","0.255","0.252","2.98K","1.20%"
"12/15/2023","0.249","0.245","0.249","0.240","81.05K","0.40%"
"12/14/2023","0.248","0.248","0.248","0.248","0.08K","2.06%"
"12/13/2023","0.243","0.235","0.245","0.235","30.74K","-2.02%"
"12/12/2023","0.248","0.249","0.250","0.225","16.91K","-0.40%"
"12/11/2023","0.249","0.237","0.250","0.216","31.75K","3.75%"
"12/08/2023","0.240","0.240","0.240","0.240","5.30K","-2.44%"
"12/07/2023","0.246","0.240","0.248","0.237","9.20K","-1.60%"
"12/06/2023","0.250","0.237","0.254","0.236","5.15K","5.93%"
"12/05/2023","0.236","0.257","0.257","0.236","49.65K","-5.60%"
"12/01/2023","0.250","0.257","0.257","0.250","10.00K","0.00%"
"11/30/2023","0.250","0.250","0.250","0.250","28.47K","-2.72%"
"11/29/2023","0.257","0.257","0.258","0.257","111.22K","2.80%"
"11/28/2023","0.250","0.269","0.270","0.250","291.19K","-4.58%"
"11/27/2023","0.262","0.268","0.269","0.243","79.68K","-0.76%"
"11/24/2023","0.264","0.263","0.265","0.250","124.77K","-2.22%"
"11/23/2023","0.270","0.270","0.270","0.270","13.80K","0.00%"
"11/21/2023","0.270","0.287","0.288","0.270","70.20K","-3.57%"
"11/20/2023","0.280","0.290","0.290","0.264","58.33K","4.09%"
"11/17/2023","0.269","0.269","0.269","0.269","1.80K","-3.58%"
"11/16/2023","0.279","0.290","0.290","0.279","22.39K","0.00%"
"11/15/2023","0.279","0.275","0.279","0.274","30.31K","5.28%"
"11/13/2023","0.265","0.263","0.280","0.263","58.14K","-1.85%"
"11/10/2023","0.270","0.270","0.270","0.270","4.93K","0.37%"
"11/09/2023","0.269","0.279","0.279","0.266","142.36K","1.13%"
"11/08/2023","0.266","0.268","0.268","0.266","68.76K","0.00%"
"11/07/2023","0.266","0.266","0.266","0.266","10.00K","-5.00%"
"11/06/2023","0.280","0.299","0.299","0.261","20.29K","0.72%"
"11/03/2023","0.278","0.290","0.290","0.270","8.50K","-0.71%"
"11/02/2023","0.280","0.288","0.290","0.268","230.71K","3.70%"
"11/01/2023","0.270","0.262","0.274","0.240","35.41K","12.50%"
"10/31/2023","0.240","0.260","0.260","0.237","31.14K","-7.69%"
"10/30/2023","0.260","0.269","0.269","0.260","18.93K","-3.70%"
"10/27/2023","0.270","0.280","0.280","0.270","1.30K","6.30%"
"10/26/2023","0.254","0.290","0.290","0.252","13.00K","-6.62%"
"10/25/2023","0.272","0.288","0.288","0.261","103.76K","-2.51%"
