"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2023","3.900","3.900","3.900","3.900","240.00K","2.63%"
"12/18/2023","3.800","3.800","3.800","3.800","120.00K","7.65%"
"11/28/2023","3.530","3.530","3.530","3.530","10.28M","0.00%"
"10/09/2023","3.530","3.530","3.530","3.530","575.38K","0.00%"
"10/04/2023","3.530","3.530","3.530","3.530","0.02K","-1.94%"
"09/27/2023","3.600","3.600","3.600","3.600","33.16K","1.98%"
"09/07/2023","3.530","3.530","3.530","3.530","3.16K","-7.59%"
"09/06/2023","3.820","3.800","3.820","3.800","1.39M","-0.78%"
"07/24/2023","3.850","3.850","3.850","3.850","14.74K","0.00%"
"07/13/2023","3.850","3.850","3.850","3.850","0.01K","0.00%"
"07/11/2023","3.850","3.850","3.850","3.850","0.20K","0.00%"
"07/10/2023","3.850","3.850","3.850","3.850","1.00K","8.45%"
"05/01/2023","3.550","3.550","3.550","3.550","121.87K","1.43%"
"04/28/2023","3.500","3.500","3.500","3.500","10.00K","0.00%"
"04/24/2023","3.500","3.500","3.500","3.500","50.00K","0.00%"
"04/19/2023","3.500","3.500","3.500","3.500","50.00K","0.00%"
"04/18/2023","3.500","3.500","3.500","3.500","200.00K","0.00%"
"04/17/2023","3.500","3.500","3.500","3.500","20.00K","0.00%"
"04/13/2023","3.500","3.500","3.500","3.500","10.00K","0.00%"
"03/23/2023","3.500","3.500","3.500","3.500","60.64K","-5.41%"
"02/13/2023","3.700","3.700","3.700","3.700","7.21K","0.00%"
"01/27/2023","3.700","3.700","3.700","3.700","10.00K","2.78%"
"12/14/2022","3.600","3.350","3.600","3.350","2.55M","4.35%"
"12/12/2022","3.450","3.450","3.450","3.450","503.27K","1.47%"
"11/18/2022","3.400","3.400","3.400","3.400","4.62M","0.00%"
"11/01/2022","3.400","3.400","3.400","3.400","1.70M","2.10%"
"10/07/2022","3.330","3.330","3.330","3.330","1.08K","0.00%"
"05/10/2022","3.330","3.330","3.330","3.330","18.15K","0.00%"
"04/14/2022","3.330","3.330","3.330","3.330","7.21K","11.00%"
"03/07/2022","3.000","3.000","3.000","3.000","1.42K","0.67%"
"02/14/2022","2.980","2.980","2.980","2.980","1.61K","14.62%"
"01/10/2022","2.600","2.600","2.600","2.600","13.69K","0.00%"
"01/07/2022","2.600","2.600","2.600","2.600","10.00K","0.00%"
"12/28/2021","2.600","2.700","2.700","2.600","1.02M","-3.70%"
"11/22/2021","2.700","2.700","2.700","2.700","1.00K","0.00%"
"10/28/2021","2.700","2.700","2.700","2.700","5.70K","0.00%"
"10/05/2021","2.700","2.700","2.700","2.700","10.00K","2.27%"
"09/19/2021","2.640","2.640","2.640","2.640","2.00K","14.78%"
"07/12/2021","2.300","2.300","2.300","2.300","113.89K","0.00%"
"06/13/2021","2.300","2.300","2.300","2.300","1.09M","-6.12%"
"06/08/2021","2.450","2.450","2.450","2.450","50.00K","-1.21%"
"06/02/2021","2.480","2.480","2.480","2.480","10.00K","-0.80%"
"05/27/2021","2.500","2.500","2.500","2.500","15.00K","12.11%"
"05/23/2021","2.230","2.230","2.230","2.230","10.00K","-9.72%"
"05/04/2021","2.470","2.470","2.470","2.470","10.00K","14.88%"
"02/15/2021","2.150","2.150","2.150","2.150","3.00M","0.00%"
"02/14/2021","2.150","2.150","2.150","2.150","400.00K","2.38%"
"02/11/2021","2.100","2.100","2.100","2.100","1.64M","7.69%"
"12/06/2020","1.950","1.950","1.950","1.950","157.61K","2.63%"
"11/30/2020","1.900","1.900","1.900","1.900","100.00K","-2.56%"
"10/28/2020","1.950","1.950","1.950","1.950","30.00K","2.63%"
"09/09/2020","1.900","1.900","1.900","1.900","4.93K","-2.56%"
"08/18/2020","1.950","1.900","1.950","1.900","178.61K","2.63%"
"08/16/2020","1.900","1.900","1.900","1.900","46.70K","0.00%"
"08/13/2020","1.900","1.900","1.900","1.900","353.30K","0.00%"
"07/06/2020","1.900","1.900","1.900","1.900","5.00K","0.00%"
"06/30/2020","1.900","1.900","1.900","1.900","5.00K","0.00%"
"06/29/2020","1.900","1.900","1.900","1.900","136.70K","-5.00%"
"05/21/2020","2.000","2.100","2.100","2.000","107.21K","-4.76%"
"05/06/2020","2.100","2.100","2.100","2.100","10.00K","10.53%"
"04/30/2020","1.900","1.900","1.900","1.900","2.79K","-5.00%"
"04/28/2020","2.000","2.000","2.000","2.000","200.00K","-4.76%"
"03/16/2020","2.100","2.100","2.100","2.100","231.49K","-9.87%"
"03/01/2020","2.330","2.330","2.330","2.330","2.51K","-9.69%"
"02/18/2020","2.580","2.580","2.580","2.580","5.00K","3.20%"
"02/16/2020","2.500","2.500","2.500","2.500","58.46K","-2.34%"
"02/03/2020","2.560","2.560","2.560","2.560","5.00K","11.30%"
