"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2023","1.590","1.590","1.590","1.590","0.59K","-9.66%"
"11/10/2023","1.760","1.760","1.760","1.760","0.03K","0.00%"
"10/02/2023","1.760","1.760","1.760","1.760","0.78K","-9.74%"
"09/07/2023","1.950","1.950","1.950","1.950","0.53K","2.63%"
"08/18/2023","1.900","1.900","1.900","1.900","1.66K","-3.55%"
"07/14/2023","1.970","1.970","1.970","1.970","1.56K","0.00%"
"07/11/2023","1.970","1.970","1.970","1.970","1.07K","-0.51%"
"06/15/2023","1.980","1.980","1.980","1.980","1.55K","0.00%"
"06/14/2023","1.980","1.980","1.980","1.980","0.45K","-9.59%"
"06/01/2023","2.190","2.190","2.190","2.190","5.95K","-6.01%"
"05/22/2023","2.330","2.330","2.330","2.330","10.00K","14.78%"
"05/11/2023","2.030","2.030","2.030","2.030","10.00K","13.41%"
"04/19/2023","1.790","1.790","1.790","1.790","70.00K","0.00%"
"01/12/2023","1.790","1.790","1.790","1.790","8.00K","0.00%"
"01/11/2023","1.790","1.790","1.790","1.790","422.00K","-3.24%"
"12/09/2022","1.850","1.850","1.850","1.850","22.93K","0.00%"
"11/28/2022","1.850","1.850","1.850","1.850","82.00K","-7.50%"
"11/03/2022","2.000","2.000","2.000","2.000","94.00K","0.00%"
"10/24/2022","2.000","2.000","2.000","2.000","6.00K","0.00%"
"09/08/2022","2.000","2.000","2.000","2.000","13.44K","-1.96%"
"08/22/2022","2.040","2.040","2.040","2.040","1.00K","-3.77%"
"07/18/2022","2.120","2.120","2.120","2.120","28.38K","0.00%"
"05/30/2022","2.120","2.120","2.120","2.120","10.00K","14.59%"
"04/29/2022","1.850","1.850","1.850","1.850","4.49K","-3.65%"
"04/25/2022","1.920","1.920","1.920","1.920","12.35K","3.78%"
"04/19/2022","1.850","1.850","1.850","1.850","45.00K","-1.07%"
"04/18/2022","1.870","1.870","1.870","1.870","33.23K","3.89%"
"04/15/2022","1.800","1.800","1.800","1.800","419.00K","4.65%"
"03/24/2022","1.720","1.720","1.720","1.720","77.00K","1.18%"
"03/23/2022","1.700","1.700","1.700","1.700","12.35K","4.29%"
"01/18/2022","1.630","1.630","1.630","1.630","28.38K","-8.94%"
"12/06/2021","1.790","1.790","1.790","1.790","1.40M","0.00%"
"12/05/2021","1.790","1.790","1.790","1.790","4.05M","0.00%"
"11/30/2021","1.790","1.790","1.790","1.790","5.00K","-1.10%"
"11/15/2021","1.810","1.810","1.810","1.810","1.00K","3.43%"
"07/28/2021","1.750","1.750","1.750","1.750","5.00K","2.94%"
"06/23/2021","1.700","1.700","1.700","1.700","115.07K","-3.95%"
"06/02/2021","1.770","1.770","1.770","1.770","20.00K","5.99%"
"05/24/2021","1.670","1.670","1.670","1.670","126.00K","0.00%"
"04/13/2021","1.670","1.670","1.670","1.670","524.00K","5.03%"
"02/25/2021","1.590","1.590","1.590","1.590","450.00K","-4.79%"
"02/24/2021","1.670","1.670","1.670","1.670","900.00K","-4.57%"
"01/26/2021","1.750","1.770","1.770","1.750","50.00K","-1.13%"
"01/12/2021","1.770","1.770","1.770","1.770","250.00K","0.00%"
"01/11/2021","1.770","1.770","1.770","1.770","150.00K","0.00%"
"01/10/2021","1.770","1.770","1.770","1.770","100.00K","-0.56%"
"01/07/2021","1.780","1.780","1.780","1.780","266.97K","0.56%"
"01/06/2021","1.770","1.770","1.770","1.770","147.50K","-2.21%"
"01/04/2021","1.810","1.810","1.810","1.810","350.00K","-4.74%"
"12/31/2020","1.900","1.900","1.900","1.900","500.00K","-5.00%"
"09/13/2020","2.000","2.000","2.000","2.000","400.00K","8.11%"
"09/10/2020","1.850","1.850","1.850","1.850","355.52K","0.00%"
