"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.690","0.694","0.694","0.686","3.07M","-0.58%"
"12/28/2023","0.694","0.680","0.694","0.676","3.76M","2.06%"
"12/27/2023","0.680","0.687","0.688","0.677","16.63M","-1.02%"
"12/26/2023","0.687","0.684","0.688","0.681","3.19M","0.59%"
"12/25/2023","0.683","0.688","0.689","0.682","1.80M","-0.73%"
"12/22/2023","0.688","0.676","0.692","0.676","7.36M","1.18%"
"12/21/2023","0.680","0.676","0.681","0.675","3.39M","0.74%"
"12/20/2023","0.675","0.671","0.685","0.671","6.63M","-0.30%"
"12/19/2023","0.677","0.671","0.694","0.670","3.72M","0.89%"
"12/18/2023","0.671","0.672","0.689","0.668","11.76M","0.15%"
"12/15/2023","0.670","0.661","0.674","0.661","8.39M","0.30%"
"12/14/2023","0.668","0.661","0.671","0.661","3.01M","1.21%"
"12/13/2023","0.660","0.666","0.671","0.657","3.82M","-0.90%"
"12/12/2023","0.666","0.661","0.675","0.658","6.70M","0.76%"
"12/11/2023","0.661","0.661","0.668","0.655","3.41M","0.15%"
"12/08/2023","0.660","0.659","0.665","0.657","2.06M","0.00%"
"12/07/2023","0.660","0.668","0.668","0.657","4.49M","-0.60%"
"12/06/2023","0.664","0.680","0.680","0.659","2.46M","-0.75%"
"12/05/2023","0.669","0.655","0.680","0.655","2.26M","1.06%"
"12/01/2023","0.662","0.676","0.676","0.657","5.20M","-1.19%"
"11/30/2023","0.670","0.667","0.676","0.663","13.42M","0.45%"
"11/29/2023","0.667","0.670","0.671","0.663","1.66M","-1.19%"
"11/28/2023","0.675","0.680","0.683","0.665","9.01M","0.00%"
"11/27/2023","0.675","0.643","0.688","0.643","27.59M","4.98%"
"11/24/2023","0.643","0.641","0.649","0.641","4.04M","-0.16%"
"11/23/2023","0.644","0.643","0.644","0.635","5.30M","2.06%"
"11/22/2023","0.631","0.631","0.635","0.621","3.18M","0.00%"
"11/21/2023","0.631","0.640","0.641","0.631","1.98M","-1.56%"
"11/20/2023","0.641","0.637","0.641","0.628","2.58M","1.75%"
"11/17/2023","0.630","0.643","0.643","0.630","3.27M","-2.17%"
