"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1.390","1.380","1.400","1.380","946.64K","0.00%"
"12/28/2023","1.390","1.400","1.400","1.380","1.17M","-0.71%"
"12/27/2023","1.400","1.390","1.400","1.390","4.57M","0.72%"
"12/26/2023","1.390","1.400","1.400","1.380","485.10K","-0.71%"
"12/25/2023","1.400","1.380","1.400","1.380","1.32M","0.72%"
"12/22/2023","1.390","1.380","1.390","1.380","665.92K","0.72%"
"12/21/2023","1.380","1.390","1.390","1.370","2.59M","-0.72%"
"12/20/2023","1.390","1.380","1.400","1.380","977.97K","0.00%"
"12/19/2023","1.390","1.410","1.410","1.380","984.01K","0.00%"
"12/18/2023","1.390","1.410","1.410","1.390","271.66K","-0.71%"
"12/15/2023","1.400","1.400","1.410","1.400","1.28M","0.00%"
"12/14/2023","1.400","1.390","1.410","1.370","1.97M","0.72%"
"12/13/2023","1.390","1.400","1.400","1.350","3.74M","0.72%"
"12/12/2023","1.380","1.370","1.390","1.370","1.76M","0.00%"
"12/11/2023","1.380","1.390","1.400","1.360","3.14M","-1.43%"
"12/08/2023","1.400","1.420","1.420","1.400","1.34M","-0.71%"
"12/07/2023","1.410","1.440","1.440","1.400","1.47M","-0.70%"
"12/06/2023","1.420","1.420","1.430","1.410","1.39M","0.00%"
"12/05/2023","1.420","1.440","1.450","1.410","2.96M","-2.07%"
"12/01/2023","1.450","1.460","1.460","1.440","1.24M","-0.68%"
"11/30/2023","1.460","1.460","1.460","1.430","2.43M","0.69%"
"11/29/2023","1.450","1.450","1.460","1.440","1.77M","0.00%"
"11/28/2023","1.450","1.430","1.450","1.420","3.75M","2.11%"
"11/27/2023","1.420","1.430","1.430","1.410","1.01M","-0.70%"
"11/24/2023","1.430","1.420","1.430","1.410","571.52K","1.42%"
"11/23/2023","1.410","1.430","1.440","1.410","1.58M","-1.40%"
"11/22/2023","1.430","1.420","1.440","1.420","2.34M","0.00%"
"11/21/2023","1.430","1.440","1.440","1.420","1.75M","0.70%"
"11/20/2023","1.420","1.430","1.450","1.420","4.24M","0.00%"
"11/17/2023","1.420","1.410","1.420","1.390","1.70M","1.43%"
"11/16/2023","1.400","1.390","1.410","1.380","4.75M","1.45%"
"11/15/2023","1.380","1.400","1.400","1.370","910.18K","0.00%"
"11/14/2023","1.380","1.380","1.410","1.360","6.84M","0.73%"
"11/13/2023","1.370","1.360","1.390","1.360","2.00M","0.74%"
"11/10/2023","1.360","1.360","1.380","1.350","3.94M","0.00%"
"11/09/2023","1.360","1.380","1.380","1.360","662.94K","-0.73%"
"11/08/2023","1.370","1.400","1.400","1.360","3.40M","-2.14%"
"11/07/2023","1.400","1.390","1.400","1.380","2.18M","0.72%"
"11/06/2023","1.390","1.370","1.400","1.370","6.08M","2.96%"
"11/03/2023","1.350","1.370","1.370","1.350","5.66M","-0.74%"
"11/02/2023","1.360","1.330","1.370","1.330","10.52M","3.82%"
"11/01/2023","1.310","1.330","1.340","1.310","2.78M","0.00%"
"10/31/2023","1.310","1.320","1.340","1.310","6.01M","0.00%"
"10/30/2023","1.310","1.290","1.320","1.280","5.46M","2.34%"
"10/27/2023","1.280","1.290","1.290","1.260","2.80M","0.00%"
"10/26/2023","1.280","1.340","1.340","1.280","4.82M","-3.76%"
"10/25/2023","1.330","1.320","1.340","1.300","7.83M","3.10%"
"10/24/2023","1.290","1.280","1.320","1.270","6.71M","2.38%"
"10/23/2023","1.260","1.310","1.330","1.260","10.78M","-3.08%"
"10/20/2023","1.300","1.370","1.380","1.300","5.59M","-5.80%"
"10/19/2023","1.380","1.440","1.440","1.380","3.63M","-2.82%"
"10/18/2023","1.420","1.460","1.460","1.410","4.10M","-2.74%"
"10/17/2023","1.460","1.450","1.480","1.450","1.89M","0.69%"
"10/16/2023","1.450","1.500","1.500","1.440","4.14M","-2.68%"
"10/13/2023","1.490","1.520","1.540","1.460","6.59M","-2.61%"
"10/12/2023","1.530","1.570","1.570","1.530","2.77M","-1.92%"
