"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","7.150","7.080","7.160","7.080","1.42M","0.70%"
"12/28/2023","7.100","7.100","7.150","7.100","712.25K","0.00%"
"12/27/2023","7.100","7.060","7.140","7.060","531.63K","0.42%"
"12/26/2023","7.070","7.140","7.140","7.050","720.12K","0.28%"
"12/25/2023","7.050","7.080","7.100","7.050","222.91K","-0.42%"
"12/22/2023","7.080","7.040","7.090","7.010","245.33K","0.57%"
"12/21/2023","7.040","7.100","7.110","7.020","368.11K","-0.85%"
"12/20/2023","7.100","7.100","7.190","7.100","758.84K","-0.70%"
"12/19/2023","7.150","7.100","7.160","7.050","720.69K","0.14%"
"12/18/2023","7.140","7.160","7.190","7.050","4.35M","-0.14%"
"12/15/2023","7.150","6.920","7.150","6.920","7.57M","3.32%"
"12/14/2023","6.920","6.770","6.940","6.710","5.78M","2.06%"
"12/13/2023","6.780","6.740","6.780","6.720","2.06M","1.04%"
"12/12/2023","6.710","6.650","6.710","6.580","2.10M","1.05%"
"12/11/2023","6.640","6.620","6.640","6.570","539.51K","0.61%"
"12/08/2023","6.600","6.590","6.620","6.430","368.99K","1.38%"
"12/07/2023","6.510","6.780","6.780","6.510","1.47M","-3.12%"
"12/06/2023","6.720","6.860","6.860","6.650","1.28M","1.05%"
"12/05/2023","6.650","6.820","6.850","6.580","3.16M","-2.49%"
"12/01/2023","6.820","6.900","6.900","6.750","1.36M","-0.15%"
"11/30/2023","6.830","6.920","6.920","6.830","3.67M","-0.87%"
"11/29/2023","6.890","6.850","6.930","6.850","2.84M","1.17%"
"11/28/2023","6.810","6.900","6.950","6.800","3.27M","-1.30%"
"11/27/2023","6.900","6.840","6.900","6.760","1.72M","1.77%"
"11/24/2023","6.780","6.840","6.850","6.770","190.46K","-0.29%"
"11/23/2023","6.800","6.800","6.870","6.730","1.96M","0.44%"
"11/22/2023","6.770","6.850","6.850","6.730","1.84M","-0.73%"
"11/21/2023","6.820","6.790","6.910","6.750","10.81M","0.44%"
"11/20/2023","6.790","6.790","6.800","6.720","3.54M","0.00%"
"11/17/2023","6.790","6.700","6.790","6.640","1.57M","1.34%"
"11/16/2023","6.700","6.660","6.700","6.620","1.97M","0.60%"
"11/15/2023","6.660","6.620","6.670","6.550","2.45M","1.06%"
"11/14/2023","6.590","6.790","6.820","6.590","1.83M","-2.51%"
"11/13/2023","6.760","6.650","6.800","6.650","3.94M","1.65%"
"11/10/2023","6.650","6.530","6.670","6.500","3.62M","3.91%"
"11/09/2023","6.400","6.480","6.520","6.400","2.16M","-1.23%"
"11/08/2023","6.480","6.660","6.660","6.410","2.30M","-2.56%"
"11/07/2023","6.650","6.540","6.650","6.540","2.79M","1.68%"
"11/06/2023","6.540","6.430","6.600","6.430","1.30M","2.19%"
"11/03/2023","6.400","6.420","6.440","6.360","1.37M","-0.31%"
"11/02/2023","6.420","6.330","6.420","6.250","2.34M","3.05%"
"11/01/2023","6.230","6.180","6.300","6.110","1.88M","0.48%"
"10/31/2023","6.200","6.040","6.200","6.010","2.40M","5.08%"
"10/30/2023","5.900","5.950","6.150","5.900","3.35M","0.51%"
"10/27/2023","5.870","5.910","5.910","5.620","1.13M","-0.68%"
