"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","7.920","7.950","7.960","7.780","5.70M","-0.50%"
"12/28/2023","7.960","7.890","7.960","7.850","4.30M","0.89%"
"12/27/2023","7.890","7.790","7.890","7.750","6.31M","1.28%"
"12/26/2023","7.790","7.710","7.790","7.690","3.48M","1.30%"
"12/25/2023","7.690","7.750","7.750","7.690","1.87M","-0.90%"
"12/22/2023","7.760","7.740","7.760","7.670","3.13M","0.26%"
"12/21/2023","7.740","7.780","7.780","7.660","6.23M","-0.13%"
"12/20/2023","7.750","7.590","7.780","7.550","7.27M","2.11%"
"12/19/2023","7.590","7.460","7.590","7.450","4.56M","1.07%"
"12/18/2023","7.510","7.540","7.540","7.450","4.03M","0.13%"
"12/15/2023","7.500","7.470","7.570","7.460","16.27M","0.27%"
"12/14/2023","7.480","7.300","7.510","7.300","20.81M","2.33%"
"12/13/2023","7.310","7.330","7.350","7.270","8.63M","0.97%"
"12/12/2023","7.240","7.270","7.300","7.140","7.35M","-0.82%"
"12/11/2023","7.300","7.370","7.470","7.230","5.82M","-1.08%"
"12/08/2023","7.380","7.450","7.450","7.370","3.10M","-0.94%"
"12/07/2023","7.450","7.480","7.480","7.350","7.62M","-0.53%"
"12/06/2023","7.490","7.510","7.540","7.430","5.40M","-0.66%"
"12/05/2023","7.540","7.540","7.540","7.380","12.12M","-0.13%"
"12/01/2023","7.550","7.570","7.570","7.460","6.23M","-0.53%"
"11/30/2023","7.590","7.420","7.590","7.420","31.58M","2.29%"
"11/29/2023","7.420","7.350","7.480","7.320","12.67M","1.23%"
"11/28/2023","7.330","7.140","7.340","7.130","15.66M","2.66%"
"11/27/2023","7.140","7.080","7.180","7.060","9.26M","0.85%"
"11/24/2023","7.080","7.140","7.150","7.060","2.81M","-0.70%"
"11/23/2023","7.130","7.060","7.130","7.020","6.09M","0.71%"
"11/22/2023","7.080","7.070","7.110","7.000","9.80M","0.14%"
"11/21/2023","7.070","7.100","7.180","7.070","24.37M","-0.70%"
"11/20/2023","7.120","7.060","7.130","7.040","10.81M","0.71%"
"11/17/2023","7.070","7.020","7.070","6.950","7.53M","0.28%"
"11/16/2023","7.050","6.950","7.080","6.900","13.59M","1.15%"
"11/15/2023","6.970","6.970","7.040","6.860","12.80M","0.43%"
"11/14/2023","6.940","7.150","7.150","6.940","10.82M","-2.25%"
"11/13/2023","7.100","7.130","7.260","7.100","16.40M","0.00%"
"11/10/2023","7.100","6.910","7.160","6.900","25.49M","4.41%"
"11/09/2023","6.800","6.840","6.840","6.770","6.82M","-0.58%"
"11/08/2023","6.840","7.030","7.030","6.830","6.00M","-2.01%"
"11/07/2023","6.980","6.970","7.070","6.900","14.75M","0.29%"
"11/06/2023","6.960","6.860","6.980","6.860","13.02M","1.90%"
"11/03/2023","6.830","6.810","6.850","6.730","11.99M","0.89%"
"11/02/2023","6.770","6.700","6.820","6.630","17.88M","1.50%"
"11/01/2023","6.670","6.730","6.780","6.570","16.38M","-0.30%"
"10/31/2023","6.690","6.550","6.760","6.530","17.67M","2.92%"
"10/30/2023","6.500","6.330","6.570","6.330","18.21M","2.85%"
"10/27/2023","6.320","6.470","6.470","6.280","15.12M","-2.02%"
"10/26/2023","6.450","6.650","6.650","6.430","12.81M","-2.86%"
"10/25/2023","6.640","6.380","6.670","6.380","22.22M","4.24%"
"10/24/2023","6.370","6.290","6.410","6.200","24.39M","1.76%"
"10/23/2023","6.260","6.410","6.510","6.260","12.79M","-1.88%"
"10/20/2023","6.380","6.480","6.570","6.230","21.07M","-2.30%"
"10/19/2023","6.530","6.820","6.870","6.450","40.16M","-4.53%"
"10/18/2023","6.840","7.060","7.090","6.820","26.85M","-3.53%"
"10/17/2023","7.090","7.130","7.190","7.050","13.85M","0.57%"
"10/16/2023","7.050","7.260","7.410","7.050","17.81M","-2.76%"
"10/13/2023","7.250","7.600","7.640","7.010","32.11M","-5.48%"
"10/12/2023","7.670","7.730","7.770","7.620","10.56M","-1.41%"
"10/11/2023","7.780","7.590","7.800","7.580","12.48M","1.83%"
"10/10/2023","7.640","7.460","7.790","7.450","23.11M","2.55%"
"10/09/2023","7.450","7.650","7.700","7.370","32.27M","-4.36%"
"10/06/2023","7.790","7.810","7.870","7.710","7.42M","-0.13%"
"10/05/2023","7.800","7.940","7.990","7.800","18.88M","-1.76%"
"10/04/2023","7.940","8.240","8.290","7.910","20.62M","-3.29%"
"10/03/2023","8.210","8.350","8.450","8.210","26.30M","-2.03%"
"10/02/2023","8.380","8.050","8.380","8.050","39.02M","4.23%"
"09/28/2023","8.040","7.730","8.070","7.730","32.98M","4.42%"
"09/27/2023","7.700","7.700","7.740","7.610","8.17M","-0.13%"
"09/26/2023","7.710","7.910","7.910","7.710","11.78M","-2.41%"
"09/25/2023","7.900","7.790","7.950","7.710","28.62M","2.07%"
"09/22/2023","7.740","7.990","7.990","7.710","15.38M","-2.89%"
"09/21/2023","7.970","7.480","7.980","7.430","50.81M","6.41%"
"09/20/2023","7.490","7.140","7.500","7.140","45.82M","5.20%"
"09/19/2023","7.120","7.010","7.130","7.000","9.87M","0.99%"
"09/18/2023","7.050","7.070","7.070","7.020","7.16M","0.00%"
