"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","5.190","5.190","5.190","5.140","65.90K","0.00%"
"12/28/2023","5.190","5.160","5.190","5.160","2.35M","0.78%"
"12/27/2023","5.150","5.150","5.170","5.120","351.79K","-0.19%"
"12/26/2023","5.160","5.200","5.200","5.160","104.03K","-0.19%"
"12/25/2023","5.170","5.190","5.190","5.150","165.11K","-0.39%"
"12/22/2023","5.190","5.200","5.200","5.170","58.63K","-0.19%"
"12/21/2023","5.200","5.200","5.200","5.190","21.52K","0.00%"
"12/20/2023","5.200","5.190","5.230","5.190","132.07K","0.19%"
"12/19/2023","5.190","5.180","5.240","5.180","180.45K","-0.19%"
"12/18/2023","5.200","5.180","5.240","5.180","15.05K","-0.38%"
"12/15/2023","5.220","5.190","5.220","5.180","1.14M","0.58%"
"12/14/2023","5.190","5.150","5.200","5.150","274.51K","0.19%"
"12/13/2023","5.180","5.200","5.200","5.120","115.52K","0.58%"
"12/12/2023","5.150","5.200","5.200","5.120","83.28K","-0.39%"
"12/11/2023","5.170","5.110","5.200","5.110","59.41K","-0.58%"
"12/08/2023","5.200","5.220","5.220","5.180","102.25K","0.39%"
"12/07/2023","5.180","5.240","5.240","5.180","65.65K","-0.19%"
"12/06/2023","5.190","5.180","5.200","5.150","79.45K","0.19%"
"12/05/2023","5.180","5.200","5.200","5.180","88.34K","-0.38%"
"12/01/2023","5.200","5.200","5.240","5.190","42.43K","0.00%"
"11/30/2023","5.200","5.200","5.220","5.160","555.72K","0.00%"
"11/29/2023","5.200","5.280","5.280","5.110","357.02K","-0.95%"
"11/28/2023","5.250","5.260","5.300","5.240","224.62K","-0.76%"
"11/27/2023","5.290","5.340","5.340","5.260","162.33K","-0.38%"
"11/24/2023","5.310","5.330","5.350","5.300","270.55K","-0.56%"
"11/23/2023","5.340","5.290","5.340","5.290","40.62K","0.38%"
"11/22/2023","5.320","5.290","5.340","5.290","90.98K","0.38%"
"11/21/2023","5.300","5.300","5.350","5.290","203.04K","-0.75%"
"11/20/2023","5.340","5.300","5.350","5.300","37.70K","0.56%"
"11/17/2023","5.310","5.300","5.340","5.300","10.60K","-0.56%"
"11/16/2023","5.340","5.350","5.350","5.300","15.33K","-0.19%"
"11/15/2023","5.350","5.300","5.350","5.290","146.68K","0.19%"
"11/14/2023","5.340","5.310","5.360","5.300","56.70K","-0.37%"
"11/13/2023","5.360","5.310","5.390","5.300","187.80K","-0.56%"
"11/10/2023","5.390","5.340","5.390","5.320","10.75K","0.94%"
"11/09/2023","5.340","5.330","5.410","5.330","43.00K","-0.74%"
"11/08/2023","5.380","5.420","5.420","5.330","43.24K","-0.74%"
"11/07/2023","5.420","5.310","5.430","5.310","267.72K","0.74%"
"11/06/2023","5.380","5.360","5.380","5.320","57.63K","0.37%"
"11/03/2023","5.360","5.310","5.360","5.310","154.80K","0.75%"
"11/02/2023","5.320","5.270","5.370","5.270","27.17K","-0.93%"
"11/01/2023","5.370","5.260","5.370","5.260","49.46K","-0.19%"
"10/31/2023","5.380","5.410","5.410","5.300","242.89K","2.28%"
"10/30/2023","5.260","5.280","5.290","5.260","152.39K","-0.19%"
"10/27/2023","5.270","5.230","5.290","5.200","41.10K","1.35%"
"10/26/2023","5.200","5.200","5.230","5.160","61.05K","-0.76%"
"10/25/2023","5.240","5.200","5.240","5.100","72.29K","2.14%"
"10/24/2023","5.130","5.080","5.230","5.070","286.09K","0.98%"
"10/23/2023","5.080","5.070","5.150","5.000","215.00K","0.59%"
"10/20/2023","5.050","5.170","5.180","4.980","902.63K","-2.88%"
"10/19/2023","5.200","5.240","5.250","5.180","168.82K","-0.76%"
"10/18/2023","5.240","5.200","5.270","5.200","124.52K","-1.13%"
"10/17/2023","5.300","5.370","5.370","5.250","49.50K","1.53%"
"10/16/2023","5.220","5.270","5.270","5.150","103.87K","-1.14%"
"10/13/2023","5.280","5.280","5.280","5.250","120.27K","-0.38%"
"10/12/2023","5.300","5.270","5.350","5.270","42.60K","-0.75%"
"10/11/2023","5.340","5.260","5.340","5.260","16.08K","0.19%"
"10/10/2023","5.330","5.280","5.360","5.280","13.12K","0.76%"
"10/09/2023","5.290","5.370","5.370","5.160","237.18K","-1.67%"
"10/06/2023","5.380","5.320","5.390","5.320","43.38K","0.56%"
"10/05/2023","5.350","5.330","5.400","5.320","270.29K","-0.37%"
"10/04/2023","5.370","5.400","5.400","5.330","88.55K","0.00%"
"10/03/2023","5.370","5.380","5.380","5.320","20.37K","0.75%"
"10/02/2023","5.330","5.350","5.380","5.330","387.76K","-0.37%"
"09/28/2023","5.350","5.400","5.410","5.350","60.75K","-0.93%"
"09/27/2023","5.400","5.410","5.450","5.400","318.97K","-0.18%"
"09/26/2023","5.410","5.340","5.410","5.340","558.86K","0.74%"
"09/25/2023","5.370","5.330","5.380","5.310","686.29K","0.94%"
"09/22/2023","5.320","5.250","5.330","5.250","459.42K","0.57%"
"09/21/2023","5.290","5.230","5.290","5.230","500.79K","0.76%"
"09/20/2023","5.250","5.220","5.320","5.220","444.20K","0.00%"
"09/19/2023","5.250","5.330","5.330","5.240","491.67K","-1.32%"
"09/18/2023","5.320","5.350","5.350","5.300","132.72K","-0.37%"
"09/15/2023","5.340","5.330","5.340","5.310","49.64K","0.56%"
"09/14/2023","5.310","5.310","5.380","5.310","31.61K","-1.30%"
"09/13/2023","5.380","5.310","5.380","5.310","65.57K","0.00%"
"09/12/2023","5.380","5.390","5.390","5.310","41.39K","-0.19%"
"09/11/2023","5.390","5.390","5.390","5.330","31.30K","0.19%"
"09/08/2023","5.380","5.330","5.390","5.330","209.74K","0.94%"
"09/07/2023","5.330","5.370","5.370","5.290","45.94K","0.38%"
"09/06/2023","5.310","5.320","5.320","5.290","142.71K","-0.56%"
"09/05/2023","5.340","5.370","5.370","5.300","97.58K","-0.56%"
"09/04/2023","5.370","5.370","5.370","5.330","24.83K","0.00%"
"09/01/2023","5.370","5.270","5.380","5.270","261.33K","0.94%"
"08/31/2023","5.320","5.230","5.330","5.230","166.31K","1.92%"
"08/30/2023","5.220","5.320","5.330","5.220","578.95K","-2.97%"
"08/29/2023","5.380","5.370","5.400","5.300","267.28K","0.19%"
"08/28/2023","5.370","5.360","5.400","5.330","84.18K","0.19%"
"08/25/2023","5.360","5.310","5.360","5.300","183.03K","0.19%"
"08/24/2023","5.350","5.390","5.390","5.300","402.90K","0.56%"
"08/23/2023","5.320","5.330","5.400","5.320","929.12K","-0.19%"
"08/22/2023","5.330","5.370","5.370","5.330","71.81K","-0.37%"
"08/21/2023","5.350","5.350","5.350","5.340","56.69K","-0.19%"
"08/18/2023","5.360","5.340","5.370","5.340","13.94K","-0.37%"
"08/17/2023","5.380","5.380","5.380","5.320","67.81K","0.00%"
"08/16/2023","5.380","5.440","5.440","5.350","330.02K","-1.28%"
"08/15/2023","5.450","5.390","5.480","5.380","487.05K","1.11%"
"08/14/2023","5.390","5.320","5.400","5.320","121.11K","1.32%"
"08/11/2023","5.320","5.390","5.430","5.310","135.47K","-1.30%"
"08/10/2023","5.390","5.360","5.400","5.340","176.82K","0.19%"
"08/09/2023","5.380","5.390","5.410","5.350","294.95K","0.00%"
"08/08/2023","5.380","5.410","5.410","5.350","199.80K","0.56%"
"08/07/2023","5.350","5.300","5.410","5.300","70.84K","0.75%"
"08/04/2023","5.310","5.390","5.390","5.310","154.10K","-1.48%"
"08/03/2023","5.390","5.400","5.440","5.370","300.95K","-2.00%"
"08/02/2023","5.500","5.460","5.510","5.450","414.51K","0.36%"
"08/01/2023","5.480","5.480","5.510","5.450","382.20K","-0.72%"
"07/31/2023","5.520","5.500","5.520","5.450","273.99K","0.00%"
"07/28/2023","5.520","5.550","5.550","5.470","121.55K","0.73%"
"07/27/2023","5.480","5.550","5.550","5.470","328.52K","-1.26%"
"07/26/2023","5.550","5.540","5.580","5.460","225.59K","0.00%"
"07/25/2023","5.550","5.550","5.550","5.460","344.70K","0.00%"
"07/24/2023","5.550","5.460","5.550","5.400","429.83K","1.65%"
"07/20/2023","5.460","5.400","5.460","5.400","178.37K","1.11%"
"07/19/2023","5.400","5.430","5.480","5.360","191.88K","-0.92%"
"07/18/2023","5.450","5.490","5.490","5.430","111.81K","-0.91%"
"07/17/2023","5.500","5.530","5.530","5.350","115.81K","-0.54%"
"07/14/2023","5.530","5.440","5.530","5.410","457.85K","1.65%"
"07/13/2023","5.440","5.430","5.440","5.400","209.49K","0.37%"
"07/12/2023","5.420","5.430","5.450","5.400","271.76K","-0.18%"
"07/11/2023","5.430","5.380","5.460","5.370","315.54K","1.12%"
"07/10/2023","5.370","5.310","5.390","5.280","670.29K","0.94%"
"07/07/2023","5.320","5.310","5.340","5.270","491.43K","0.19%"
"07/06/2023","5.310","5.310","5.380","5.310","84.56K","0.00%"
"07/05/2023","5.310","5.340","5.340","5.300","86.52K","-0.38%"
"07/04/2023","5.330","5.310","5.330","5.260","211.22K","0.38%"
"07/03/2023","5.310","5.280","5.310","5.260","536.55K","0.57%"
"06/26/2023","5.280","5.310","5.310","5.260","95.67K","-0.56%"
"06/23/2023","5.310","5.310","5.310","5.290","135.80K","0.00%"
"06/22/2023","5.310","5.300","5.320","5.270","229.40K","0.19%"
"06/21/2023","5.300","5.300","5.300","5.280","125.00K","0.38%"
"06/20/2023","5.280","5.190","5.320","5.190","1.30M","1.73%"
"06/19/2023","5.190","5.190","5.200","5.120","260.64K","-0.19%"
"06/16/2023","5.200","5.160","5.210","5.160","203.01K","0.78%"
"06/15/2023","5.160","5.160","5.170","5.140","244.92K","-0.39%"
"06/14/2023","5.180","5.170","5.200","5.110","334.57K","0.39%"
"06/13/2023","5.160","5.120","5.160","5.080","411.66K","0.78%"
"06/12/2023","5.120","5.150","5.160","5.120","125.98K","-0.78%"
"06/09/2023","5.160","5.100","5.170","5.100","242.58K","1.18%"
"06/08/2023","5.100","5.110","5.140","5.100","106.45K","-0.58%"
"06/07/2023","5.130","5.090","5.130","5.090","67.71K","0.00%"
"06/06/2023","5.130","5.100","5.150","5.080","305.44K","0.79%"
"06/05/2023","5.090","5.150","5.200","5.070","1.62M","-0.59%"
"06/02/2023","5.120","5.110","5.200","5.110","154.20K","-0.58%"
"06/01/2023","5.150","5.100","5.210","5.100","424.79K","-0.19%"
"05/31/2023","5.160","5.140","5.170","5.100","1.17M","0.39%"
"05/30/2023","5.140","5.050","5.140","5.050","72.90K","1.78%"
"05/29/2023","5.050","5.050","5.120","5.020","479.25K","0.00%"
"05/26/2023","5.050","5.050","5.050","5.040","205.09K","0.00%"
"05/25/2023","5.050","5.020","5.050","4.990","560.51K","0.80%"
"05/24/2023","5.010","5.010","5.050","5.010","361.88K","-0.40%"
"05/23/2023","5.030","5.010","5.070","4.980","628.68K","0.40%"
"05/22/2023","5.010","5.070","5.070","5.010","530.40K","-0.79%"
"05/19/2023","5.050","5.070","5.100","5.050","87.19K","-0.98%"
"05/18/2023","5.100","5.050","5.100","5.050","119.37K","-0.39%"
"05/17/2023","5.120","5.080","5.130","5.050","162.97K","0.59%"
"05/16/2023","5.090","5.180","5.180","5.060","362.47K","-0.20%"
"05/15/2023","5.100","5.180","5.180","5.060","1.70M","0.20%"
"05/12/2023","5.090","5.150","5.160","5.090","1.18M","-1.74%"
"05/11/2023","5.180","5.290","5.300","5.100","1.40M","-2.26%"
"05/10/2023","5.300","5.120","5.350","5.120","1.18M","3.92%"
"05/09/2023","5.100","5.150","5.180","5.100","329.08K","-1.54%"
"05/08/2023","5.180","5.100","5.180","5.070","402.20K","1.57%"
"05/05/2023","5.100","5.080","5.160","5.070","603.47K","-0.97%"
"05/04/2023","5.150","5.150","5.150","5.060","202.25K","0.00%"
"05/03/2023","5.150","5.180","5.180","5.010","606.81K","2.18%"
"05/01/2023","5.040","5.020","5.070","5.020","490.55K","-0.20%"
"04/28/2023","5.050","5.030","5.100","5.010","465.47K","0.60%"
"04/27/2023","5.020","5.020","5.020","5.000","48.63K","0.40%"
"04/26/2023","5.000","5.040","5.040","5.000","146.80K","-0.99%"
"04/25/2023","5.050","5.000","5.080","4.980","1.49M","1.41%"
"04/24/2023","4.980","4.980","5.020","4.980","347.84K","-0.40%"
"04/19/2023","5.000","5.030","5.050","4.980","258.40K","0.60%"
"04/18/2023","4.970","4.990","5.070","4.960","598.25K","-0.40%"
"04/17/2023","4.990","5.040","5.040","4.990","185.62K","-0.20%"
"04/14/2023","5.000","5.040","5.040","4.980","247.64K","-0.60%"
"04/13/2023","5.030","5.040","5.040","5.000","313.27K","-0.20%"
"04/12/2023","5.040","5.050","5.050","4.990","556.21K","0.40%"
"04/11/2023","5.020","5.050","5.050","5.020","182.62K","-0.40%"
"04/10/2023","5.040","5.070","5.070","5.020","275.81K","-0.59%"
"04/07/2023","5.070","5.050","5.080","5.010","198.93K","0.20%"
"04/06/2023","5.060","5.090","5.090","5.040","62.80K","-0.59%"
"04/05/2023","5.090","5.050","5.100","4.980","242.95K","0.59%"
"04/04/2023","5.060","5.080","5.100","5.030","26.67K","-0.78%"
