"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","17.300","17.150","17.300","17.150","1.13M","1.17%"
"12/28/2023","17.100","17.200","17.250","16.950","1.09M","-0.58%"
"12/27/2023","17.200","17.000","17.200","16.950","1.35M","0.58%"
"12/26/2023","17.100","17.100","17.100","16.950","469.95K","0.88%"
"12/25/2023","16.950","17.000","17.100","16.950","596.35K","-0.88%"
"12/22/2023","17.100","17.000","17.100","16.850","1.65M","1.18%"
"12/21/2023","16.900","17.300","17.300","16.900","1.43M","-1.74%"
"12/20/2023","17.200","17.100","17.300","17.000","1.80M","0.88%"
"12/19/2023","17.050","16.850","17.050","16.850","1.32M","1.19%"
"12/18/2023","16.850","17.100","17.100","16.850","3.50M","-1.46%"
"12/15/2023","17.100","17.050","17.100","16.900","4.22M","1.48%"
"12/14/2023","16.850","17.000","17.150","16.800","4.48M","-0.59%"
"12/13/2023","16.950","17.250","17.300","16.950","941.57K","-1.74%"
"12/12/2023","17.250","17.300","17.450","16.900","3.42M","-0.86%"
"12/11/2023","17.400","17.550","17.550","17.400","1.68M","-0.29%"
"12/08/2023","17.450","17.550","17.650","17.400","1.50M","-0.85%"
"12/07/2023","17.600","17.550","17.800","17.550","952.31K","-1.40%"
"12/06/2023","17.850","17.700","17.900","17.700","1.21M","0.28%"
"12/05/2023","17.800","17.500","17.800","17.350","2.55M","1.71%"
"12/01/2023","17.500","17.600","17.600","17.400","1.64M","-0.57%"
"11/30/2023","17.600","17.600","17.750","17.550","5.47M","-0.85%"
"11/29/2023","17.750","17.750","17.850","17.600","1.59M","-0.56%"
"11/28/2023","17.850","17.600","17.900","17.600","3.32M","1.13%"
"11/27/2023","17.650","17.950","18.000","17.550","2.35M","-2.22%"
"11/24/2023","18.050","17.900","18.100","17.800","483.51K","0.84%"
"11/23/2023","17.900","17.750","18.000","17.750","1.81M","0.00%"
"11/22/2023","17.900","17.900","17.950","17.850","2.51M","-0.28%"
"11/21/2023","17.950","18.100","18.100","17.800","3.45M","-0.55%"
"11/20/2023","18.050","17.900","18.100","17.750","1.84M","-0.28%"
"11/17/2023","18.100","17.950","18.100","17.900","1.77M","0.84%"
"11/16/2023","17.950","17.650","17.950","17.650","2.95M","0.84%"
"11/15/2023","17.800","17.650","17.900","17.600","2.80M","0.56%"
"11/14/2023","17.700","17.750","17.800","17.600","1.30M","0.57%"
"11/13/2023","17.600","17.600","17.750","17.550","1.53M","-0.28%"
"11/10/2023","17.650","17.600","17.850","17.600","865.69K","-0.84%"
"11/09/2023","17.800","17.350","17.800","17.350","1.44M","0.56%"
"11/08/2023","17.700","17.800","17.800","17.600","2.08M","-0.56%"
"11/07/2023","17.800","17.350","17.800","17.350","1.84M","1.14%"
"11/06/2023","17.600","17.300","17.600","17.300","2.49M","0.00%"
"11/03/2023","17.600","17.100","17.600","17.050","1.70M","2.62%"
"11/02/2023","17.150","17.050","17.350","17.050","1.12M","-0.58%"
"11/01/2023","17.250","16.700","17.550","16.600","2.23M","1.77%"
"10/31/2023","16.950","16.950","17.150","16.750","1.75M","0.00%"
"10/30/2023","16.950","16.450","17.000","16.150","2.05M","3.04%"
"10/27/2023","16.450","16.250","16.450","15.800","1.47M","2.81%"
"10/26/2023","16.000","16.800","16.800","15.900","2.70M","-3.32%"
"10/25/2023","16.550","16.100","16.550","15.850","5.35M","3.44%"
"10/24/2023","16.000","16.500","16.500","15.600","2.53M","-1.84%"
"10/23/2023","16.300","16.450","16.750","16.300","1.41M","-2.10%"
"10/20/2023","16.650","17.350","17.600","16.650","6.08M","-3.76%"
"10/19/2023","17.300","17.500","17.700","17.300","2.92M","-0.29%"
"10/18/2023","17.350","17.650","17.750","17.350","3.32M","-2.53%"
"10/17/2023","17.800","17.550","17.900","17.550","2.17M","0.28%"
"10/16/2023","17.750","17.450","17.900","17.450","3.38M","0.28%"
"10/13/2023","17.700","17.950","17.950","17.500","1.20M","-1.12%"
"10/12/2023","17.900","17.950","17.950","17.500","1.92M","1.13%"
"10/11/2023","17.700","17.500","18.050","17.400","3.15M","2.31%"
"10/10/2023","17.300","17.700","17.900","17.300","4.84M","-2.26%"
"10/09/2023","17.700","17.800","18.050","17.550","2.89M","-1.94%"
"10/06/2023","18.050","18.050","18.200","17.700","1.14M","1.69%"
"10/05/2023","17.750","18.150","18.150","17.700","1.70M","-2.20%"
"10/04/2023","18.150","18.150","18.150","17.900","2.04M","0.55%"
"10/03/2023","18.050","17.600","18.100","17.600","2.65M","1.98%"
"10/02/2023","17.700","18.050","18.050","17.650","2.14M","-0.56%"
"09/28/2023","17.800","18.150","18.250","17.800","1.91M","-0.56%"
"09/27/2023","17.900","18.300","18.300","17.900","1.63M","-1.65%"
"09/26/2023","18.200","18.400","18.400","18.100","3.08M","-1.09%"
