"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1.4000","1.4200","1.4200","1.4000","5.70M","0.00%"
"12/28/2023","1.4000","1.3700","1.4200","1.3700","11.38M","1.45%"
"12/27/2023","1.3800","1.3800","1.4000","1.3700","1.99M","-0.72%"
"12/26/2023","1.3900","1.3700","1.3900","1.3600","849.38K","1.46%"
"12/25/2023","1.3700","1.3700","1.3900","1.3700","640.34K","0.00%"
"12/22/2023","1.3700","1.3900","1.3900","1.3700","1.16M","-1.44%"
"12/21/2023","1.3900","1.4200","1.4200","1.3800","705.02K","-2.11%"
"12/20/2023","1.4200","1.4100","1.4300","1.4000","3.90M","0.71%"
"12/19/2023","1.4100","1.4000","1.4900","1.3900","9.43M","0.00%"
"12/18/2023","1.4100","1.4000","1.4100","1.3900","787.75K","1.44%"
"12/15/2023","1.3900","1.3900","1.4200","1.3900","6.05M","0.00%"
"12/14/2023","1.3900","1.3900","1.4000","1.3800","308.29K","0.72%"
"12/13/2023","1.3800","1.3900","1.4000","1.3800","1.29M","-0.72%"
"12/12/2023","1.3900","1.4000","1.4000","1.3800","1.27M","-0.71%"
"12/11/2023","1.4000","1.3900","1.4200","1.3800","3.08M","0.00%"
"12/08/2023","1.4000","1.4100","1.4300","1.3900","2.35M","-1.41%"
"12/07/2023","1.4200","1.4300","1.4400","1.4100","1.11M","-0.70%"
"12/06/2023","1.4300","1.4500","1.4500","1.4100","2.19M","0.70%"
"12/05/2023","1.4200","1.4500","1.4500","1.4200","663.48K","-1.39%"
"12/01/2023","1.4400","1.4400","1.4500","1.4300","413.10K","-0.69%"
"11/30/2023","1.4500","1.4500","1.4500","1.4400","2.78M","-0.68%"
"11/29/2023","1.4600","1.4500","1.4600","1.4400","3.39M","0.00%"
"11/28/2023","1.4600","1.4800","1.4800","1.4400","6.20M","-0.68%"
"11/27/2023","1.4700","1.4600","1.4700","1.4400","3.78M","0.68%"
"11/24/2023","1.4600","1.4600","1.4600","1.4300","3.43M","-0.68%"
"11/23/2023","1.4700","1.4300","1.4700","1.4200","2.98M","2.08%"
"11/22/2023","1.4400","1.4600","1.4600","1.4300","2.61M","-0.69%"
"11/21/2023","1.4500","1.4400","1.4600","1.4400","586.93K","0.69%"
"11/20/2023","1.4400","1.4600","1.4600","1.4400","1.73M","-1.37%"
"11/17/2023","1.4600","1.4600","1.4700","1.4600","1.13M","-0.68%"
"11/16/2023","1.4700","1.4600","1.4700","1.4600","899.64K","0.68%"
"11/15/2023","1.4600","1.4700","1.4700","1.4400","5.06M","-1.35%"
"11/14/2023","1.4800","1.4800","1.5000","1.4700","702.69K","-0.67%"
"11/13/2023","1.4900","1.4800","1.5000","1.4700","3.34M","0.68%"
"11/10/2023","1.4800","1.4800","1.5000","1.4800","5.22M","0.00%"
"11/09/2023","1.4800","1.4700","1.5000","1.4700","4.38M","0.68%"
"11/08/2023","1.4700","1.5000","1.5100","1.4700","1.83M","-2.00%"
"11/07/2023","1.5000","1.5100","1.5400","1.4900","14.78M","0.67%"
"11/06/2023","1.4900","1.4300","1.5000","1.4300","16.04M","4.93%"
"11/03/2023","1.4200","1.4000","1.4400","1.3900","9.12M","2.90%"
"11/02/2023","1.3800","1.3800","1.4100","1.3500","10.37M","0.00%"
"11/01/2023","1.3800","1.3500","1.3800","1.3400","7.71M","2.22%"
"10/31/2023","1.3500","1.3400","1.3700","1.3400","5.76M","0.75%"
"10/30/2023","1.3400","1.3200","1.3400","1.3100","1.26M","1.52%"
"10/27/2023","1.3200","1.3200","1.3300","1.3000","1.37M","-0.75%"
"10/26/2023","1.3300","1.3500","1.3500","1.3100","1.69M","-1.48%"
"10/25/2023","1.3500","1.3300","1.3500","1.3300","4.24M","1.50%"
