"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.4380","0.4330","0.4440","0.4270","10.65M","2.58%"
"12/28/2023","0.4270","0.4100","0.4380","0.4100","18.62M","4.15%"
"12/27/2023","0.4100","0.4110","0.4130","0.4080","3.94M","0.00%"
"12/26/2023","0.4100","0.4100","0.4120","0.4070","90.35M","0.00%"
"12/25/2023","0.4100","0.4070","0.4100","0.4050","4.15M","0.74%"
"12/22/2023","0.4070","0.4090","0.4090","0.4050","19.28M","-0.49%"
"12/21/2023","0.4090","0.4100","0.4120","0.4050","4.91M","-0.24%"
"12/20/2023","0.4100","0.4140","0.4170","0.4100","14.08M","0.00%"
"12/19/2023","0.4100","0.4060","0.4100","0.4050","5.48M","0.74%"
"12/18/2023","0.4070","0.4060","0.4090","0.4040","4.73M","0.49%"
"12/15/2023","0.4050","0.4090","0.4120","0.4050","3.39M","-1.22%"
"12/14/2023","0.4100","0.4090","0.4140","0.4080","5.53M","0.00%"
"12/13/2023","0.4100","0.4120","0.4130","0.4080","3.63M","0.00%"
"12/12/2023","0.4100","0.4090","0.4150","0.4030","6.36M","0.00%"
"12/11/2023","0.4100","0.4170","0.4190","0.4080","4.18M","-2.61%"
"12/08/2023","0.4210","0.4290","0.4300","0.4200","7.00M","-1.17%"
"12/07/2023","0.4260","0.4340","0.4350","0.4220","11.60M","-2.07%"
"12/06/2023","0.4350","0.4410","0.4410","0.4340","2.34M","-1.14%"
"12/05/2023","0.4400","0.4410","0.4460","0.4380","5.37M","0.00%"
"12/01/2023","0.4400","0.4400","0.4430","0.4390","2.27M","0.00%"
"11/30/2023","0.4400","0.4450","0.4450","0.4390","9.66M","-0.45%"
"11/29/2023","0.4420","0.4420","0.4460","0.4400","2.55M","0.23%"
"11/28/2023","0.4410","0.4400","0.4440","0.4390","4.77M","0.46%"
"11/27/2023","0.4390","0.4390","0.4450","0.4390","2.33M","0.23%"
"11/24/2023","0.4380","0.4400","0.4420","0.4360","4.76M","-0.68%"
"11/23/2023","0.4410","0.4450","0.4450","0.4400","2.14M","-0.23%"
"11/22/2023","0.4420","0.4450","0.4580","0.4390","10.72M","0.00%"
"11/21/2023","0.4420","0.4440","0.4530","0.4420","4.78M","0.23%"
"11/20/2023","0.4410","0.4430","0.4450","0.4410","2.72M","-0.45%"
"11/17/2023","0.4430","0.4470","0.4470","0.4400","4.69M","-1.56%"
"11/16/2023","0.4500","0.4540","0.4550","0.4460","5.03M","-0.66%"
"11/15/2023","0.4530","0.4510","0.4560","0.4440","8.15M","0.67%"
"11/14/2023","0.4500","0.4600","0.4600","0.4500","6.46M","-2.17%"
"11/13/2023","0.4600","0.4540","0.4650","0.4510","10.15M","2.22%"
"11/10/2023","0.4500","0.4510","0.4550","0.4460","13.40M","-1.96%"
"11/08/2023","0.4590","0.4630","0.4630","0.4580","5.57M","-0.86%"
"11/07/2023","0.4630","0.4650","0.4670","0.4600","3.57M","0.87%"
"11/06/2023","0.4590","0.4550","0.4710","0.4490","25.58M","2.23%"
"11/03/2023","0.4490","0.4530","0.4530","0.4480","2.67M","-1.75%"
"11/02/2023","0.4570","0.4580","0.4600","0.4500","8.60M","1.11%"
"11/01/2023","0.4520","0.4420","0.4610","0.4420","28.65M","3.91%"
"10/30/2023","0.4350","0.4300","0.4370","0.4280","2.55M","1.16%"
"10/27/2023","0.4300","0.4250","0.4400","0.4240","12.71M","1.42%"
"10/26/2023","0.4240","0.4330","0.4350","0.4240","5.01M","-2.30%"
"10/25/2023","0.4340","0.4320","0.4420","0.4320","11.98M","1.40%"
"10/24/2023","0.4280","0.4320","0.4390","0.4280","11.32M","0.00%"
"10/23/2023","0.4280","0.4240","0.4320","0.4220","23.66M","0.47%"
"10/20/2023","0.4260","0.4340","0.4340","0.4220","4.78M","-1.62%"
"10/19/2023","0.4330","0.4400","0.4430","0.4320","6.41M","-2.70%"
"10/18/2023","0.4450","0.4570","0.4570","0.4440","7.56M","-1.98%"
"10/17/2023","0.4540","0.4450","0.4580","0.4440","6.75M","2.25%"
"10/16/2023","0.4440","0.4650","0.4700","0.4420","11.83M","-4.52%"
"10/13/2023","0.4650","0.4670","0.4720","0.4250","14.57M","-0.64%"
"10/12/2023","0.4680","0.4770","0.4770","0.4680","4.15M","-2.09%"
"10/11/2023","0.4780","0.4760","0.4840","0.4730","4.51M","0.21%"
"10/10/2023","0.4770","0.4820","0.4850","0.4770","3.07M","-0.62%"
"10/09/2023","0.4800","0.4930","0.4930","0.4750","7.28M","-4.38%"
"10/06/2023","0.5020","0.5100","0.5120","0.5020","1.57M","-1.57%"
"10/05/2023","0.5100","0.5020","0.5160","0.4970","9.01M","1.39%"
"10/04/2023","0.5030","0.5000","0.5030","0.4950","4.16M","0.60%"
"10/03/2023","0.5000","0.5030","0.5030","0.4970","6.60M","-0.60%"
"10/02/2023","0.5030","0.5100","0.5130","0.5010","4.97M","-0.98%"
"09/28/2023","0.5080","0.5050","0.5120","0.5050","5.68M","0.59%"
"09/27/2023","0.5050","0.5130","0.5140","0.5050","6.88M","-1.56%"
"09/26/2023","0.5130","0.5130","0.5150","0.5100","8.44M","0.00%"
"09/25/2023","0.5130","0.5200","0.5220","0.5110","15.19M","-1.35%"
"09/22/2023","0.5200","0.5260","0.5280","0.5190","72.75M","-2.44%"
"09/21/2023","0.5330","0.5400","0.5440","0.5330","8.31M","-1.11%"
"09/20/2023","0.5390","0.5410","0.5460","0.5360","11.36M","-0.37%"
"09/19/2023","0.5410","0.5290","0.5440","0.5280","32.67M","2.46%"
"09/18/2023","0.5280","0.5310","0.5340","0.5230","5.12M","-0.94%"
"09/15/2023","0.5330","0.5200","0.5330","0.5200","11.39M","2.50%"
"09/14/2023","0.5200","0.5280","0.5280","0.5180","6.20M","-1.14%"
"09/13/2023","0.5260","0.5320","0.5340","0.5230","3.48M","-0.94%"
"09/12/2023","0.5310","0.5330","0.5350","0.5270","7.74M","-0.38%"
"09/11/2023","0.5330","0.5350","0.5390","0.5320","12.53M","0.57%"
"09/08/2023","0.5300","0.5260","0.5340","0.5260","9.12M","0.95%"
"09/07/2023","0.5250","0.5240","0.5260","0.5220","4.12M","0.19%"
"09/06/2023","0.5240","0.5210","0.5250","0.5170","5.33M","0.58%"
"09/05/2023","0.5210","0.5260","0.5320","0.5210","9.77M","-1.51%"
"09/04/2023","0.5290","0.5310","0.5360","0.5260","5.13M","0.76%"
"09/01/2023","0.5250","0.5250","0.5290","0.5220","2.60M","0.00%"
"08/31/2023","0.5250","0.5280","0.5300","0.5240","5.59M","-0.57%"
"08/30/2023","0.5280","0.5300","0.5380","0.5280","16.65M","-0.38%"
"08/29/2023","0.5300","0.5310","0.5310","0.5270","2.90M","0.38%"
"08/28/2023","0.5280","0.5330","0.5340","0.5280","14.65M","-0.75%"
"08/25/2023","0.5320","0.5330","0.5370","0.5290","10.41M","-0.37%"
"08/24/2023","0.5340","0.5320","0.5410","0.5320","15.35M","0.75%"
"08/23/2023","0.5300","0.5300","0.5340","0.5290","5.64M","0.00%"
"08/22/2023","0.5300","0.5310","0.5380","0.5280","25.62M","-0.19%"
"08/21/2023","0.5310","0.5390","0.5400","0.5290","27.66M","-1.12%"
"08/18/2023","0.5370","0.5440","0.5490","0.5370","11.34M","-1.10%"
"08/17/2023","0.5430","0.5440","0.5520","0.5400","24.02M","-0.37%"
"08/16/2023","0.5450","0.5550","0.5550","0.5390","19.80M","-1.98%"
"08/15/2023","0.5560","0.5730","0.5730","0.5540","26.40M","-2.46%"
"08/14/2023","0.5700","0.5770","0.5800","0.5700","21.68M","-0.52%"
"08/11/2023","0.5730","0.5700","0.5820","0.5660","40.61M","0.53%"
"08/10/2023","0.5700","0.5780","0.5900","0.5700","80.63M","1.42%"
"08/09/2023","0.5620","0.5620","0.5680","0.5580","13.39M","0.00%"
"08/08/2023","0.5620","0.5710","0.5810","0.5610","30.96M","-1.40%"
"08/07/2023","0.5700","0.5660","0.5710","0.5640","9.77M","0.00%"
"08/04/2023","0.5700","0.5720","0.5780","0.5700","15.00M","-1.04%"
"08/03/2023","0.5760","0.5790","0.5830","0.5750","15.10M","0.00%"
"08/02/2023","0.5760","0.5800","0.5860","0.5750","22.80M","-0.69%"
"08/01/2023","0.5800","0.5890","0.5950","0.5740","47.74M","-0.51%"
"07/31/2023","0.5830","0.5730","0.5980","0.5710","74.73M","2.10%"
"07/28/2023","0.5710","0.5670","0.5750","0.5660","19.60M","1.06%"
"07/27/2023","0.5650","0.5530","0.5750","0.5530","40.90M","1.80%"
"07/26/2023","0.5550","0.5590","0.5590","0.5500","13.95M","-0.72%"
"07/25/2023","0.5590","0.5730","0.5730","0.5580","27.16M","-1.93%"
"07/24/2023","0.5700","0.5590","0.5710","0.5540","20.71M","1.97%"
"07/20/2023","0.5590","0.5650","0.5650","0.5560","17.01M","-1.24%"
"07/19/2023","0.5660","0.5780","0.5780","0.5630","19.56M","-1.91%"
"07/18/2023","0.5770","0.5810","0.5820","0.5740","12.65M","-0.69%"
"07/17/2023","0.5810","0.5850","0.5850","0.5750","11.61M","0.17%"
"07/14/2023","0.5800","0.5900","0.5900","0.5800","22.41M","-0.85%"
"07/13/2023","0.5850","0.5810","0.5930","0.5790","69.69M","0.69%"
"07/12/2023","0.5810","0.5900","0.5910","0.5760","30.86M","-0.17%"
"07/11/2023","0.5820","0.5760","0.5840","0.5680","39.92M","2.11%"
"07/10/2023","0.5700","0.5770","0.5800","0.5700","17.45M","-0.87%"
"07/07/2023","0.5750","0.5870","0.5880","0.5750","8.94M","-2.71%"
"07/06/2023","0.5910","0.5880","0.5990","0.5860","46.92M","1.37%"
"07/05/2023","0.5830","0.5650","0.5850","0.5600","49.12M","3.92%"
"07/04/2023","0.5610","0.5610","0.5700","0.5580","12.46M","-0.18%"
"07/03/2023","0.5620","0.5650","0.5750","0.5610","33.57M","0.36%"
"06/26/2023","0.5600","0.5560","0.5670","0.5560","8.44M","-0.53%"
"06/23/2023","0.5630","0.5630","0.5640","0.5570","8.37M","0.36%"
"06/22/2023","0.5610","0.5690","0.5690","0.5580","9.04M","-0.36%"
"06/21/2023","0.5630","0.5690","0.5740","0.5630","7.53M","-1.05%"
"06/20/2023","0.5690","0.5700","0.5740","0.5650","6.08M","0.18%"
"06/19/2023","0.5680","0.5770","0.5780","0.5650","10.55M","-0.35%"
"06/16/2023","0.5700","0.5800","0.5800","0.5600","12.56M","-1.72%"
"06/15/2023","0.5800","0.5670","0.5880","0.5640","22.52M","1.75%"
"06/14/2023","0.5700","0.5750","0.5890","0.5700","25.17M","-0.87%"
"06/13/2023","0.5750","0.5510","0.5780","0.5510","18.70M","4.74%"
"06/12/2023","0.5490","0.5540","0.5600","0.5450","15.79M","-0.18%"
"06/09/2023","0.5500","0.5540","0.5580","0.5460","19.10M","0.00%"
"06/08/2023","0.5500","0.5520","0.5610","0.5490","17.08M","-0.72%"
"06/07/2023","0.5540","0.5540","0.5580","0.5460","11.28M","0.54%"
"06/06/2023","0.5510","0.5440","0.5530","0.5440","8.28M","1.47%"
"06/05/2023","0.5430","0.5500","0.5540","0.5400","9.83M","-0.55%"
"06/02/2023","0.5460","0.5510","0.5510","0.5400","12.46M","-1.62%"
"06/01/2023","0.5550","0.5570","0.5670","0.5550","8.65M","-1.25%"
