"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","7.330","7.340","7.380","7.280","6.82M","-0.14%"
"12/28/2023","7.340","7.240","7.370","7.240","4.92M","1.24%"
"12/27/2023","7.250","7.270","7.290","7.220","743.47K","-0.28%"
"12/26/2023","7.270","7.280","7.310","7.230","2.14M","0.55%"
"12/25/2023","7.230","7.130","7.230","7.120","3.31M","1.12%"
"12/22/2023","7.150","7.140","7.170","7.130","1.92M","0.14%"
"12/21/2023","7.140","7.030","7.180","7.020","2.57M","1.71%"
"12/20/2023","7.020","7.010","7.030","6.990","1.80M","-0.28%"
"12/19/2023","7.040","7.020","7.040","6.980","357.20K","0.00%"
"12/18/2023","7.040","7.020","7.040","7.000","453.24K","-0.14%"
"12/15/2023","7.050","7.020","7.050","7.000","1.79M","0.14%"
"12/14/2023","7.040","7.030","7.040","7.000","1.99M","0.00%"
"12/13/2023","7.040","7.020","7.040","7.000","8.11M","0.00%"
"12/12/2023","7.040","7.010","7.040","6.990","3.09M","-0.14%"
"12/11/2023","7.050","7.020","7.050","6.990","1.70M","0.14%"
"12/08/2023","7.040","7.030","7.070","6.990","426.97K","-0.14%"
"12/07/2023","7.050","7.090","7.090","7.010","2.33M","-0.42%"
"12/06/2023","7.080","7.000","7.130","6.970","2.36M","1.14%"
"12/05/2023","7.000","7.020","7.030","6.980","3.83M","0.00%"
"12/01/2023","7.000","7.020","7.030","6.990","5.68M","0.29%"
"11/30/2023","6.980","7.020","7.020","6.980","5.11M","-0.85%"
"11/29/2023","7.040","7.030","7.040","6.990","3.54M","0.00%"
"11/28/2023","7.040","7.030","7.040","6.980","3.07M","0.00%"
"11/27/2023","7.040","7.040","7.040","7.010","1.88M","-0.28%"
"11/24/2023","7.060","7.050","7.080","7.010","688.62K","0.14%"
"11/23/2023","7.050","7.030","7.060","7.000","621.58K","-0.14%"
"11/22/2023","7.060","7.030","7.080","7.010","3.66M","0.43%"
"11/21/2023","7.030","7.040","7.040","6.990","5.99M","-0.14%"
"11/20/2023","7.040","7.050","7.080","7.000","4.08M","-0.14%"
"11/17/2023","7.050","7.060","7.100","7.000","2.39M","0.14%"
"11/16/2023","7.040","7.060","7.070","7.000","742.99K","-0.14%"
"11/15/2023","7.050","7.060","7.100","6.990","4.92M","-0.42%"
"11/14/2023","7.080","7.050","7.080","7.040","3.42M","-0.14%"
"11/13/2023","7.090","7.140","7.150","7.030","2.73M","-0.42%"
"11/10/2023","7.120","7.140","7.140","7.100","657.80K","0.00%"
"11/09/2023","7.120","7.170","7.200","7.080","14.91M","-0.42%"
