"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","399.500","399.600","399.600","399.400","386.50K","0.00%"
"12/28/2023","399.500","399.500","399.500","399.400","447.80K","0.00%"
"12/27/2023","399.500","399.500","399.500","399.400","529.81K","0.00%"
"12/26/2023","399.500","399.600","399.600","399.400","3.00M","0.00%"
"12/25/2023","399.500","399.600","399.700","399.400","536.00K","0.03%"
"12/22/2023","399.400","400.000","400.000","399.400","522.95K","-0.27%"
"12/21/2023","400.500","399.600","400.500","399.400","11.71M","0.25%"
"12/20/2023","399.500","399.700","399.800","399.400","559.92K","0.00%"
"12/19/2023","399.500","399.500","399.800","399.500","565.83K","0.00%"
"12/18/2023","399.500","399.700","399.700","399.400","547.95K","0.00%"
"12/15/2023","399.500","399.700","401.500","399.400","697.05K","0.00%"
"12/14/2023","399.500","400.000","400.000","399.400","545.88K","0.00%"
"12/13/2023","399.500","400.000","400.100","399.500","554.00K","-0.37%"
"12/12/2023","401.000","399.600","401.000","399.400","566.77K","0.38%"
"12/11/2023","399.500","399.600","399.600","399.400","539.63K","0.00%"
"12/08/2023","399.500","399.500","399.500","399.400","547.63K","0.00%"
"12/07/2023","399.500","399.600","399.600","399.500","540.21K","0.00%"
"12/06/2023","399.500","399.600","399.600","399.500","540.64K","-0.10%"
"12/05/2023","399.900","400.000","400.000","399.400","559.61K","0.10%"
"12/01/2023","399.500","399.700","399.800","399.400","559.09K","0.00%"
"11/30/2023","399.500","399.900","400.100","399.500","540.39K","-0.13%"
"11/29/2023","400.000","400.000","400.000","399.500","546.64K","0.00%"
"11/28/2023","400.000","399.500","400.000","399.500","563.43K","0.13%"
"11/27/2023","399.500","399.500","399.600","399.400","521.56K","0.00%"
"11/24/2023","399.500","399.500","399.500","399.500","537.98K","-0.03%"
"11/23/2023","399.600","399.700","399.700","399.600","534.73K","-0.03%"
"11/22/2023","399.700","399.700","399.700","399.600","523.74K","0.03%"
"11/21/2023","399.600","399.600","399.700","399.500","533.91K","0.00%"
"11/20/2023","399.600","399.600","399.600","399.500","550.41K","0.03%"
"11/17/2023","399.500","401.000","401.000","399.500","561.04K","-0.50%"
"11/16/2023","401.500","399.500","401.500","399.500","590.73K","0.50%"
"11/15/2023","399.500","399.500","399.700","399.400","590.85K","0.00%"
"11/14/2023","399.500","399.700","399.700","399.400","555.48K","0.00%"
"11/13/2023","399.500","399.900","399.900","399.500","553.33K","-0.10%"
"11/10/2023","399.900","399.800","399.900","399.500","564.65K","-0.03%"
"11/09/2023","400.000","399.600","400.000","399.500","585.85K","0.13%"
"11/08/2023","399.500","400.500","400.500","399.500","555.03K","-0.15%"
"11/07/2023","400.100","399.900","400.100","399.700","538.75K","0.03%"
"11/06/2023","400.000","399.600","400.000","399.400","533.68K","0.13%"
"11/03/2023","399.500","399.600","399.600","399.500","529.25K","0.00%"
"11/02/2023","399.500","399.800","399.800","399.500","553.77K","-0.10%"
"11/01/2023","399.900","399.500","399.900","399.500","546.50K","0.08%"
"10/31/2023","399.600","399.500","399.700","399.500","518.56K","0.03%"
"10/30/2023","399.500","399.600","399.700","399.500","533.05K","-0.08%"
"10/27/2023","399.800","399.800","399.800","399.400","582.64K","0.08%"
"10/26/2023","399.500","399.800","399.800","399.500","576.33K","-0.10%"
"10/25/2023","399.900","399.900","400.000","399.500","528.96K","0.10%"
"10/24/2023","399.500","400.200","400.500","399.500","568.85K","-0.08%"
"10/23/2023","399.800","400.500","400.500","399.500","511.77K","-0.05%"
"10/20/2023","400.000","400.800","400.800","400.000","533.34K","-0.12%"
"10/19/2023","400.500","400.700","401.000","400.500","541.00K","0.00%"
"10/18/2023","400.500","400.500","400.700","400.500","531.99K","-0.02%"
"10/17/2023","400.600","400.500","401.900","400.500","566.00K","0.02%"
"10/16/2023","400.500","401.000","401.900","400.500","550.88K","0.00%"
"10/13/2023","400.500","402.100","408.000","400.500","571.59K","-0.37%"
"10/12/2023","402.000","401.000","402.900","400.600","523.55K","0.25%"
"10/11/2023","401.000","400.500","401.500","400.500","560.58K","0.12%"
"10/10/2023","400.500","400.800","400.800","400.500","542.29K","0.00%"
"10/09/2023","400.500","400.500","401.800","400.500","633.74K","-0.07%"
"10/06/2023","400.800","400.500","401.800","400.500","621.11K","0.05%"
"10/05/2023","400.600","403.900","403.900","400.600","534.34K","-0.84%"
"10/04/2023","404.000","403.000","405.000","401.500","533.28K","0.07%"
"10/03/2023","403.700","400.800","404.000","400.500","613.13K","0.77%"
"10/02/2023","400.600","400.900","401.000","400.500","530.88K","0.00%"
"09/28/2023","400.600","401.000","402.900","400.500","526.70K","-0.10%"
"09/27/2023","401.000","400.700","402.000","400.500","545.24K","-0.25%"
"09/26/2023","402.000","401.400","403.000","400.500","567.29K","-0.25%"
"09/25/2023","403.000","405.000","405.000","401.000","512.23K","-0.49%"
"09/22/2023","405.000","406.000","406.000","403.000","515.57K","-0.25%"
"09/21/2023","406.000","406.000","406.700","405.000","545.66K","-0.15%"
"09/20/2023","406.600","406.000","406.900","402.700","544.83K","0.15%"
"09/19/2023","406.000","405.000","406.000","402.100","564.54K","0.57%"
"09/18/2023","403.700","408.000","408.000","402.000","512.49K","-1.30%"
"09/15/2023","409.000","403.000","409.000","401.700","566.59K","1.24%"
"09/14/2023","404.000","401.000","404.000","401.000","537.40K","0.70%"
"09/13/2023","401.200","400.500","402.000","400.500","539.34K","0.07%"
"09/12/2023","400.900","400.800","400.900","400.600","524.84K","-0.02%"
"09/11/2023","401.000","401.000","401.000","400.600","557.50K","0.05%"
"09/08/2023","400.800","401.000","402.800","400.600","561.26K","-0.07%"
"09/07/2023","401.100","401.000","401.600","400.700","532.43K","-0.12%"
"09/06/2023","401.600","404.000","404.000","400.800","522.40K","-0.59%"
"09/05/2023","404.000","406.000","410.000","404.000","530.46K","-0.93%"
"09/04/2023","407.800","407.000","407.800","405.000","515.59K","0.20%"
"09/01/2023","407.000","407.900","408.000","403.500","594.20K","-0.49%"
"08/31/2023","409.000","400.600","410.000","400.500","555.45K","2.12%"
"08/30/2023","400.500","400.600","401.000","400.500","514.07K","-0.05%"
"08/29/2023","400.700","400.600","401.000","400.500","549.53K","0.05%"
"08/28/2023","400.500","400.700","400.700","400.500","519.43K","-0.05%"
"08/25/2023","400.700","400.600","400.700","400.500","528.55K","0.00%"
"08/24/2023","400.700","400.600","400.700","400.500","508.03K","0.05%"
"08/23/2023","400.500","400.800","401.500","400.500","516.82K","-0.12%"
"08/22/2023","401.000","400.500","401.000","400.400","513.76K","0.10%"
"08/21/2023","400.600","400.900","400.900","400.400","542.38K","0.00%"
"08/18/2023","400.600","401.500","401.800","400.600","504.82K","-0.30%"
"08/17/2023","401.800","401.500","402.000","401.500","553.39K","-0.05%"
"08/16/2023","402.000","401.500","402.000","401.500","515.19K","0.12%"
"08/15/2023","401.500","403.800","403.800","401.500","513.59K","-0.02%"
"08/14/2023","401.600","402.400","404.300","401.600","556.78K","-0.20%"
"08/11/2023","402.400","403.000","405.200","401.500","509.89K","0.10%"
"08/10/2023","402.000","406.000","409.000","401.500","545.41K","-0.84%"
"08/09/2023","405.400","408.000","415.000","405.300","530.60K","-1.12%"
"08/08/2023","410.000","398.000","411.000","398.000","647.84K","3.02%"
"08/07/2023","398.000","395.500","399.000","395.000","527.23K","0.63%"
"08/04/2023","395.500","395.100","400.000","395.000","516.67K","0.10%"
"08/03/2023","395.100","395.000","395.200","395.000","537.54K","0.03%"
"08/02/2023","395.000","395.100","395.300","394.900","538.35K","-0.03%"
"08/01/2023","395.100","395.000","395.100","375.000","510.84K","0.00%"
"07/31/2023","395.100","395.000","395.100","394.900","519.05K","0.00%"
"07/28/2023","395.100","395.000","395.100","394.900","527.59K","0.03%"
"07/27/2023","395.000","395.000","395.100","394.000","504.09K","-0.03%"
"07/26/2023","395.100","395.000","395.100","394.900","590.55K","0.03%"
"07/25/2023","395.000","395.000","395.100","394.900","512.42K","-0.23%"
"07/24/2023","395.900","395.000","395.900","395.000","525.17K","0.20%"
"07/20/2023","395.100","395.000","395.100","395.000","562.37K","0.00%"
"07/19/2023","395.100","395.100","396.000","395.000","522.78K","0.03%"
"07/18/2023","395.000","395.000","395.200","395.000","512.80K","-0.25%"
"07/17/2023","396.000","395.000","396.000","395.000","542.56K","0.23%"
"07/14/2023","395.100","395.000","395.100","394.900","526.75K","0.00%"
"07/13/2023","395.100","395.100","396.000","394.900","535.01K","-0.18%"
"07/12/2023","395.800","395.000","397.500","394.900","534.09K","0.08%"
"07/11/2023","395.500","395.000","395.500","394.900","539.75K","0.03%"
