"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.350","0.350","0.355","0.349","14.88M","1.16%"
"12/28/2023","0.346","0.344","0.353","0.344","6.57M","0.58%"
"12/27/2023","0.344","0.344","0.344","0.342","714.10K","0.88%"
"12/26/2023","0.341","0.350","0.356","0.340","13.97M","-1.45%"
"12/25/2023","0.346","0.348","0.352","0.344","1.83M","-0.86%"
"12/22/2023","0.349","0.346","0.349","0.344","1.29M","0.00%"
"12/21/2023","0.349","0.352","0.352","0.341","3.72M","-1.41%"
"12/20/2023","0.354","0.339","0.354","0.338","10.94M","4.42%"
"12/19/2023","0.339","0.339","0.339","0.335","3.95M","-0.29%"
"12/18/2023","0.340","0.342","0.342","0.336","2.44M","-0.29%"
"12/15/2023","0.341","0.339","0.343","0.338","3.09M","0.00%"
"12/14/2023","0.341","0.340","0.343","0.337","2.53M","0.59%"
"12/13/2023","0.339","0.336","0.343","0.336","5.60M","1.19%"
"12/12/2023","0.335","0.337","0.337","0.331","1.74M","-0.30%"
"12/11/2023","0.336","0.336","0.337","0.334","1.27M","0.00%"
"12/08/2023","0.336","0.335","0.339","0.331","3.54M","0.60%"
"12/07/2023","0.334","0.336","0.339","0.331","3.37M","-1.18%"
"12/06/2023","0.338","0.342","0.345","0.338","4.32M","-1.17%"
"12/05/2023","0.342","0.343","0.345","0.341","1.59M","-1.16%"
"12/01/2023","0.346","0.348","0.348","0.344","2.07M","-0.29%"
"11/30/2023","0.347","0.350","0.350","0.345","1.43M","0.00%"
"11/29/2023","0.347","0.348","0.350","0.344","3.71M","0.29%"
"11/28/2023","0.346","0.344","0.352","0.343","11.36M","0.29%"
"11/27/2023","0.345","0.350","0.350","0.340","11.98M","-1.71%"
"11/24/2023","0.351","0.351","0.355","0.350","3.52M","0.00%"
"11/23/2023","0.351","0.354","0.355","0.350","1.83M","-0.85%"
"11/22/2023","0.354","0.360","0.361","0.350","7.47M","-0.56%"
"11/21/2023","0.356","0.360","0.365","0.356","11.08M","-0.56%"
"11/20/2023","0.358","0.356","0.363","0.355","5.53M","0.00%"
"11/17/2023","0.358","0.358","0.360","0.357","1.71M","-0.83%"
"11/16/2023","0.361","0.369","0.369","0.360","4.74M","-1.90%"
"11/15/2023","0.368","0.365","0.368","0.364","1.40M","0.55%"
"11/14/2023","0.366","0.375","0.376","0.362","7.62M","-2.40%"
"11/13/2023","0.375","0.369","0.380","0.369","4.59M","1.35%"
"11/10/2023","0.370","0.370","0.371","0.367","1.90M","0.00%"
"11/09/2023","0.370","0.371","0.372","0.367","5.18M","-0.54%"
"11/08/2023","0.372","0.378","0.378","0.370","6.96M","-1.85%"
"11/07/2023","0.379","0.380","0.385","0.373","5.90M","0.26%"
