"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","3.70","3.66","3.72","3.63","6.44M","1.93%"
"12/28/2023","3.63","3.61","3.67","3.59","7.06M","0.55%"
"12/27/2023","3.61","3.62","3.63","3.58","6.65M","-0.28%"
"12/26/2023","3.62","3.60","3.62","3.58","4.75M","0.00%"
"12/25/2023","3.62","3.63","3.63","3.60","4.88M","-0.55%"
"12/22/2023","3.64","3.57","3.64","3.55","5.27M","1.96%"
"12/21/2023","3.57","3.59","3.59","3.53","5.23M","-0.56%"
"12/20/2023","3.59","3.62","3.65","3.59","6.33M","-0.83%"
"12/19/2023","3.62","3.60","3.64","3.56","5.65M","0.84%"
"12/18/2023","3.59","3.63","3.63","3.59","3.81M","-1.10%"
"12/15/2023","3.63","3.60","3.63","3.59","8.89M","0.83%"
"12/14/2023","3.60","3.60","3.66","3.58","7.64M","0.28%"
"12/13/2023","3.59","3.65","3.65","3.59","18.20M","-1.10%"
"12/12/2023","3.63","3.68","3.68","3.62","6.07M","-1.36%"
"12/11/2023","3.68","3.68","3.68","3.62","6.06M","-0.27%"
"12/08/2023","3.69","3.72","3.74","3.66","7.06M","-1.60%"
"12/07/2023","3.75","3.70","3.75","3.66","5.52M","0.00%"
"12/06/2023","3.75","3.76","3.76","3.70","5.30M","-1.06%"
"12/05/2023","3.79","3.77","3.79","3.71","6.42M","0.26%"
"12/01/2023","3.78","3.79","3.79","3.73","4.74M","-0.53%"
"11/30/2023","3.80","3.77","3.82","3.74","13.84M","0.80%"
"11/29/2023","3.77","3.70","3.77","3.69","7.26M","1.89%"
"11/28/2023","3.70","3.59","3.78","3.59","10.99M","2.21%"
"11/27/2023","3.62","3.66","3.66","3.58","7.56M","-1.09%"
"11/24/2023","3.66","3.63","3.67","3.61","7.42M","0.83%"
"11/23/2023","3.63","3.60","3.66","3.53","9.56M","0.00%"
"11/22/2023","3.63","3.65","3.66","3.59","5.08M","-0.27%"
"11/21/2023","3.64","3.67","3.71","3.62","7.24M","-1.09%"
"11/20/2023","3.68","3.62","3.68","3.58","6.72M","1.94%"
"11/17/2023","3.61","3.71","3.71","3.60","7.73M","-2.70%"
"11/16/2023","3.71","3.71","3.73","3.68","10.97M","-0.27%"
"11/15/2023","3.72","3.68","3.75","3.68","9.87M","1.09%"
"11/14/2023","3.68","3.69","3.70","3.67","5.54M","0.00%"
"11/13/2023","3.68","3.62","3.68","3.61","7.60M","1.38%"
"11/10/2023","3.63","3.48","3.66","3.48","10.16M","4.91%"
"11/09/2023","3.46","3.53","3.60","3.46","7.66M","-1.70%"
"11/08/2023","3.52","3.63","3.65","3.51","6.97M","-3.30%"
"11/07/2023","3.64","3.59","3.64","3.57","6.60M","1.39%"
"11/06/2023","3.59","3.60","3.71","3.57","6.35M","0.00%"
"11/03/2023","3.59","3.61","3.61","3.54","6.32M","-0.28%"
"11/02/2023","3.60","3.37","3.61","3.37","19.50M","7.14%"
"11/01/2023","3.36","3.35","3.38","3.34","10.61M","0.00%"
"10/31/2023","3.36","3.37","3.40","3.34","8.28M","0.00%"
"10/30/2023","3.36","3.37","3.50","3.35","10.15M","0.60%"
"10/27/2023","3.34","3.38","3.38","3.30","6.09M","-0.60%"
"10/26/2023","3.36","3.45","3.45","3.34","6.41M","-1.75%"
"10/25/2023","3.42","3.33","3.51","3.33","9.58M","3.01%"
"10/24/2023","3.32","3.37","3.38","3.29","7.33M","-0.90%"
"10/23/2023","3.35","3.35","3.39","3.26","6.06M","-0.30%"
"10/20/2023","3.36","3.48","3.48","3.24","19.37M","-2.33%"
"10/19/2023","3.44","3.56","3.56","3.41","8.90M","-2.55%"
"10/18/2023","3.53","3.55","3.55","3.48","7.69M","-0.28%"
"10/17/2023","3.54","3.47","3.56","3.47","6.73M","1.14%"
"10/16/2023","3.50","3.53","3.56","3.44","10.56M","-0.57%"
"10/13/2023","3.52","3.64","3.65","3.46","14.33M","-2.76%"
"10/12/2023","3.62","3.59","3.67","3.58","7.97M","1.40%"
"10/11/2023","3.57","3.51","3.63","3.45","23.17M","3.48%"
"10/10/2023","3.45","3.54","3.55","3.43","12.75M","-1.71%"
"10/09/2023","3.51","3.65","3.65","3.51","7.51M","-3.84%"
"10/06/2023","3.65","3.66","3.68","3.65","4.35M","-0.27%"
"10/05/2023","3.66","3.68","3.69","3.66","2.97M","-0.27%"
"10/04/2023","3.67","3.70","3.71","3.65","7.14M","-3.17%"
"10/03/2023","3.79","3.78","3.81","3.78","9.98M","0.53%"
"10/02/2023","3.77","3.77","3.79","3.76","4.84M","0.53%"
"09/28/2023","3.75","3.81","3.81","3.75","9.42M","-1.32%"
"09/27/2023","3.80","3.81","3.82","3.79","3.89M","0.53%"
"09/26/2023","3.78","3.83","3.83","3.78","11.01M","-0.53%"
"09/25/2023","3.80","3.79","3.81","3.77","5.39M","0.53%"
"09/22/2023","3.78","3.80","3.81","3.77","6.06M","-0.53%"
"09/21/2023","3.80","3.81","3.82","3.78","7.68M","0.26%"
"09/20/2023","3.79","3.79","3.83","3.79","6.64M","-0.26%"
"09/19/2023","3.80","3.80","3.80","3.78","3.25M","0.80%"
"09/18/2023","3.77","3.80","3.80","3.77","3.28M","-0.79%"
"09/15/2023","3.80","3.75","3.80","3.75","8.39M","0.80%"
"09/14/2023","3.77","3.78","3.79","3.74","4.54M","-0.26%"
"09/13/2023","3.78","3.76","3.78","3.74","5.70M","0.53%"
"09/12/2023","3.76","3.74","3.77","3.74","5.58M","0.53%"
"09/11/2023","3.74","3.71","3.75","3.69","4.00M","0.81%"
"09/08/2023","3.71","3.71","3.74","3.70","4.52M","0.00%"
"09/07/2023","3.71","3.78","3.79","3.70","7.78M","-1.85%"
"09/06/2023","3.78","3.83","3.83","3.78","4.61M","-1.31%"
"09/05/2023","3.83","3.83","3.83","3.78","5.42M","0.26%"
"09/04/2023","3.82","3.81","3.83","3.80","4.75M","0.26%"
"09/01/2023","3.81","3.83","3.85","3.81","4.25M","0.00%"
"08/31/2023","3.81","3.88","3.88","3.81","11.09M","-1.80%"
"08/30/2023","3.88","3.86","3.90","3.85","4.83M","0.26%"
"08/29/2023","3.87","3.83","3.87","3.83","5.01M","1.04%"
"08/28/2023","3.83","3.84","3.88","3.83","5.37M","0.26%"
"08/25/2023","3.82","3.86","3.86","3.81","5.79M","-0.52%"
"08/24/2023","3.84","3.85","3.86","3.83","5.27M","0.00%"
"08/23/2023","3.84","3.86","3.87","3.83","5.20M","-0.26%"
"08/22/2023","3.85","3.86","3.87","3.78","7.56M","0.00%"
"08/21/2023","3.85","3.88","3.89","3.85","6.39M","-0.52%"
"08/18/2023","3.87","3.89","3.91","3.87","5.69M","-0.26%"
"08/17/2023","3.88","3.91","3.91","3.88","4.82M","-0.26%"
"08/16/2023","3.89","3.93","3.94","3.88","6.74M","-0.77%"
"08/15/2023","3.92","3.90","3.94","3.90","6.11M","1.29%"
"08/14/2023","3.87","3.93","3.95","3.86","5.96M","-1.53%"
"08/11/2023","3.93","3.90","3.96","3.90","6.26M","0.77%"
"08/10/2023","3.90","3.88","3.91","3.87","7.32M","0.52%"
"08/09/2023","3.88","3.88","3.92","3.87","5.73M","0.52%"
"08/08/2023","3.86","3.92","3.92","3.86","8.91M","-1.28%"
"08/07/2023","3.91","3.90","3.92","3.87","5.75M","0.26%"
"08/04/2023","3.90","3.91","3.93","3.90","4.79M","0.00%"
"08/03/2023","3.90","3.94","3.95","3.90","7.95M","-1.02%"
"08/02/2023","3.94","3.94","3.98","3.93","6.25M","0.00%"
"08/01/2023","3.94","3.92","3.94","3.91","5.04M","1.03%"
"07/31/2023","3.90","3.94","3.94","3.90","9.60M","-0.76%"
"07/28/2023","3.93","3.93","3.96","3.92","5.44M","0.00%"
"07/27/2023","3.93","3.98","3.98","3.93","5.08M","-1.01%"
"07/26/2023","3.97","3.99","3.99","3.95","5.91M","0.25%"
"07/25/2023","3.96","4.00","4.02","3.96","8.14M","-1.00%"
"07/24/2023","4.00","3.96","4.00","3.96","5.42M","0.76%"
"07/20/2023","3.97","4.00","4.00","3.93","6.16M","0.00%"
"07/19/2023","3.97","4.02","4.04","3.96","6.25M","-1.24%"
"07/18/2023","4.02","4.03","4.03","4.00","4.22M","0.50%"
"07/17/2023","4.00","4.03","4.05","3.99","5.27M","-0.99%"
"07/14/2023","4.04","4.01","4.04","4.01","5.37M","0.75%"
"07/13/2023","4.01","4.04","4.04","3.99","5.74M","0.25%"
"07/12/2023","4.00","3.99","4.06","3.98","9.92M","0.25%"
"07/11/2023","3.99","3.98","4.04","3.97","8.08M","0.25%"
"07/10/2023","3.98","3.96","3.98","3.96","5.64M","0.51%"
"07/07/2023","3.96","3.98","4.00","3.96","4.15M","-0.25%"
"07/06/2023","3.97","3.96","4.00","3.95","8.99M","0.25%"
"07/05/2023","3.96","3.92","3.97","3.90","9.33M","1.80%"
"07/04/2023","3.89","3.90","3.92","3.89","7.56M","0.00%"
"07/03/2023","3.89","3.94","3.94","3.89","10.34M","-0.26%"
"06/26/2023","3.90","3.97","3.97","3.90","8.28M","-1.27%"
"06/23/2023","3.95","3.97","3.98","3.94","4.23M","-0.25%"
"06/22/2023","3.96","3.96","3.96","3.94","3.53M","0.00%"
"06/21/2023","3.96","3.98","3.98","3.94","5.09M","-0.50%"
"06/20/2023","3.98","3.96","3.98","3.95","5.67M","0.00%"
"06/19/2023","3.98","3.97","3.98","3.93","4.13M","0.00%"
"06/16/2023","3.98","4.00","4.00","3.92","14.11M","0.51%"
"06/15/2023","3.96","4.03","4.03","3.96","7.08M","-0.75%"
"06/14/2023","3.99","4.04","4.08","3.98","10.37M","-0.99%"
"06/13/2023","4.03","4.10","4.10","4.03","6.01M","-1.71%"
"06/12/2023","4.10","4.15","4.15","4.08","3.71M","-0.24%"
"06/09/2023","4.11","4.18","4.18","4.11","4.23M","-2.14%"
"06/08/2023","4.20","4.17","4.20","4.08","27.39M","1.45%"
"06/07/2023","4.14","4.08","4.14","4.08","4.07M","1.47%"
"06/06/2023","4.08","4.06","4.12","4.06","4.63M","0.00%"
"06/05/2023","4.08","4.08","4.10","4.05","6.21M","-1.21%"
"06/02/2023","4.13","4.08","4.13","4.01","6.49M","1.23%"
"06/01/2023","4.08","4.16","4.17","4.08","6.61M","-1.45%"
"05/31/2023","4.14","4.02","4.17","4.02","19.48M","2.99%"
"05/30/2023","4.02","3.88","4.02","3.86","6.48M","4.15%"
"05/29/2023","3.86","3.99","3.99","3.84","4.09M","-1.78%"
"05/26/2023","3.93","3.95","4.00","3.93","7.40M","-0.25%"
"05/25/2023","3.94","4.01","4.03","3.94","7.36M","-1.50%"
"05/24/2023","4.00","4.11","4.14","4.00","6.37M","-2.91%"
"05/23/2023","4.12","4.16","4.16","4.09","4.51M","-0.96%"
"05/22/2023","4.16","4.15","4.17","4.10","4.22M","0.97%"
"05/19/2023","4.12","4.10","4.15","4.08","4.34M","0.73%"
"05/18/2023","4.09","4.15","4.17","4.09","8.71M","-1.45%"
"05/17/2023","4.15","4.21","4.21","4.15","4.27M","-0.24%"
"05/16/2023","4.16","4.28","4.28","4.14","6.90M","-1.19%"
"05/15/2023","4.21","4.34","4.34","4.16","5.05M","-2.09%"
"05/12/2023","4.30","4.33","4.35","4.30","4.95M","-1.60%"
"05/11/2023","4.37","4.36","4.38","4.32","4.71M","-0.46%"
