"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","0.290","0.290","0.293","0.288","6.75M","0.00%"
"12/28/2023","0.290","0.291","0.295","0.285","8.34M","0.35%"
"12/27/2023","0.289","0.295","0.295","0.287","10.52M","-1.03%"
"12/26/2023","0.292","0.282","0.298","0.282","27.58M","3.18%"
"12/25/2023","0.283","0.287","0.288","0.282","3.52M","-0.35%"
"12/22/2023","0.284","0.286","0.290","0.282","23.09M","1.79%"
"12/21/2023","0.279","0.278","0.282","0.278","3.45M","-0.71%"
"12/20/2023","0.281","0.282","0.283","0.276","4.23M","0.36%"
"12/19/2023","0.280","0.284","0.287","0.275","15.05M","-1.41%"
"12/18/2023","0.284","0.280","0.285","0.276","19.18M","2.53%"
"12/15/2023","0.277","0.280","0.281","0.272","24.27M","-1.07%"
"12/14/2023","0.280","0.293","0.293","0.280","35.75M","-2.44%"
"12/13/2023","0.287","0.293","0.297","0.285","27.58M","-1.71%"
"12/12/2023","0.292","0.292","0.294","0.290","5.78M","-0.68%"
"12/11/2023","0.294","0.293","0.298","0.290","4.93M","-0.68%"
"12/08/2023","0.296","0.295","0.300","0.293","5.09M","1.02%"
"12/07/2023","0.293","0.295","0.298","0.290","7.04M","-1.01%"
"12/06/2023","0.296","0.300","0.300","0.295","11.03M","-1.33%"
"12/05/2023","0.300","0.309","0.311","0.299","16.74M","-3.23%"
"12/01/2023","0.310","0.310","0.313","0.307","12.79M","-0.64%"
"11/30/2023","0.312","0.315","0.316","0.312","5.86M","-0.95%"
"11/29/2023","0.315","0.320","0.320","0.314","14.88M","-0.94%"
"11/28/2023","0.318","0.319","0.322","0.318","6.43M","-0.31%"
"11/27/2023","0.319","0.316","0.324","0.315","20.85M","0.31%"
"11/24/2023","0.318","0.322","0.322","0.317","13.73M","-0.63%"
"11/23/2023","0.320","0.323","0.325","0.319","15.20M","-0.93%"
"11/22/2023","0.323","0.325","0.328","0.321","4.85M","-0.62%"
"11/21/2023","0.325","0.327","0.332","0.323","15.50M","-0.31%"
"11/20/2023","0.326","0.327","0.329","0.320","9.84M","0.93%"
"11/17/2023","0.323","0.324","0.326","0.321","3.51M","-1.52%"
"11/16/2023","0.328","0.322","0.329","0.318","22.62M","2.18%"
"11/15/2023","0.321","0.327","0.330","0.320","17.88M","-0.93%"
"11/14/2023","0.324","0.325","0.327","0.322","6.08M","-0.92%"
"11/13/2023","0.327","0.326","0.329","0.323","7.78M","0.00%"
"11/10/2023","0.327","0.326","0.330","0.324","10.30M","0.00%"
"11/09/2023","0.327","0.331","0.332","0.326","20.39M","-1.51%"
"11/08/2023","0.332","0.338","0.338","0.332","14.34M","-1.48%"
"11/07/2023","0.337","0.328","0.339","0.327","30.09M","2.12%"
"11/06/2023","0.330","0.331","0.335","0.329","19.15M","0.00%"
"11/03/2023","0.330","0.347","0.347","0.330","29.12M","-4.62%"
"11/02/2023","0.346","0.341","0.354","0.341","27.57M","2.06%"
"11/01/2023","0.339","0.331","0.339","0.328","23.91M","2.73%"
"10/31/2023","0.330","0.329","0.337","0.326","26.47M","1.54%"
"10/30/2023","0.325","0.320","0.328","0.318","15.44M","1.56%"
"10/27/2023","0.320","0.319","0.327","0.315","19.57M","0.00%"
"10/26/2023","0.320","0.330","0.330","0.318","19.23M","-3.32%"
"10/25/2023","0.331","0.322","0.333","0.322","32.04M","3.12%"
"10/24/2023","0.321","0.323","0.331","0.319","12.50M","-0.93%"
"10/23/2023","0.324","0.316","0.334","0.312","40.14M","1.89%"
"10/20/2023","0.318","0.319","0.320","0.312","17.73M","-1.24%"
"10/19/2023","0.322","0.321","0.327","0.317","16.52M","0.31%"
"10/18/2023","0.321","0.340","0.340","0.320","44.33M","-7.23%"
"10/17/2023","0.346","0.325","0.353","0.325","58.52M","6.79%"
"10/16/2023","0.324","0.327","0.338","0.316","32.68M","0.93%"
"10/13/2023","0.321","0.345","0.349","0.315","117.46M","-8.29%"
"10/12/2023","0.350","0.370","0.373","0.348","56.53M","-6.17%"
"10/11/2023","0.373","0.379","0.380","0.365","29.69M","-1.06%"
"10/10/2023","0.377","0.379","0.386","0.376","25.44M","0.00%"
"10/09/2023","0.377","0.383","0.383","0.375","31.95M","-3.58%"
"10/06/2023","0.391","0.399","0.401","0.389","43.87M","-2.49%"
"10/05/2023","0.401","0.397","0.424","0.397","191.78M","5.25%"
"10/04/2023","0.381","0.380","0.381","0.374","17.05M","0.26%"
"10/03/2023","0.380","0.383","0.384","0.378","14.58M","-1.04%"
"10/02/2023","0.384","0.390","0.393","0.383","11.98M","-0.78%"
"09/28/2023","0.387","0.391","0.396","0.385","15.41M","-0.26%"
"09/27/2023","0.388","0.392","0.392","0.387","4.69M","-1.02%"
"09/26/2023","0.392","0.392","0.395","0.385","13.85M","0.51%"
"09/25/2023","0.390","0.393","0.397","0.390","11.13M","-0.51%"
"09/22/2023","0.392","0.395","0.401","0.390","21.28M","-1.26%"
"09/21/2023","0.397","0.404","0.405","0.397","15.23M","-1.49%"
